T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
890.2095371	83	15	2	0	0	98.2595481	0.7076945296	1.032757371	83	15	2										0.002997269524	-0.002807289078	-0.0001899804457	-890.2095371	0	50.8747358418765	
890.1895371	83	15	2	0.0004147704883	0.0003928097471	98.25921086	0.7079630183	1.03282612	82.99400589	15.00561411	2.000380005										0	0	0	-890.1895371	0.0003928097471	50.9557311851563	
890.1695371	83	15	2	0.0008288830935	0.0007849961039	98.25887368	0.7082315145	1.032894803	82.98801343	15.01122682	2.000759752										0	0	0	-890.1695371	0.0007849961039	51.0145178641661	
890.1295371	83	15	2	0.001656216722	0.001568523462	98.25819937	0.7087683614	1.033032265	82.97603355	15.02244743	2.001519021										0	0	0	-890.1295371	0.001568523462	51.0990900868466	
890.0495371	83	15	2	0.003306251697	0.003131187295	98.25685108	0.7098416428	1.033307275	82.95209383	15.04487007	2.003036109										0	0	0	-890.0495371	0.003131187295	51.2908644392624	
889.8895371	83	15	2	0.00658790046	0.006239054335	98.25415579	0.7119865619	1.033857644	82.90429448	15.08964103	2.006064491										0	0	0	-889.8895371	0.006239054335	51.7218364841041	
889.5695371	83	15	2	0.01306171215	0.01236997282	98.24877259	0.7162735991	1.034953806	82.80900965	15.17890321	2.012087133										0	0	0	-889.5695371	0.01236997282	52.6120411034207	
888.9295371	83	15	2	0.02571068467	0.02434872939	98.23802849	0.7248256516	1.037145856	82.61970711	15.35626337	2.02402952										0	0	0	-888.9295371	0.02434872939	54.3156684118453	
887.6495371	83	15	2	0.04984370796	0.04720205998	98.21663058	0.7418520629	1.041517353	82.24611072	15.70640439	2.047484886										0	0	0	-887.6495371	0.04720205998	57.8901436498146	
885.0895371	83	15	2	0.09392947219	0.08894641657	98.17416792	0.7756121411	1.050219943	81.5185409	16.38873175	2.09272735										0	0	0	-885.0895371	0.08894641657	65.3223101723722	
882.5295371	83	15	2	0.1331848394	0.126112176	98.13210528	0.8090244506	1.058870265	80.81626056	17.04792343	2.135816011										0	0	0	-882.5295371	0.126112176	73.0949904232681	
879.9695371	83	15	2	0.1683644359	0.1594145941	98.09039274	0.8421335907	1.06747367	80.1381501	17.68499894	2.176850959										0	0	0	-879.9695371	0.1594145941	81.2980192220702	
877.4095371	83	15	2	0.2000769039	0.1894305773	98.04898576	0.8749821533	1.076032087	79.48304229	18.30102581	2.215931901										0	0	0	-877.4095371	0.1894305773	89.9186892706743	
874.8495371	83	15	2	0.2288193056	0.2166312983	98.007844	0.9076100303	1.084545971	78.84975891	18.89708314	2.253157946										0	0	0	-874.8495371	0.2166312983	98.9547329806679	
872.2895371	83	15	2	0.254994741	0.2413987678	97.96693132	0.940056935	1.093011745	78.23713114	19.47424848	2.288620378										0	0	0	-872.2895371	0.2413987678	108.358198005703	
869.7295371	83	15	2	0.2789556433	0.2640673639	97.9262123	0.9723523506	1.101435349	77.64403969	20.03353528	2.322425026										0	0	0	-869.7295371	0.2640673639	118.122686093854	
867.1695371	83	15	2	0.3009778475	0.2848984889	97.88565653	1.004531352	1.109812114	77.0693928	20.57595215	2.354655042										0	0	0	-867.1695371	0.2848984889	128.253257272696	
