T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
899.769536	89	7	4	0	0	97.59190733	0.1437455171	2.264347156	89	7	4							0.002411375725	-0.001924298714	-0.0004870770112	-899.769536	0	35.6225724784244	
899.749536	89	7	4	0.0005555136327	0.0005610720043	97.59143507	0.1437984438	2.26476649	88.99517769	7.003848231	4.000974076							0	0	0	-899.749536	0.0005610720043	35.6695249589946	
899.729536	89	7	4	0.001110309296	0.001121406429	97.59096298	0.1438513725	2.265185643	88.99035623	7.007696214	4.001947554							0	0	0	-899.729536	0.001121406429	35.7124223236036	
899.689536	89	7	4	0.002218128257	0.002240248025	97.59001924	0.1439571837	2.266023571	88.98071705	7.015389939	4.003893014							0	0	0	-899.689536	0.002240248025	35.7923179954851	
899.609536	89	7	4	0.004426323408	0.004470266205	97.5881336	0.1441686718	2.26769773	88.96145245	7.030769899	4.007777648							0	0	0	-899.609536	0.004470266205	35.9725115056958	
899.449536	89	7	4	0.008807458072	0.008894109783	97.58437255	0.1445918675	2.271035579	88.92296437	7.061520027	4.015515602							0	0	0	-899.449536	0.008894109783	36.342130336316	
899.129536	89	7	4	0.01744817399	0.01761674276	97.57688233	0.1454369078	2.277680759	88.84619285	7.12292134	4.030885807							0	0	0	-899.129536	0.01761674276	37.0502343062707	
898.489536	89	7	4	0.03424807584	0.03456692844	97.56203324	0.1471233357	2.290843429	88.69343354	7.245370453	4.061196005							0	0	0	-898.489536	0.03456692844	38.5133502007261	
897.209536	89	7	4	0.06604394879	0.06661339175	97.53284491	0.1504834487	2.316671643	88.39098466	7.48887783	4.12013751							0	0	0	-897.209536	0.06661339175	41.5553794147572	
894.649536	89	7	4	0.1233001334	0.1242002572	97.47637692	0.1571622367	2.366460844	87.79793441	7.970407499	4.231658087							0	0	0	-894.649536	0.1242002572	47.8977959721732	
892.089536	89	7	4	0.1734419008	0.1744902886	97.42226393	0.1638088717	2.413927194	87.2197621	8.444985163	4.335252735							0	0	0	-892.089536	0.1744902886	54.5496909468786	
889.529536	89	7	4	0.2177540554	0.2188101239	97.37029531	0.170443547	2.45926114	86.65549234	8.912948912	4.431558749							0	0	0	-889.529536	0.2188101239	61.606798643515	
886.969536	89	7	4	0.2572265872	0.2581812113	97.32029254	0.1770833091	2.502624154	86.10422079	9.374635275	4.521143931							0	0	0	-886.969536	0.2581812113	69.0639393048269	
884.409536	89	7	4	0.2926361557	0.2934042376	97.27210081	0.1837422376	2.544156957	85.56512291	9.830358096	4.604518991							0	0	0	-884.409536	0.2934042376	76.9154157212547	
881.849536	89	7	4	0.3246003263	0.3251153557	97.22558446	0.1904320112	2.583983524	85.0374503	10.28040537	4.682144327							0	0	0	-881.849536	0.3251153557	85.1562839693943	
879.289536	89	7	4	0.3536162013	0.3538262089	97.18062352	0.1971623544	2.622214125	84.52052537	10.72503862	4.754436013							0	0	0	-879.289536	0.3538262089	93.7822819533569	
876.729536	89	7	4	0.3800883989	0.3799529018	97.13711095	0.2039413902	2.658947663	84.01373524	11.16449372	4.821771039							0	0	0	-876.729536	0.3799529018	102.789735109725	
874.169536	89	7	4	0.404349632	0.4038372979	97.09495058	0.2107759251	2.694273493	83.5165254	11.5989827	4.884491902							0	0	0	-874.169536	0.4038372979	112.175500076585	
871.609536	89	7	4	0.4266760398	0.4257628776	97.05405544	0.2176716673	2.728272888	83.02839395	12.02869555	4.942910496							0	0	0	-871.609536	0.4257628776	121.948245313589	
869.049536	89	7	4	0.4472954858	0.4459633717	97.01435125	0.2246347412	2.76101401	82.54886503	12.45383296	4.997302009							0	0	0	-869.049536	0.4459633717	132.079236701251	
866.489536	89	7	4	0.4664100935	0.4646458371	96.97575562	0.2316664487	2.792577933	82.07756734	12.87448529	5.047947365							0	0	0	-866.489536	0.4646458371	142.573430589847	
863.929536	89	7	4	0.4841818304	0.4819760938	96.93820746	0.2387716313	2.823020913	81.6141011	13.29082386	5.095075041							0	0	0	-863.929536	0.4819760938	153.447823923906	
861.369536	89	7	4	0.5007525817	0.498099229	96.90164555	0.2459531581	2.852401289	81.1581216	13.70297349	5.13890491							0	0	0	-861.369536	0.498099229	164.689213688302	
858.809536	89	7	4	0.516244524	0.5131400418	96.86601329	0.2532134451	2.880773263	80.70931288	14.1110476	5.179639522							0	0	0	-858.809536	0.5131400418	176.295722145367	
856.249536	89	7	4	0.5307634732	0.5272064997	96.83125815	0.2605545251	2.90818733	80.26738446	14.51514973	5.217465809							0	0	0	-856.249536	0.5272064997	188.265479369845	
853.689536	89	7	4	0.5444015727	0.5403925107	96.79733126	0.2679781061	2.934690637	79.83206842	14.915375	5.25255659							0	0	0	-853.689536	0.5403925107	200.596570551836	
851.129536	89	7	4	0.5572394638	0.5527801635	96.76418708	0.2754856197	2.960327305	79.40311685	15.31181126	5.285071893							0	0	0	-851.129536	0.5527801635	213.287003639632	
848.569536	89	7	4	0.5693480538	0.5644415496	96.73178305	0.2830782632	2.985138691	78.98029968	15.7045402	5.315160127							0	0	0	-848.569536	0.5644415496	226.334680390654	
846.009536	89	7	4	0.5807899644	0.5754402571	96.70007934	0.2907570336	3.009163627	78.56340267	16.09363822	5.342959114							0	0	0	-846.009536	0.5754402571	239.737376713636	
843.449536	89	7	4	0.5916207265	0.5858326018	96.66903862	0.2985227581	3.032438622	78.15222577	16.47917722	5.36859701							0	0	0	-843.449536	0.5858326018	253.492725047893	
