T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
577.117479	81	13	6	0	0	96.39963563	0.1798620033	3.420502362	81	13	6	0.001397821822	-0.00116369475	-0.0002341270724	-850.267479	0	110.101539429788	
577.097479	81	13	6	0.0001814561645	0.0001815722374	96.3992582	0.1798807101	3.420861094	80.99720495	13.00232668	6.00046836	0	0	0	-850.247479	0.0001815722374	110.196456413291	
577.077479	81	13	6	0.0003627595554	0.0003629882133	96.39888094	0.179899458	3.421219604	80.99440911	13.00465463	6.00093626	0	0	0	-850.227479	0.0003629882133	110.265849561894	
577.037479	81	13	6	0.0007251598573	0.0007256034054	96.39812637	0.1799368972	3.421936738	80.98881965	13.00930835	6.001872003	0	0	0	-850.187479	0.0007256034054	110.349036351962	
576.957479	81	13	6	0.001449228452	0.001450060781	96.39661773	0.1800117602	3.42337051	80.97764434	13.018614	6.003741666	0	0	0	-850.107479	0.001450060781	110.514847917081	
576.797479	81	13	6	0.002894103584	0.00289554989	96.39360235	0.1801613938	3.426236251	80.95530877	13.03721724	6.007473988	0	0	0	-849.947479	0.00289554989	110.864283555856	
576.477479	81	13	6	0.005770890424	0.005772915298	96.38757918	0.1804602944	3.431960523	80.9106975	13.07439179	6.014910705	0	0	0	-849.627479	0.005772915298	111.61933573835	
575.837479	81	13	6	0.01146505535	0.01146567236	96.37557301	0.1810589035	3.443368082	80.82166353	13.14868295	6.029653516	0	0	0	-848.987479	0.01146567236	113.162511768955	
574.557479	81	13	6	0.02264590759	0.02263376806	96.35169015	0.1822526903	3.466057155	80.6444836	13.29683548	6.058680926	0	0	0	-847.707479	0.02263376806	116.149859866699	
571.997479	81	13	6	0.04420182361	0.04412667256	96.3044539	0.1846319734	3.510914122	80.29346565	13.5916284	6.114905942	0	0	0	-845.147479	0.04412667256	122.233532793459	
569.437479	81	13	6	0.06475716148	0.06457300201	96.25790505	0.1870011991	3.555093752	79.94671655	13.88450998	6.168773466	0	0	0	-842.587479	0.06457300201	128.383361553097	
566.877479	81	13	6	0.08438871801	0.08405389122	96.21202658	0.1893622051	3.598611213	79.60401229	14.17561855	6.220369166	0	0	0	-840.027479	0.08405389122	134.637998834308	
564.317479	81	13	6	0.1031659618	0.1026426857	96.16680153	0.1917164132	3.641482052	79.2651511	14.46507372	6.269775179	0	0	0	-837.467479	0.1026426857	140.993916879258	
