T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
498.4036712	76	15	9	0	0	94.06436872	0.08105815423	5.854573125	76	15	9	0.0009158430489	-0.0007563821467	-0.0001594609022	-771.5536712	0	197.092579738043	
498.3836712	76	15	9	0.0001010055539	0.0001014346428	94.06395707	0.08105566705	5.854987262	75.99816889	15.00151203	9.00031908	0	0	0	-771.5336712	0.0001014346428	197.25001265477	
498.3636712	76	15	9	0.0002019326251	0.0002027883912	94.06354559	0.08105319931	5.855401211	75.99633664	15.00302565	9.000637708	0	0	0	-771.5136712	0.0002027883912	197.324597380106	
498.3236712	76	15	9	0.0004038054561	0.0004055084289	94.06272253	0.08104824173	5.856229226	75.99267347	15.00605139	9.001275132	0	0	0	-771.4736712	0.0004055084289	197.366859911656	
498.2436712	76	15	9	0.0008072669171	0.0008106382133	94.06107658	0.08103831293	5.85788511	75.98534802	15.01210273	9.002549246	0	0	0	-771.3936712	0.0008106382133	197.525797035944	
498.0836712	76	15	9	0.001613576319	0.001620182256	94.05778562	0.08101842928	5.86119595	75.97069923	15.02420684	9.005093932	0	0	0	-771.2336712	0.001620182256	197.775692588485	
497.7636712	76	15	9	0.003223331916	0.003235998675	94.05120727	0.08097853521	5.867814198	75.94141112	15.04841925	9.010169633	0	0	0	-770.9136712	0.003235998675	198.309751663993	
497.1236712	76	15	9	0.006431461409	0.006454626445	94.03806476	0.08089824349	5.881036997	75.88287245	15.0968611	9.020266451	0	0	0	-770.2736712	0.006454626445	199.460553240464	
495.8436712	76	15	9	0.01279505641	0.01283277159	94.01185744	0.08073750396	5.907405058	75.76585258	15.19394493	9.040202491	0	0	0	-768.9936712	0.01283277159	201.809258941024	
493.2836712	76	15	9	0.02533876356	0.0253805351	93.95969061	0.08040993177	5.959899457	75.53229867	15.38853255	9.079168776	0	0	0	-766.4336712	0.0253805351	206.322768253645	
490.7236712	76	15	9	0.03764071737	0.03765430688	93.9078668	0.08007558453	6.012057612	75.29930327	15.58378559	9.11691114	0	0	0	-763.8736712	0.03765430688	210.892624252851	
488.1636712	76	15	9	0.04970951511	0.0496640341	93.8563855	0.07973465704	6.063879842	75.06683084	15.77972912	9.153440036	0	0	0	-761.3136712	0.0496640341	215.492770904	
485.6036712	76	15	9	0.06155340878	0.06141925515	93.80524604	0.07938731782	6.11536664	74.83484831	15.9763858	9.188765889	0	0	0	-758.7536712	0.06141925515	220.122615265358	
483.0436712	76	15	9	0.07318017985	0.07292897827	93.75444789	0.07903372875	6.166518386	74.60332421	16.17377712	9.222898671	0	0	0	-756.1936712	0.07292897827	224.782897852281	
480.4836712	76	15	9	0.084597172	0.08420171837	93.7039906	0.07867404535	6.217335351	74.37222859	16.37192346	9.255847946	0	0	0	-753.6336712	0.08420171837	229.474403390497	
