T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
875.7048234	80	20	0	0		97.64512769	2.354872305			80	20	0.002940536579	-0.002940536579			0.002940536579	-0.002940536579	-875.7048234	0			
875.6948234	80	20	0.0001859881626	0.0001668321483		97.64466174	2.355338259			79.99705851	20.00294149	0.005881802797	-0.005881802797			0	0	-875.6948234	0.0001668321483			
875.6748234	80	20	0.000557255141	0.0003331140481		97.64372912	2.356270884			79.99117897	20.00882103	0.008820380065	-0.008820380065			0	0	-875.6748234	0.0003331140481			
875.6348234	80	20	0.001299105574	0.0006657842137		97.64186391	2.358136088			79.97942047	20.02057953	0.01469851747	-0.01469851747			0	0	-875.6348234	0.0006657842137			
875.5548234	80	20	0.002779629651	0.001329621315		97.63813199	2.361868012			79.95591331	20.04408669	0.02644551657	-0.02644551657			0	0	-875.5548234	0.001329621315			
875.3948234	80	20	0.005728029007	0.002651483277		97.63066207	2.369337935			79.90893833	20.09106167	0.0499099548	-0.0499099548			0	0	-875.3948234	0.002651483277			
875.0748234	80	20	0.01157469533	0.005272160535		97.6156978	2.384302203			79.81514579	20.18485421	0.09672059834	-0.09672059834			0	0	-875.0748234	0.005272160535			
874.4348234	80	20	0.023055483	0.01041083785		97.58567106	2.414328941			79.62819271	20.37180729	0.1898690244	-0.1898690244			0	0	-874.4348234	0.01041083785			
873.1548234	80	20	0.04523282332	0.02032928262		97.52521538	2.474784617			79.2568042	20.7431958	0.3742776587	-0.3742776587			0	0	-873.1548234	0.02032928262			
870.5948234	80	20	0.08668043205	0.03881001153		97.4026324	2.597367596			78.52409479	21.47590521	0.7355457495	-0.7355457495			0	0	-870.5948234	0.03881001153			
868.0348234	80	20	0.1245724131	0.03694008315		97.27769136	2.722308636			77.80476329	22.19523671	0.7221163239	-0.7221163239			0	0	-868.0348234	0.03694008315			
865.4748234	80	20	0.1593308148	0.0352111946		97.15022591	2.849774085			77.09872609	22.90127391	0.7087703145	-0.7087703145			0	0	-865.4748234	0.0352111946			
862.9148234	80	20	0.1913164967	0.03361051379		97.02005651	2.97994349			76.40587284	23.59412716	0.6955351617	-0.6955351617			0	0	-862.9148234	0.03361051379			
860.3548234	80	20	0.2208384425	0.0321255651		96.88698824	3.113011764			75.72606631	24.27393369	0.6824377933	-0.6824377933			0	0	-860.3548234	0.0321255651			
857.7948234	80	20	0.2481626762	0.03074548966		96.75080903	3.249190967			75.05914553	24.94085447	0.6695020633	-0.6695020633			0	0	-857.7948234	0.03074548966			
855.2348234	80	20	0.2735194264	0.02946080597		96.61128748	3.388712519			74.40492831	25.59507169	0.6567492612	-0.6567492612			0	0	-855.2348234	0.02946080597			
852.6748234	80	20	0.2971089079	0.0282631946		96.46817021	3.53182979			73.76321373	26.23678627	0.6441982161	-0.6441982161			0	0	-852.6748234	0.0282631946			
850.1148234	80	20	0.319106023	0.0271453239		96.32117884	3.678821164			73.13378442	26.86621558	0.6318654283	-0.6318654283			0	0	-850.1148234	0.0271453239			
847.5548234	80	20	0.3396642121	0.02610070833		96.17000634	3.829993657			72.51640878	27.48359122	0.6197651441	-0.6197651441			0	0	-847.5548234	0.02610070833			
844.9948234	80	20	0.3589186277	0.02512359258		96.01431276	3.985687239			71.91084304	28.08915696	0.6079096135	-0.6079096135			0	0	-844.9948234	0.02512359258			
