T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
861.6525594	91	6	3	0.6251903702	0.02530725325	97.16292766	0.3414989251	2.495573412	79.91953953	15.49441939	4.586041077										0	0	0	-861.6525594	0.02530725325	-2136.56264549936	
859.0925594	91	6	3	0.6344854504	0.0241571676	97.12310541	0.348467097	2.528427496	79.49366212	15.8693602	4.636977677										0	0	0	-859.0925594	0.0241571676	-2328.42802180227	
856.5325594	91	6	3	0.6431665324	0.02310045707	97.08363566	0.3552815603	2.561082784	79.07771719	16.23621706	4.686065754										0	0	0	-856.5325594	0.02310045707	-2530.11879076683	
853.9725594	91	6	3	0.651296436	0.022126769	97.04449628	0.361947207	2.593556514	78.67117496	16.59541116	4.733413883										0	0	0	-853.9725594	0.022126769	-2741.72480831152	
851.4125594	91	6	3	0.658929595	0.02122716839	97.00566716	0.368468304	2.625864533	78.27354506	16.94733351	4.779121429										0	0	0	-851.4125594	0.02122716839	-2963.33072702897	
848.8525594	91	6	3	0.6661134114	0.02039391094	96.96712997	0.3748485665	2.658021461	77.88437302	17.29234747	4.823279509										0	0	0	-848.8525594	0.02039391094	-3195.01671045793	
846.2925594	91	6	3	0.6728893561	0.01962025727	96.92886795	0.3810912208	2.690040828	77.50323715	17.63079102	4.865971835										0	0	0	-846.2925594	0.01962025727	-3436.85903337737	
843.7325594	91	6	3	0.67929387	0.01890031985	96.89086575	0.3871990584	2.721935196	77.12974566	17.96297887	4.907275465										0	0	0	-843.7325594	0.01890031985	-3688.93036901728	
841.1725594	91	6	3	0.685359106	0.01822893635	96.85310926	0.3931744839	2.753716258	76.76353408	18.28920446	4.94726146										0	0	0	-841.1725594	0.01822893635	-3951.30039272202	
838.6125594	91	6	3	0.6911135442	0.01760156444	96.81558552	0.3990195554	2.785394929	76.40426287	18.60974166	4.985995472										0	0	0	-838.6125594	0.01760156444	-4226.23282390454	
836.0525594	91	6	3	0.6965826727	0.01701474918	96.77828163	0.4047360817	2.816982284	76.05161103	18.92484985	5.02353912										0	0	0	-836.0525594	0.01701474918	-4507.84088734138	
833.4925594	91	6	3	0.7017888129	0.01646353984	96.74118829	0.4103253324	2.848486373	75.70529242	19.23476032	5.059947264										0	0	0	-833.4925594	0.01646353984	-4799.60535967934	
830.9325594	91	6	3	0.7067522676	0.01594588957	96.70429445	0.4157886695	2.879916878	75.36502497	19.53970225	5.095272784										0	0	0	-830.9325594	0.01594588957	-5104.86015233706	
828.3725594	91	6	3	0.7114911883	0.01545872582	96.66759062	0.4211270852	2.911282299	75.03054962	19.83988606	5.129564323										0	0	0	-828.3725594	0.01545872582	-5419.69446539187	
825.8125594	91	6	3	0.7160219191	0.01499953467	96.63106797	0.4263413666	2.942590663	74.70162348	20.13550933	5.162867187										0	0	0	-825.8125594	0.01499953467	-5745.19617469745	
823.2525594	91	6	3	0.7203592185	0.01456606539	96.59471831	0.4314321158	2.97384957	74.37801855	20.42675781	5.195223636										0	0	0	-823.2525594	0.01456606539	-6081.42961865447	
820.6925594	91	6	3	0.7245164483	0.01415629619	96.55853401	0.4363997672	3.005066227	74.0595205	20.71380636	5.226673148										0	0	0	-820.6925594	0.01415629619	-6428.45073602533	
818.1325594	91	6	3	0.7285057371	0.01376840659	96.52250791	0.4412446027	3.036247485	73.74592763	20.99681972	5.257252653										0	0	0	-818.1325594	0.01376840659	-6786.31582255594	
815.5725594	91	6	3	0.7323381203	0.0134007535	96.48663337	0.4459667659	3.067399867	73.43704993	21.27595333	5.286996741										0	0	0	-815.5725594	0.0134007535	-7155.08121819954	
813.0125594	91	6	3	0.7360236619	0.0130518506	96.45090413	0.4505662746	3.098529594	73.13270817	21.55135398	5.315937853										0	0	0	-813.0125594	0.0130518506	-7534.80300815156	
810.4525594	91	6	3	0.7395715604	0.01272035041	96.41531436	0.4550430324	3.12964261	72.8327331	21.82316045	5.34410645										0	0	0	-810.4525594	0.01272035041	-7466.41134659905	
809.8125594	91	6	3	0.7404365592	0.003140600273	96.4064253	0.4561360541	3.137438642	72.75846746	21.89047392	5.351058617										0	0	0	-809.8125594	0.003140600273	-67.6863326915737	
809.6525594	91	6	3	0.7406519378	0.0007842797364	96.40420124	0.4564066035	3.139392156	72.73995423	21.90725006	5.352795709										0	0	0	-809.6525594	0.0007842797364	-184.036451853301	
809.5725594	91	6	3	0.7407592017	0.0003910037922	96.40309038	0.4565421908	3.140367427	72.73069952	21.91563933	5.353661147										0	0	0	-809.5725594	0.0003910037922	-204.131324409722	
809.5325594	91	6	3	0.740812782	0.000195390782	96.402535	0.4566099389	3.140855064	72.72607368	21.91983272	5.354093602										0	0	0	-809.5325594	0.000195390782	-204.569455315248	
809.5125594	91	6	3	0.7408395578	9.764455054E-05	96.40225731	0.4566437955	3.141098899	72.72376119	21.92192902	5.354309786										0	0	0	-809.5125594	9.764455054E-05	-243.641977676016	
809.4925594	91	6	3	0.7413479964	0.0007810959594	96.40313209	0.4572773829	3.139590524	72.71608878	21.93178868	5.352122535	62.54235303	28.42537001	9.032276954							0	0	0	-809.4925594	0.0007810959594	164.655311594544	
809.4725594	91	6	3	0.7419312819	0.0008886454388	96.40419071	0.4580081896	3.137801097	72.70755628	21.94289362	5.349550096	62.54235303	28.42537001	9.032276954							0	0	0	-809.4725594	0.0008886454388	170.648089427783	
809.4325594	91	6	3	0.7430889341	0.001767538909	96.40629834	0.4594702734	3.134231385	72.69051244	21.96506922	5.344418337	62.54235303	28.42537001	9.032276954							0	0	0	-809.4325594	0.001767538909	45.848555592604	
809.3525594	91	6	3	0.7453638889	0.00348768428	96.41047331	0.4623890869	3.127137606	72.65660985	22.00916496	5.334225188	62.54235303	28.42537001	9.032276954							0	0	0	-809.3525594	0.00348768428	47.1172326386434	
809.1925594	91	6	3	0.7497639238	0.006800911938	96.41866895	0.4682130205	3.113118034	72.58943334	22.09647193	5.314094728	62.54235303	28.42537001	9.032276954							0	0	0	-809.1925594	0.006800911938	49.6175603219386	
808.8725594	91	6	3	0.7580077777	0.01294562574	96.43446968	0.4798104088	3.085719915	72.45748112	22.2677095	5.274809376	62.54235303	28.42537001	9.032276954							0	0	0	-808.8725594	0.01294562574	54.9382490354545	
808.2325594	91	6	3	0.772600777	0.02362797274	96.46389816	0.5028377306	3.03326411	72.20233314	22.59787327	5.19979359	62.54235303	28.42537001	9.032276954							0	0	0	-808.2325594	0.02362797274	66.6574246297395	
806.9525594	91	6	3	0.7960663594	0.04022205001	96.51526971	0.5484316851	2.936298602	71.72175725	23.216454	5.061788753	62.54235303	28.42537001	9.032276954							0	0	0	-806.9525594	0.04022205001	94.652186753631	
