T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
893.3034496	85	12	3	0	0	97.99805424	0.379844976	1.622100781	85	12	3										0.002721988894	-0.002433452563	-0.0002885363315	-893.3034496	0	23.7344549391707	
893.2934496	85	12	3	0.0002150935133	0.0002095061131	97.99789038	0.3799122041	1.622197415	84.99727822	12.00243314	3.000288641										0	0	0	-893.2934496	0.0002095061131	71.7281533067069	
893.2734496	85	12	3	0.0006446958688	0.00041855285	97.99756282	0.3800466825	1.622390498	84.99183539	12.0072991	3.000865517										0	0	0	-893.2734496	0.00041855285	95.7204663492955	
893.2334496	85	12	3	0.001502509782	0.0008360175551	97.99690804	0.3803154915	1.622776466	84.98095474	12.01702669	3.002018562										0	0	0	-893.2334496	0.0008360175551	95.9273966666976	
893.1534496	85	12	3	0.003212678925	0.001668064187	97.99559896	0.3808528206	1.623548221	84.95921288	12.03646544	3.004321679										0	0	0	-893.1534496	0.001668064187	96.3787818225986	
892.9934496	85	12	3	0.006611336366	0.003320339542	97.99298342	0.3819261291	1.625090454	84.91580672	12.07527722	3.008916051										0	0	0	-892.9934496	0.003320339542	97.3024544717512	
892.6734496	85	12	3	0.01332313833	0.00657826921	97.98776275	0.3840673881	1.628169862	84.82930359	12.15263883	3.018057578										0	0	0	-892.6734496	0.00657826921	99.2580132773624	
892.0334496	85	12	3	0.02639644915	0.01289813744	97.97736812	0.3883321184	1.634299759	84.65750142	12.30635988	3.036138707										0	0	0	-892.0334496	0.01289813744	103.305467414329	
890.7534496	85	12	3	0.05125952627	0.02484327266	97.95674742	0.3967859149	1.646466666	84.31868247	12.60977515	3.071542384										0	0	0	-890.7534496	0.02484327266	111.651798471862	
888.1934496	85	12	3	0.0964027102	0.04623005626	97.91613449	0.413407045	1.670458469	83.65957127	13.20097377	3.13945496										0	0	0	-888.1934496	0.04623005626	-904.965965502282	
885.6334496	85	12	3	0.1362552498	0.04276588465	97.87618681	0.4296105679	1.694202618	83.02442273	13.7715535	3.204023775										0	0	0	-885.6334496	0.04276588465	-792.120821780378	
883.0734496	85	12	3	0.1717013269	0.03971434235	97.8368385	0.445430403	1.717731101	82.41182882	14.32267911	3.265492069										0	0	0	-883.0734496	0.03971434235	-896.880127316764	
880.5134496	85	12	3	0.2034433286	0.0370143828	97.79803222	0.4608961196	1.741071663	81.82042781	14.85548582	3.32408637										0	0	0	-880.5134496	0.0370143828	-1010.83211668563	
877.9534496	85	12	3	0.2320441173	0.03461411065	97.75971841	0.476033782	1.764247804	81.24892137	15.37106394	3.380014696										0	0	0	-877.9534496	0.03461411065	-1134.04521165237	
875.3934496	85	12	3	0.257959444	0.0324706371	97.72185388	0.4908663796	1.787279743	80.69608385	15.8704487	3.433467454										0	0	0	-875.3934496	0.0324706371	-1266.75617512043	
872.8334496	85	12	3	0.2815618511	0.03054830577	97.6844007	0.5054141946	1.810185103	80.16076658	16.35461486	3.484618555										0	0	0	-872.8334496	0.03054830577	-1409.17733821011	
