T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
917.0495295	96	4	0	0	97.54146434	2.458535663	96	4			0.001243121699	-0.001243121699	-917.0495295	0	5.75639008875046	
917.0395295	96	4	0.0007826412141	0.0008156298164	97.54089905	2.45910095	95.99875955	4.001240453			0	0	-917.0395295	0.0008156298164	18.7645379080424	
917.0195295	96	4	0.002329233578	0.00161197264	97.53976549	2.460234512	95.99627162	4.003728385			0	0	-917.0195295	0.00161197264	25.073484709227	
916.9795295	96	4	0.005406753974	0.003212586029	97.53750234	2.462497659	95.99130491	4.008695094			0	0	-916.9795295	0.003212586029	25.0436463641333	
916.8995295	96	4	0.0115126358	0.006393573003	97.532983	2.467016997	95.98138696	4.01861304			0	0	-916.8995295	0.006393573003	25.274890825766	
916.7395295	96	4	0.02353126757	0.01266263641	97.52397177	2.476028234	95.96161232	4.038387681			0	0	-916.7395295	0.01266263641	25.7951461955169	
916.4195295	96	4	0.04679802031	0.0248186173	97.50605735	2.493942649	95.92230567	4.07769433			0	0	-916.4195295	0.0248186173	26.8658525375921	
915.7795295	96	4	0.09050909033	0.0477676548	97.47064409	2.529355912	95.84463424	4.155365762			0	0	-915.7795295	0.0477676548	29.0677430591601	
914.4995295	96	4	0.1680494744	0.08882168379	97.40136457	2.598635432	95.69287924	4.307120758			0	0	-914.4995295	0.08882168379	33.8863229293291	
911.9395295	96	4	0.2923196758	0.1556700936	97.26821443	2.731785574	95.40240593	4.597594072			0	0	-911.9395295	0.1556700936	-203.342018272797	
909.3795295	96	4	0.3847374938	0.1366486693	97.14109607	2.858903926	95.1272124	4.872787605			0	0	-909.3795295	0.1366486693	-154.71505550791	
906.8195295	96	4	0.4559958475	0.1216424408	97.01892844	2.981071558	94.86523199	5.134768009			0	0	-906.8195295	0.1216424408	-193.299557435338	
904.2595295	96	4	0.5125380188	0.109544338	96.90090324	3.099096763	94.6148029	5.385197102			0	0	-904.2595295	0.109544338	-236.898795862714	
901.6995295	96	4	0.5584589065	0.09960921477	96.78639811	3.213601895	94.37456193	5.625438071			0	0	-901.6995295	0.09960921477	-285.602057119883	
899.1395295	96	4	0.5964772601	0.09132175361	96.67492377	3.325076227	94.14337669	5.856623312			0	0	-899.1395295	0.09132175361	-339.506162495329	
896.5795295	96	4	0.6284646895	0.08431536656	96.56608842	3.433911583	93.92029576	6.079704244			0	0	-896.5795295	0.08431536656	-398.695969542683	
894.0195295	96	4	0.6557494287	0.07832272694	96.45957321	3.54042679	93.70451187	6.295488135			0	0	-894.0195295	0.07832272694	-463.243624973325	
891.4595295	96	4	0.6792988605	0.07314468871	96.35511509	3.644884914	93.49533409	6.504665909			0	0	-891.4595295	0.07314468871	-533.210625419463	
888.8995295	96	4	0.6998334971	0.06863011287	96.2524943	3.747505695	93.29216647	6.707833533			0	0	-888.8995295	0.06863011287	-608.649594471509	
886.3395295	96	4	0.71790055	0.06466240137	96.1515253	3.848474703	93.09449131	6.905508686			0	0	-886.3395295	0.06466240137	-689.60581366896	
883.7795295	96	4	0.7339228018	0.06115028595	96.05204981	3.947950193	92.90185607	7.09814393			0	0	-883.7795295	0.06115028595	-776.118540452874	
881.2195295	96	4	0.7482319021	0.05802139032	95.95393167	4.04606833	92.71386277	7.286137231			0	0	-881.2195295	0.05802139032	-868.222144446364	
