T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(LI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(LI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(LI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(LI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
822.0865733	81	11	8	0	0		95.13905488	0.08163142176	4.779313695				81	11	8	0.001076433509	-0.0008312494239	-0.0002451840848				0.001076433509	-0.0008312494239	-0.0002451840848	-822.0865733	0			
822.0765733	81	11	8	7.421609768E-05	7.617234228E-05		95.13883261	0.08163248439	4.779534906				80.99892406	11.00083064	8.0002453	0.002152845942	-0.001662508581	-0.000490337361				0	0	0	-822.0765733	7.617234228E-05			
822.0565733	81	11	8	0.0002225303732	0.0001522577725		95.13838813	0.08163462653	4.779977241				80.99677115	11.00249324	8.000735608	0.003229231215	-0.002493811605	-0.0007354196097				0	0	0	-822.0565733	0.0001522577725			
822.0165733	81	11	8	0.0005190058254	0.0003043972645		95.13749931	0.0816389051	4.780861781				80.99246601	11.00581812	8.001715872	0.005381320399	-0.004156047235	-0.001225273164				0	0	0	-822.0165733	0.0003043972645			
821.9365733	81	11	8	0.001111410773	0.0006083894464		95.13572196	0.08164744287	4.782630599				80.9838575	11.01246729	8.003675211	0.009684468199	-0.007480345083	-0.002204123117				0	0	0	-821.9365733	0.0006083894464			
821.7765733	81	11	8	0.002293995452	0.001215008088		95.13216831	0.08166443408	4.78616726				80.96664788	11.02576285	8.00758927	0.01828568978	-0.01412750882	-0.004158180967				0	0	0	-821.7765733	0.001215008088			
821.4565733	81	11	8	0.004650491381	0.002423577889		95.12506548	0.08169810711	4.793236414				80.93225688	11.05234467	8.015398453	0.03546789053	-0.02741612309	-0.008051767447				0	0	0	-821.4565733	0.002423577889			
820.8165733	81	11	8	0.00932909973	0.004821608477		95.11087766	0.08176421838	4.807358125				80.86358728	11.10547131	8.030941404	0.06975181806	-0.05397067214	-0.01578114592				0	0	0	-820.8165733	0.004821608477			
819.5365733	81	11	8	0.01854527023	0.009538430306		95.08257993	0.08189232442	4.835527741				80.72665409	11.21163174	8.061714173	0.1380016577	-0.1069903944	-0.03101126329				0	0	0	-819.5365733	0.009538430306			
816.9765733	81	11	8	0.03644702575	0.01867963387		95.02627569	0.08213051569	4.891593795				80.45445654	11.42348532	8.122058141	0.2732580923	-0.2126820326	-0.06057605972				0	0	0	-816.9765733	0.01867963387			
814.4165733	81	11	8	0.05361902618	0.01823352399		94.9702594	0.08233525128	4.947405344				80.18487009	11.63411182	8.181018093	0.2706361484	-0.2114502989	-0.05918584943				0	0	0	-814.4165733	0.01823352399			
811.8565733	81	11	8	0.07010748367	0.01780788647		94.91452042	0.08250700613	5.002972578				79.91781358	11.84354814	8.238638273	0.2680964577	-0.2102554716	-0.05784098612				0	0	0	-811.8565733	0.01780788647			
809.2965733	81	11	8	0.08595525004	0.01740195827		94.85904671	0.08264623254	5.058307055				79.65320517	12.05183259	8.294962241	0.2656389315	-0.2090990894	-0.05653984209				0	0	0	-809.2965733	0.01740195827			
806.7365733	81	11	8	0.1012014915	0.0170143093		94.80382736	0.08275336059	5.113419282				79.39096891	12.2590003	8.350030793	0.263257634	-0.2079779868	-0.05527964723				0	0	0	-806.7365733	0.0170143093			
804.1765733	81	11	8	0.1158821854	0.0166437568		94.74885189	0.08282880775	5.168319297				79.13103249	12.46508494	8.403882577	0.2609489283	-0.2068906854	-0.05405824294				0	0	0	-804.1765733	0.0166437568			
