T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
879.9674831	80	18	2	0	0	98.11379047	0.9152152419	0.9709942902	80	18	2							0.002659320599	-0.002508253092	-0.0001510675069	-879.9674831	0	33.7763401608958	
879.9574831	80	18	2	0.0001575346198	0.000146953749	98.11361973	0.915357125	0.9710231441	79.99734074	18.0025081	2.000151158							0	0	0	-879.9574831	0.000146953749	102.32090224414	
879.9374831	80	18	2	0.0004720655023	0.0002934807128	98.1132783	0.9156409583	0.9710807419	79.99202317	18.00752361	2.000453214							0	0	0	-879.9374831	0.0002934807128	136.511577001209	
879.8974831	80	18	2	0.001100364608	0.0005864192426	98.11259549	0.91620855	0.9711959645	79.98139237	18.01755058	2.001057049							0	0	0	-879.8974831	0.0005864192426	136.683079444665	
879.8174831	80	18	2	0.002353906247	0.001170558702	98.11123009	0.9173434966	0.9714264168	79.96014808	18.03758826	2.002263659							0	0	0	-879.8174831	0.001170558702	137.203669221864	
879.6574831	80	18	2	0.004848877127	0.002332495688	98.10849997	0.919612197	0.9718878375	79.91772856	18.077599	2.004672447							0	0	0	-879.6574831	0.002332495688	138.215280501748	
879.3374831	80	18	2	0.009790879651	0.004630812403	98.10304262	0.9241451074	0.9728122679	79.83316495	18.15736272	2.009472333							0	0	0	-879.3374831	0.004630812403	140.370939165059	
878.6974831	80	18	2	0.01947623308	0.009119065396	98.09214017	0.9331957954	0.9746640381	79.66512736	18.31587696	2.018995671							0	0	0	-878.6974831	0.009119065396	144.813320359176	
877.4174831	80	18	2	0.03811064135	0.01770629228	98.07038053	0.9512334117	0.9783860553	79.33336114	18.62888566	2.037753203							0	0	0	-877.4174831	0.01770629228	153.87687927015	
874.8574831	80	18	2	0.07268093795	0.03344027072	98.02702925	0.9870679594	0.9859027927	78.68659194	19.23926332	2.074144741							0	0	0	-874.8574831	0.03344027072	-1457.18598817978	
872.2974831	80	18	2	0.1040421104	0.03138501523	97.98387395	1.022580672	0.9935453805	78.06132246	19.82951928	2.109158263							0	0	0	-872.2974831	0.03138501523	-1314.87691478577	
869.7374831	80	18	2	0.1326209075	0.02952661635	97.94089047	1.05780033	1.001309198	77.45648742	20.40064805	2.142864526							0	0	0	-869.7374831	0.02952661635	-1452.25941427012	
867.1774831	80	18	2	0.1587745157	0.0278423894	97.89805655	1.092753661	1.009189784	76.87104524	20.95362203	2.175332728							0	0	0	-867.1774831	0.0278423894	-1599.95860154738	
864.6174831	80	18	2	0.1828030162	0.02631186879	97.8553516	1.127465709	1.017182693	76.30398866	21.48938205	2.206629289							0	0	0	-864.6174831	0.02631186879	-1757.97594796386	
862.0574831	80	18	2	0.2049600409	0.02491733266	97.81275648	1.161959896	1.025283627	75.75435209	22.00883043	2.236817479							0	0	0	-862.0574831	0.02491733266	-1926.56430778221	
859.4974831	80	18	2	0.2254611891	0.02364340747	97.77025338	1.196258092	1.033488524	75.22121605	22.51282672	2.265957237							0	0	0	-859.4974831	0.02364340747	-2105.95994086537	
856.9374831	80	18	2	0.2444907233	0.0224767299	97.72782569	1.230380709	1.041793606	74.70370922	23.00218567	2.294105103							0	0	0	-856.9374831	0.0224767299	-2296.38312705371	
854.3774831	80	18	2	0.2622069312	0.02140565964	97.68545781	1.264346783	1.050195404	74.20100913	23.47767664	2.321314239							0	0	0	-854.3774831	0.02140565964	-2498.03980543317	
