T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(LI@ALCU_THETA)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
876.788547	79	20	1	0	0	98.0270011	1.518533697	0.4544652046	79	20	1										0.002885975291	-0.002803228639	-8.27466519E-05	-876.788547	0	32.6983760901535	
876.778547	79	20	1	0.0001668924475	0.0001518241821	98.02673916	1.518795522	0.4544653206	78.99711397	20.00280324	1.000082791										0	0	0	-876.778547	0.0001518241821	99.0329444633054	
876.758547	79	20	1	0.0005001163611	0.0003032176138	98.02621512	1.519319378	0.4544654984	78.991343	20.00840874	1.000248258										0	0	0	-876.758547	0.0003032176138	132.125691345454	
876.718547	79	20	1	0.001165798525	0.0006058700563	98.02516709	1.52036701	0.4544659014	78.97980475	20.01961613	1.000579123										0	0	0	-876.718547	0.0006058700563	132.272675847998	
876.638547	79	20	1	0.002494110722	0.001209698791	98.02307081	1.522462364	0.4544668228	78.95674328	20.0420162	1.00124052										0	0	0	-876.638547	0.001209698791	132.712576756643	
876.478547	79	20	1	0.005138584698	0.002411263829	98.01887744	1.526653436	0.4544691268	78.91068047	20.08675755	1.00256198										0	0	0	-876.478547	0.002411263829	133.613264860586	
876.158547	79	20	1	0.01037939468	0.004790245321	98.01048736	1.535037068	0.4544755737	78.81879518	20.17600527	1.00519955										0	0	0	-876.158547	0.004790245321	135.533369407129	
875.518547	79	20	1	0.02065930882	0.0094436903	97.99369332	1.551812467	0.4544942106	78.63598641	20.35356376	1.010449832										0	0	0	-875.518547	0.0094436903	139.496203774266	
874.238547	79	20	1	0.04047204202	0.01837809537	97.96004852	1.585394062	0.4545574226	78.27419387	20.70494871	1.020857412										0	0	0	-874.238547	0.01837809537	147.535446733457	
871.678547	79	20	1	0.07733906867	0.03485101591	97.89251838	1.652696002	0.4547856177	77.56575935	21.39294225	1.041298402										0	0	0	-871.678547	0.03485101591	-1490.92041599833	
869.118547	79	20	1	0.1108873422	0.03287120958	97.82463682	1.720225731	0.4551374522	76.87719158	22.06158732	1.061221101										0	0	0	-869.118547	0.03287120958	-1353.7321243556	
866.558547	79	20	1	0.1415284891	0.03105483347	97.75637074	1.788019499	0.455609757	76.20801092	22.71135805	1.080631031										0	0	0	-866.558547	0.03105483347	-1474.72596567325	
863.998547	79	20	1	0.1696128531	0.02938677453	97.68768696	1.856114133	0.4561989048	75.5576815	23.34278185	1.099536651										0	0	0	-863.998547	0.02938677453	-1604.45641848166	
861.438547	79	20	1	0.1954391455	0.02785255364	97.61855165	1.924547515	0.4569008391	74.9256256	23.95642588	1.117948515										0	0	0	-861.438547	0.02785255364	-1742.92635269045	
858.878547	79	20	1	0.2192632886	0.02643927749	97.54893027	1.993358503	0.4577112256	74.31123784	24.55288338	1.135878774										0	0	0	-858.878547	0.02643927749	-1890.48401153654	
856.318547	79	20	1	0.2413055488	0.0251354494	97.47878751	2.062586916	0.4586255728	73.71389666	25.13276259	1.153340751										0	0	0	-856.318547	0.0251354494	-2047.4673990241	
853.758547	79	20	1	0.2617563196	0.02393079731	97.40808713	2.132273544	0.4596393267	73.13297387	25.69667754	1.17034859										0	0	0	-853.758547	0.02393079731	-2214.1989783291	
