T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
908.1514824	95	5	0	0	97.08192855	2.91807145	95	5			0.001023974841	-0.001023974841	-908.1514824	0	8.5900075198165	
908.1414824	95	5	0.0004778279189	0.0005043377153	97.08145184	2.918548157	94.9989777	5.001022297			0	0	-908.1414824	0.0005043377153	31.0659598870331	
908.1214824	95	5	0.001409276691	0.0009834684742	97.08049653	2.919503471	94.99692865	5.003071354			0	0	-908.1214824	0.0009834684742	41.4542995418222	
908.0814824	95	5	0.003266037357	0.001962276471	97.07858812	2.921411879	94.99283612	5.00716388			0	0	-908.0814824	0.001962276471	40.9190834628372	
908.0014824	95	5	0.006961116222	0.0039123177	97.0747746	2.925225396	94.98466009	5.015339907			0	0	-908.0014824	0.0039123177	41.1537009419621	
907.8414824	95	5	0.014278369	0.007776196909	97.06716063	2.932839371	94.96834387	5.031656133			0	0	-907.8414824	0.007776196909	41.6704971563041	
907.5214824	95	5	0.02862755363	0.01536208835	97.05198427	2.948015727	94.93585344	5.064146557			0	0	-907.5214824	0.01536208835	42.7518260277352	
906.8814824	95	5	0.0561996213	0.02995887679	97.02183325	2.978166754	94.87142946	5.128570536			0	0	-906.8814824	0.02995887679	44.9827056961612	
905.6014824	95	5	0.1072879792	0.05713488012	96.96229728	3.03770272	94.744727	5.255272998			0	0	-905.6014824	0.05713488012	49.5980495897458	
903.0414824	95	5	0.1957285403	0.1045787598	96.84601529	3.153984707	94.4992998	5.5007002			0	0	-903.0414824	0.1045787598	-361.080884368738	
900.4814824	95	5	0.2682508868	0.09548576041	96.73300669	3.266993313	94.26349688	5.736503116			0	0	-900.4814824	0.09548576041	-310.654396867817	
897.9214824	95	5	0.3287758424	0.08784665182	96.62283189	3.37716811	94.03627673	5.963723266			0	0	-897.9214824	0.08784665182	-367.00637894737	
895.3614824	95	5	0.3800466004	0.08135118622	96.51513646	3.484863539	93.8167607	6.1832393			0	0	-895.3614824	0.08135118622	-428.735557947067	
892.8014824	95	5	0.4240351402	0.07576764464	96.40962992	3.590370085	93.6041999	6.395800103			0	0	-892.8014824	0.07576764464	-495.854649509295	
890.2414824	95	5	0.4621936503	0.07092175416	96.30607112	3.693928879	93.39795092	6.602049076			0	0	-890.2414824	0.07092175416	-568.419131018362	
887.6814824	95	5	0.4956141663	0.06668018518	96.20425758	3.795742419	93.19745691	6.802543094			0	0	-887.6814824	0.06668018518	-646.477957198202	
885.1214824	95	5	0.525133081	0.0629393434	96.10401746	3.895982538	93.00223261	6.997767392			0	0	-885.1214824	0.0629393434	-730.073390135638	
882.5614824	95	5	0.5514014369	0.05961762172	96.00520359	3.99479641	92.81185262	7.188147379			0	0	-882.5614824	0.05961762172	-819.24222853426	
880.0014824	95	5	0.5749333421	0.05664993397	95.90768884	4.092311163	92.62594187	7.374058127			0	0	-880.0014824	0.05664993397	-914.016868295297	
877.4414824	95	5	0.596140029	0.05398378775	95.81136254	4.188637459	92.44416796	7.555832044			0	0	-877.4414824	0.05398378775	-1014.42621290576	
874.8814824	95	5	0.6153542715	0.0515764166	95.71612769	4.283872311	92.26623485	7.733765154			0	0	-874.8814824	0.0515764166	-1120.49648125525	
872.3214824	95	5	0.6328481889	0.04939265469	95.62189868	4.37810132	92.09187774	7.908122259			0	0	-872.3214824	0.04939265469	-1232.25191165947	
869.7614824	95	5	0.6488464289	0.04740334042	95.52859952	4.471400476	91.92085878	8.079141222			0	0	-869.7614824	0.04740334042	-1219.98580961813	
869.1214824	95	5	0.652595105	0.01165315555	95.50541196	4.494588045	91.87860035	8.121399647			0	0	-869.1214824	0.01165315555	-18.2218631925414	
868.9614824	95	5	0.6535206138	0.002910028284	95.4996233	4.500376698	91.86806544	8.13193456			0	0	-868.9614824	0.002910028284	-49.5183685994466	
868.8814824	95	5	0.6539798468	0.001448492442	95.49673024	4.503269762	91.86280264	8.137197358			0	0	-868.8814824	0.001448492442	-55.0354862696067	
868.8414824	95	5	0.6542089429	0.000723638765	95.49528401	4.504715988	91.86017236	8.13982764			0	0	-868.8414824	0.000723638765	-55.2299366076466	
868.8214824	95	5	0.6543233612	0.0003616681252	95.49456069	4.505439312	91.8588575	8.141142502			0	0	-868.8214824	0.0003616681252	-55.2955763845002	
868.8114824	95	5	0.6543805681	0.0001808911859	95.49419934	4.505800661	91.85819979	8.141800208			0	0	-868.8114824	0.0001808911859	-55.3304421854569	
868.7914824	95	5	1	0.7332099406	95.4942539	4.505746097			81.8653572	18.1346428			-868.7914824	0.7332099406	0.0272840483144307	
868.7714824	95	5	1	0.7332099406	95.4942539	4.505746097			81.8653572	18.1346428			-868.7714824	0.7332099406	NaN	
868.7314824	95	5	1	0.7332099406	95.4942539	4.505746097			81.8653572	18.1346428			-868.7314824	0.7332099406	NaN	
868.6514824	95	5	1	0.7332099406	95.4942539	4.505746097			81.8653572	18.1346428			-868.6514824	0.7332099406	NaN	
868.4914824	95	5	1	0.7332099406	95.4942539	4.505746097			81.8653572	18.1346428			-868.4914824	0.7332099406	NaN	
868.1714824	95	5	1	0.7332099406	95.4942539	4.505746097			81.8653572	18.1346428			-868.1714824	0.7332099406	NaN	
