T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
878.794852	85	10	5	0	0	97.05974955	0.1683865499	2.771863899	85	10	5													0.001819208308	-0.001483117653	-0.0003360906549	-878.794852	0	33.0092513610776	
878.784852	85	10	5	0.0001498391903	0.0001509051714	97.05954405	0.1684029135	2.772053034	84.99818122	10.00148259	5.000336195													0	0	0	-878.784852	0.0001509051714	99.5243113686474	
878.764852	85	10	5	0.0004492277379	0.0003015846267	97.05913345	0.1684356406	2.772430913	84.99454319	10.00444861	5.001008198													0	0	0	-878.764852	0.0003015846267	132.772729475112	
878.724852	85	10	5	0.001047339925	0.0006026671971	97.05831226	0.1685010912	2.773186646	84.9872695	10.01037907	5.002351431													0	0	0	-878.724852	0.0006026671971	132.969773560467	
878.644852	85	10	5	0.002240947712	0.001203263851	97.05667055	0.1686318954	2.77469755	84.9727309	10.02223405	5.005035052													0	0	0	-878.644852	0.001203263851	133.410284509819	
878.484852	85	10	5	0.004617889789	0.002398835963	97.05338992	0.1688931574	2.777716924	84.94368795	10.04592143	5.010390619													0	0	0	-878.484852	0.002398835963	134.259443350898	
878.164852	85	10	5	0.009331092838	0.00476717486	97.04683971	0.1694143027	2.783745989	84.88573845	10.09320626	5.021055286													0	0	0	-878.164852	0.00476717486	136.051548985593	
877.524852	85	10	5	0.01859063202	0.009408708536	97.03378782	0.1704523022	2.795759875	84.7703552	10.18745349	5.042191313													0	0	0	-877.524852	0.009408708536	139.716522395789	
876.244852	85	10	5	0.03648579079	0.01834465315	97.00786409	0.1725091255	2.819626781	84.5416658	10.37460873	5.083725474													0	0	0	-876.244852	0.01834465315	147.134690670314	
873.684852	85	10	5	0.06997550332	0.03492927701	96.9567044	0.1765486598	2.866746937	84.09231326	10.74372073	5.163966015													0	0	0	-873.684852	0.03492927701	-1576.81796168553	
871.124852	85	10	5	0.1006209749	0.03307915711	96.90625327	0.1804553875	2.913291344	83.65393786	11.10509869	5.240963443													0	0	0	-871.124852	0.03307915711	-1458.45584260178	
868.564852	85	10	5	0.1287841363	0.03140182726	96.85645944	0.1842361016	2.959304454	83.22591385	11.45915162	5.31493453													0	0	0	-868.564852	0.03140182726	-1605.50293332543	
866.004852	85	10	5	0.1547682626	0.02987585389	96.80727661	0.1878966375	3.004826755	82.80766347	11.80626014	5.386076395													0	0	0	-866.004852	0.02987585389	-1761.13949601759	
863.444852	85	10	5	0.1788288647	0.02848257941	96.75866328	0.1914420791	3.049894645	82.39865336	12.14677896	5.454567685													0	0	0	-863.444852	0.02848257941	-1925.22856647995	
860.884852	85	10	5	0.2011827328	0.02720621028	96.71058208	0.1948768698	3.094541045	81.99839039	12.48103885	5.520570759													0	0	0	-860.884852	0.02720621028	-2097.86218415695	
858.324852	85	10	5	0.2220149885	0.02603327858	96.66299924	0.1982049001	3.138795857	81.60641823	12.80934825	5.584233518													0	0	0	-858.324852	0.02603327858	-2279.11216132123	
855.764852	85	10	5	0.2414846583	0.02495224088	96.61588408	0.2014295819	3.182686343	81.22231417	13.13199482	5.645691003													0	0	0	-855.764852	0.02495224088	-2469.04575542964	
853.204852	85	10	5	0.2597291133	0.02395315548	96.56920864	0.2045539112	3.226237449	80.8456862	13.44924701	5.705066787													0	0	0	-853.204852	0.02395315548	-2667.72626868122	
850.644852	85	10	5	0.2768676367	0.02302742108	96.5229474	0.207580521	3.269472082	80.47617031	13.76135549	5.762474196													0	0	0	-850.644852	0.02302742108	-2875.21355614766	
848.084852	85	10	5	0.2930043099	0.02216756388	96.47707693	0.2105117272	3.312411339	80.11342809	14.06855454	5.818017378													0	0	0	-848.084852	0.02216756388	-3091.56451804184	
845.524852	85	10	5	0.3082303645	0.02136706319	96.43157572	0.213349567	3.355074715	79.75714446	14.3710633	5.87179224													0	0	0	-845.524852	0.02136706319	-3316.83350358692	
842.964852	85	10	5	0.3226261117	0.02062020775	96.3864239	0.216095833	3.397480268	79.40702575	14.66908697	5.923887278													0	0	0	-842.964852	0.02062020775	-3551.0725760499	
840.404852	85	10	5	0.3362625347	0.01992197675	96.34160312	0.2187521016	3.43964478	79.06279779	14.96281791	5.974384299													0	0	0	-840.404852	0.01992197675	-3794.33201173747	
837.844852	85	10	5	0.3492026108	0.01926794091	96.29709636	0.2213197588	3.481583879	78.72420435	15.25243658	6.023359074													0	0	0	-837.844852	0.01926794091	-4048.60744339142	
835.284852	85	10	5	0.3615027477	0.01865471826	96.25288683	0.2238000192	3.52331315	78.39100245	15.53811462	6.070882928													0	0	0	-835.284852	0.01865471826	-4308.7005079186	
832.724852	85	10	5	0.37321252	0.0180774748	96.20896161	0.2261938963	3.564844497	78.06297489	15.82000562	6.117019498													0	0	0	-832.724852	0.0180774748	-4577.62090163323	
830.164852	85	10	5	0.3843770004	0.01753417835	96.16530614	0.2285023848	3.606191478	77.73990626	16.09826349	6.161830245													0	0	0	-830.164852	0.01753417835	-4858.3498315249	
827.604852	85	10	5	0.3950365578	0.01702180854	96.12190756	0.2307263018	3.64736614	77.42159842	16.3730297	6.205371876													0	0	0	-827.604852	0.01702180854	-5147.42363144222	
825.044852	85	10	5	0.4052275874	0.01653788313	96.07875382	0.2328663599	3.688379823	77.10786499	16.64443767	6.24769734													0	0	0	-825.044852	0.01653788313	-5445.79077709067	
822.484852	85	10	5	0.4149829927	0.01608017419	96.03583359	0.2349231787	3.729243234	76.7985304	16.91261345	6.288856152													0	0	0	-822.484852	0.01608017419	-5753.50068362775	
819.924852	85	10	5	0.4243325977	0.0156466757	95.99313621	0.2368972959	3.769966495	76.49342912	17.1776762	6.32889468													0	0	0	-819.924852	0.0156466757	-5697.86126213258	
819.284852	85	10	5	0.4266042411	0.003861000991	95.98247515	0.2373724977	3.780152353	76.41789416	17.24333225	6.338773589													0	0	0	-819.284852	0.003861000991	-149.475220011055	
818.964852	85	10	5	0.4277314439	0.001923068877	95.97714604	0.2376073879	3.785246568	76.38023305	17.2760727	6.343694245													0	0	0	-818.964852	0.001923068877	-84.1331088028478	
818.944852	85	10	5	0.4279000605	0.0001853540274	95.97719188	0.237719886	3.785088236	76.37618854	17.28052576	6.343285695	81.85230652	0	18.14769348										0	0	0	-818.944852	0.0001853540274	1230.00829107421	
818.924852	85	10	5	0.4280934279	0.000201770623	95.97733373	0.2378572051	3.784809069	76.37171493	17.28558907	6.342695993	81.85229607	0	18.14770393										0	0	0	-818.924852	0.000201770623	1141.74966553795	
818.884852	85	10	5	0.4284807441	0.0004043299403	95.97761698	0.2381324808	3.784250535	76.3627554	17.29572959	6.341515009	81.85227524	0	18.14772476										0	0	0	-818.884852	0.0004043299403	197.957138205081	
818.804852	85	10	5	0.4292530299	0.0008065050225	95.97818302	0.2386829966	3.783133983	76.34486136	17.31598284	6.339155795	81.85223344	0	18.14776656										0	0	0	-818.804852	0.0008065050225	199.188266294759	
818.644852	85	10	5	0.4307908508	0.001607602788	95.97931284	0.2397859274	3.780901236	76.30911253	17.35644649	6.334440977	81.85214966	0	18.14785034										0	0	0	-818.644852	0.001607602788	200.41581267027	
818.324852	85	10	5	0.4338397776	0.003193476516	95.98156342	0.241999414	3.77643717	76.23777079	17.43720351	6.325025702	81.85198139	0	18.14801861										0	0	0	-818.324852	0.003193476516	203.368924120993	
817.684852	85	10	5	0.4398246633	0.006293175993	95.98602829	0.2464569599	3.76751475	76.09570654	17.59804101	6.306252451	81.85164194	0	18.14835806										0	0	0	-817.684852	0.006293175993	209.450545599136	
816.404852	85	10	5	0.451378952	0.01224202719	95.99481187	0.2554954537	3.749692676	75.81401276	17.91705521	6.268932031	81.85095149	0	18.14904851										0	0	0	-816.404852	0.01224202719	-3788.23767790993	
815.124852	85	10	5	0.4624113476	0.01188098223	96.00339873	0.2647005849	3.731900688	75.53548322	18.23260919	6.231907584	81.85024546	0	18.14975454										0	0	0	-815.124852	0.01188098223	-3351.40837926341	
