T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI	SI				
456.3127259	100	1	1	100		0		-456.3127259	1	NaN	
451.1927259	100	1	1	100		0		-451.1927259	1	NaN	
446.0727259	100	1	1	100		0		-446.0727259	1	NaN	
440.9527259	100	1	1	100		0		-440.9527259	1	NaN	
435.8327259	100	1	1	100		0		-435.8327259	1	NaN	
430.7127259	100	1	1	100		0		-430.7127259	1	NaN	
425.5927259	100	1	1	100		0		-425.5927259	1	NaN	
420.4727259	100	1	1	100		0		-420.4727259	1	NaN	
415.3527259	100	1	1	100		0		-415.3527259	1	NaN	
410.2327259	100	1	1	100		0		-410.2327259	1	NaN	
405.1127259	100	1	1	100		0		-405.1127259	1	NaN	
399.9927259	100	1	1	100		0		-399.9927259	1	NaN	
394.8727259	100	1	1	100		0		-394.8727259	1	NaN	
389.7527259	100	1	1	100		0		-389.7527259	1	NaN	
384.6327259	100	1	1	100		0		-384.6327259	1	NaN	
379.5127259	100	1	1	100		0		-379.5127259	1	NaN	
374.3927259	100	1	1	100		0		-374.3927259	1	NaN	
369.2727259	100	1	1	100		0		-369.2727259	1	NaN	
364.1527259	100	1	1	100		0		-364.1527259	1	NaN	
359.0327259	100	1	1	100		0		-359.0327259	1	NaN	
353.9127259	100	1	1	100		0		-353.9127259	1	NaN	
348.7927259	100	1	1	100		0		-348.7927259	1	NaN	
343.6727259	100	1	1	100		0		-343.6727259	1	NaN	
338.5527259	100	1	1	100		0		-338.5527259	1	NaN	
333.4327259	100	1	1	100		0		-333.4327259	1	NaN	
328.3127259	100	1	1	100		0		-328.3127259	1	NaN	
323.1927259	100	1	1	100		0		-323.1927259	1	NaN	
318.0727259	100	1	1	100		0		-318.0727259	1	NaN	
312.9527259	100	1	1	100		0		-312.9527259	1	NaN	
307.8327259	100	1	1	100		0		-307.8327259	1	NaN	
302.7127259	100	1	1	100		0		-302.7127259	1	NaN	
300	100	1	1	100		0		-300	1	NaN	
