T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
855.9971715	93	7	0.7922459764	0.02983391497		96.65319996	3.346800044			74.59843247	25.40156753	0.660526657	-0.660526657			0	0	-855.9971715	0.02983391497			
853.4371715	93	7	0.7990678143	0.0286111824		96.51118137	3.488818627			73.95301673	26.04698327	0.6479137033	-0.6479137033			0	0	-853.4371715	0.0286111824			
850.8771715	93	7	0.8054247788	0.02747027948		96.36537441	3.634625594			73.31995257	26.68004743	0.6355143346	-0.6355143346			0	0	-850.8771715	0.02747027948			
848.3171715	93	7	0.8113620174	0.02640448189		96.21548098	3.784519018			72.69901241	27.30098759	0.6233434402	-0.6233434402			0	0	-848.3171715	0.02640448189			
845.7571715	93	7	0.8169192501	0.02540782765		96.06117144	3.938828557			72.08995591	27.91004409	0.6114138585	-0.6114138585			0	0	-845.7571715	0.02540782765			
843.1971715	93	7	0.8221315572	0.02447501641		95.90207965	4.097920354			71.49253184	28.50746816	0.5997365003	-0.5997365003			0	0	-843.1971715	0.02447501641			
840.6371715	93	7	0.8270300353	0.02360132676		95.73779706	4.262202943			70.90647982	29.09352018	0.5883205511	-0.5883205511			0	0	-840.6371715	0.02360132676			
838.0771715	93	7	0.8316423476	0.02278254833		95.56786559	4.432134409			70.33153183	29.66846817	0.5771736723	-0.5771736723			0	0	-838.0771715	0.02278254833			
835.5171715	93	7	0.8359931869	0.02201492632		95.39176885	4.608231151			69.76741354	30.23258646	0.5663022128	-0.5663022128			0	0	-835.5171715	0.02201492632			
832.9571715	93	7	0.8401046694	0.02129511656		95.2089213	4.791078696			69.21384537	30.78615463	0.5557114182	-0.5557114182			0	0	-832.9571715	0.02129511656			
830.3971715	93	7	0.843996669	0.02062014992		95.01865484	4.981345163			68.67054336	31.32945664	0.5454057082	-0.5454057082			0	0	-830.3971715	0.02062014992			
827.8371715	93	7	0.8476871052	0.01998740528		94.82020177	5.179798227			68.13721979	31.86278021	0.5353888573	-0.5353888573			0	0	-827.8371715	0.01998740528			
825.2771715	93	7	0.8511921914	0.0193945908		94.61267327	5.387326726			67.61358349	32.38641651	0.5256643057	-0.5256643057			0	0	-825.2771715	0.0193945908			
822.7171715	93	7	0.8545266513	0.01883973369		94.39503144	5.604968557			67.09933993	32.90066007	0.516235448	-0.516235448			0	0	-822.7171715	0.01883973369			
820.1571715	93	7	0.8577039091	0.01832117969		94.16605278	5.833947215			66.59419089	33.40580911	0.5071059787	-0.5071059787			0	0	-820.1571715	0.01832117969			
817.5971715	93	7	0.8607362594	0.01783760398		93.92427955	6.075720454			66.09783377	33.90216623	0.4982803073	-0.4982803073			0	0	-817.5971715	0.01783760398			
815.0371715	93	7	0.8636350207	0.01738803713		93.66795369	6.332046313			65.60996034	34.39003966	0.4897640788	-0.4897640788			0	0	-815.0371715	0.01738803713			
812.4771715	93	7	0.8664106794	0.01697191176		93.39492537	6.60507463			65.13025485	34.86974515	0.4815648553	-0.4815648553			0	0	-812.4771715	0.01697191176			
809.9171715	93	7	0.8690730277	0.01658913973		93.10252295	6.897477051			64.65839117	35.34160883	0.4736930491	-0.4736930491			0	0	-809.9171715	0.01658913973			
807.3571715	93	7	0.8716313042	0.01624023638		92.78736287	7.212637126			64.19402866	35.80597134	0.4661632562	-0.4661632562			0	0	-807.3571715	0.01624023638			
804.7971715	93	7	0.874094346	0.01592652161		92.44506214	7.554937863			63.736806	36.263194	0.4589962513	-0.4589962513			0	0	-804.7971715	0.01592652161			
802.2371715	93	7	0.8764707692	0.01565045309		92.06978505	7.930214946			63.28633191	36.71366809	0.4522221167	-0.4522221167			0	0	-802.2371715	0.01565045309			
799.6771715	93	7	0.8787692041	0.01541620128		91.65349211	8.346507892			62.84217078	37.15782922	0.4458854214	-0.4458854214			0	0	-799.6771715	0.01541620128			
797.1171715	93	7	0.8809986556	0.01523080707		91.18461403	8.81538597			62.40381955	37.59618045	0.4400543526	-0.4400543526			0	0	-797.1171715	0.01523080707			
794.5571715	93	7	0.883169015	0.01510579017		90.64550593	9.35449407			61.97066609	38.02933391	0.4348385533	-0.4348385533			0	0	-794.5571715	0.01510579017			
791.9971715	93	7	0.8852921936	0.01506254174		90.00697203	9.993027972			61.54191169	38.45808831	0.4304251838	-0.4304251838			0	0	-791.9971715	0.01506254174			
789.4371715	93	7	0.8873844891	0.01514370893		89.214401	10.785599			61.11640444	38.88359556	0.4271692308	-0.4271692308			0	0	-789.4371715	0.01514370893			
788.1571715	93	7	0.8884186609	0.007623072572		88.72687764	11.27312236			60.90431332	39.09568668	0.2137485701	-0.2137485701			0	0	-788.1571715	0.007623072572			
787.8371715	93	7	0.8886757138	0.001910931155		88.5913616	11.4086384			60.85130492	39.14869508	0.05466608404	-0.05466608404			0	0	-787.8371715	0.001910931155			
787.7571715	93	7	0.8887399822	0.0004788208181		88.55646986	11.44353014			60.83805165	39.16194835	0.01491095581	-0.01491095581			0	0	-787.7571715	0.0004788208181			
787.7471715	93	7	0.8887480077	5.986866412E-05		88.55207727	11.44792273			60.83639397	39.16360603	0.003314393074	-0.003314393074			0	0	-787.7471715	5.986866412E-05			
787.7171715	93	7	1		1			60.83639712	39.16360288					0	0			-787.7171715		1		
787.6971715	93	7	1		1			60.83639712	39.16360288					0	0			-787.6971715		1		
787.6571715	93	7	1		1			60.83639712	39.16360288					0	0			-787.6571715		1		
787.5771715	93	7	1		1			60.83639712	39.16360288					0	0			-787.5771715		1		
787.4171715	93	7	1		1			60.83639712	39.16360288					0	0			-787.4171715		1		
787.0971715	93	7	1		1			60.83639712	39.16360288					0	0			-787.0971715		1		
786.4571715	93	7	1		1			60.83639712	39.16360288					0	0			-786.4571715		1		
785.1771715	93	7	1		1			60.83639712	39.16360288					0	0			-785.1771715		1		
782.6171715	93	7	1		1			60.83639712	39.16360288					0	0			-782.6171715		1		
777.4971715	93	7	1		1			60.83639712	39.16360288					0	0			-777.4971715		1		
772.3771715	93	7	1		1			60.83639712	39.16360288					0	0			-772.3771715		1		
767.2571715	93	7	1		1			60.83639712	39.16360288					0	0			-767.2571715		1		
762.1371715	93	7	1		1			60.83639712	39.16360288					0	0			-762.1371715		1		
757.0171715	93	7	1		1			60.83639712	39.16360288					0	0			-757.0171715		1		
751.8971715	93	7	1		1			60.83639712	39.16360288					0	0			-751.8971715		1		
746.7771715	93	7	1		1			60.83639712	39.16360288					0	0			-746.7771715		1		
741.6571715	93	7	1		1			60.83639712	39.16360288					0	0			-741.6571715		1		
736.5371715	93	7	1		1			60.83639712	39.16360288					0	0			-736.5371715		1		
731.4171715	93	7	1		1			60.83639712	39.16360288					0	0			-731.4171715		1		
726.2971715	93	7	1		1			60.83639712	39.16360288					0	0			-726.2971715		1		
721.1771715	93	7	1		1			60.83639712	39.16360288					0	0			-721.1771715		1		
716.0571715	93	7	1		1			60.83639712	39.16360288					0	0			-716.0571715		1		
710.9371715	93	7	1		1			60.83639712	39.16360288					0	0			-710.9371715		1		
705.8171715	93	7	1		1			60.83639712	39.16360288					0	0			-705.8171715		1		
700.6971715	93	7	1		1			60.83639712	39.16360288					0	0			-700.6971715		1		
695.5771715	93	7	1		1			60.83639712	39.16360288					0	0			-695.5771715		1		
690.4571715	93	7	1		1			60.83639712	39.16360288					0	0			-690.4571715		1		
685.3371715	93	7	1		1			60.83639712	39.16360288					0	0			-685.3371715		1		
680.2171715	93	7	1		1			60.83639712	39.16360288					0	0			-680.2171715		1		
675.0971715	93	7	1		1			60.83639712	39.16360288					0	0			-675.0971715		1		
669.9771715	93	7	1		1			60.83639712	39.16360288					0	0			-669.9771715		1		
664.8571715	93	7	1		1			60.83639712	39.16360288					0	0			-664.8571715		1		
659.7371715	93	7	1		1			60.83639712	39.16360288					0	0			-659.7371715		1		
654.6171715	93	7	1		1			60.83639712	39.16360288					0	0			-654.6171715		1		
649.4971715	93	7	1		1			60.83639712	39.16360288					0	0			-649.4971715		1		
644.3771715	93	7	1		1			60.83639712	39.16360288					0	0			-644.3771715		1		
639.2571715	93	7	1		1			60.83639712	39.16360288					0	0			-639.2571715		1		
634.1371715	93	7	1		1			60.83639712	39.16360288					0	0			-634.1371715		1		
629.0171715	93	7	1		1			60.83639712	39.16360288					0	0			-629.0171715		1		
623.8971715	93	7	1		1			60.83639712	39.16360288					0	0			-623.8971715		1		
618.7771715	93	7	1		1			60.83639712	39.16360288					0	0			-618.7771715		1		
613.6571715	93	7	1		1			60.83639712	39.16360288					0	0			-613.6571715		1		
608.5371715	93	7	1		1			60.83639712	39.16360288					0	0			-608.5371715		1		
603.4171715	93	7	1		1			60.83639712	39.16360288					0	0			-603.4171715		1		
598.2971715	93	7	1		1			60.83639712	39.16360288					0	0			-598.2971715		1		
593.1771715	93	7	1		1			60.83639712	39.16360288					0	0			-593.1771715		1		
588.0571715	93	7	1		1			60.83639712	39.16360288					0	0			-588.0571715		1		
582.9371715	93	7	1		1			60.83639712	39.16360288					0	0			-582.9371715		1		
577.8171715	93	7	1		1			60.83639712	39.16360288					0	0			-577.8171715		1		
572.6971715	93	7	1		1			60.83639712	39.16360288					0	0			-572.6971715		1		
567.5771715	93	7	1		1			60.83639712	39.16360288					0	0			-567.5771715		1		
562.4571715	93	7	1		1			60.83639712	39.16360288					0	0			-562.4571715		1		
557.3371715	93	7	1		1			60.83639712	39.16360288					0	0			-557.3371715		1		
