T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(LI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(LI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(LI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(LI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
890.0581449	84	13	3	0	0		97.97791718	0.4224774558	1.599605368				84	13	3	0.002625771515	-0.002362719174	-0.000263052341				0.002625771515	-0.002362719174	-0.000263052341	-890.0581449	0			
890.0481449	84	13	3	0.0001938983652	0.0001879526277		97.97775864	0.4225466529	1.599694712				83.99737445	13.00236239	3.000263163	0.005251171895	-0.004725132028	-0.000526039867				0	0	0	-890.0481449	0.0001879526277			
890.0281449	84	13	3	0.0005811549439	0.0003754767935		97.97744171	0.4226850791	1.599873216				83.99212399	13.00708691	3.000789094	0.007875089383	-0.007086279303	-0.00078881008				0	0	0	-890.0281449	0.0003754767935			
889.9881449	84	13	3	0.001354511607	0.0007500396914		97.97680815	0.4229617915	1.600230055				83.98162785	13.01653181	3.001840337	0.01311934596	-0.01180551893	-0.001313827023				0	0	0	-889.9881449	0.0007500396914			
889.9081449	84	13	3	0.002896691677	0.001496767468		97.97554142	0.4235149515	1.600943629				83.960654	13.03540579	3.003940215	0.02359424987	-0.02123241027	-0.002361839603				0	0	0	-889.9081449	0.001496767468			
889.7481449	84	13	3	0.005963037597	0.002980361416		97.97301013	0.4246200244	1.602369844				83.91877988	13.07309055	3.008129567	0.04448936779	-0.04003959925	-0.004449768538				0	0	0	-889.7481449	0.002980361416			
889.4281449	84	13	3	0.01202460725	0.005908611255		97.96795621	0.4268252178	1.605218577				83.83532489	13.14820826	3.016466856	0.08606190545	-0.07746844364	-0.008593461814				0	0	0	-889.4281449	0.005908611255			
888.7881449	84	13	3	0.02385589913	0.01160148617		97.95788701	0.4312190686	1.610893923				83.66955847	13.29747652	3.032965007	0.1683447427	-0.1515908025	-0.01675394021				0	0	0	-888.7881449	0.01160148617			
887.5081449	84	13	3	0.04644454194	0.02240397775		97.93788877	0.4399365588	1.622174669				83.34256121	13.59214201	3.065296783	0.3295289222	-0.296948208	-0.03258071424				0	0	0	-887.5081449	0.02240397775			
884.9481449	84	13	3	0.08775749381	0.04189245561		97.89841735	0.457105195	1.644477453				82.70609328	14.16648516	3.127421562	0.6389091915	-0.5765474499	-0.06236174168				0	0	0	-884.9481449	0.04189245561			
882.3881449	84	13	3	0.1245635829	0.03893395254		97.85950775	0.4738854573	1.666606795				82.09221027	14.72118881	3.186600927	0.6162407181	-0.5568369543	-0.05940376375				0	0	0	-882.3881449	0.03893395254			
879.8281449	84	13	3	0.1575707362	0.03631109435		97.8211073	0.4903073206	1.688585377				81.49955706	15.25739789	3.243045049	0.5949304487	-0.5382721229	-0.05665832581				0	0	0	-879.8281449	0.03631109435			
877.2681449	84	13	3	0.1873494132	0.03397632289		97.78316977	0.5063970105	1.710433221				80.9268411	15.77620988	3.296949014	0.5749176598	-0.5208089674	-0.0541086924				0	0	0	-877.2681449	0.03397632289			
