T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(LI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
924.2650902	97	3	0	0	98.00145034	1.998549661	97	3	0.001562515225	-0.001562515225	0.001562515225	-0.001562515225	-924.2650902	0	3.16169842283276	
924.2550902	97	3	0.00151921127	0.001561557085	98.00071777	1.99928223	96.99844157	3.001558428	0.00312441221	-0.00312441221	0	0	-924.2550902	0.001561557085	9.64603060103562	
924.2350902	97	3	0.004547328456	0.003115316385	97.99924778	2.000752218	96.99531433	3.004685671	0.004687925532	-0.004687925532	0	0	-924.2350902	0.003115316385	12.9103544178312	
924.1950902	97	3	0.01055112623	0.0061954678	97.99631621	2.003683795	96.9890753	3.010924701	0.007797179098	-0.007797179098	0	0	-924.1950902	0.0061954678	13.0380918982229	
924.1150902	97	3	0.02238293601	0.012283602	97.99047082	2.009529183	96.97662673	3.02337327	0.014001753	-0.014001753	0	0	-924.1150902	0.012283602	13.257348977507	
923.9550902	97	3	0.04536493178	0.0241482614	97.97884975	2.02115025	96.95184577	3.048154225	0.02632412452	-0.02632412452	0	0	-923.9550902	0.0241482614	13.7447023512609	
923.6350902	97	3	0.0886903312	0.04662661853	97.95587914	2.044120858	96.90274113	3.097258873	0.05062990623	-0.05062990623	0	0	-923.6350902	0.04662661853	14.7665697818574	
922.9950902	97	3	0.1661398119	0.08732034498	97.91095767	2.089042333	96.80627783	3.193722166	0.09795257833	-0.09795257833	0	0	-922.9950902	0.08732034498	16.9538506747852	
921.7150902	97	3	0.2916957996	0.1547384399	97.82475862	2.17524138	96.61981479	3.380185207	0.187887063	-0.187887063	0	0	-921.7150902	0.1547384399	-105.603859794595	
920.4350902	97	3	0.3860663297	0.137289929	97.74273409	2.257265909	96.44111651	3.55888349	0.180066229	-0.180066229	0	0	-920.4350902	0.137289929	-82.8490229315541	
