T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(LI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(LI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(LI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(LI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
893.3034496	85	12	3	0	0		97.99805424	0.379844976	1.622100781				85	12	3	0.002721988894	-0.002433452563	-0.0002885363315				0.002721988894	-0.002433452563	-0.0002885363315	-893.3034496	0			
893.2934496	85	12	3	0.0002150935133	0.0002095061131		97.99789038	0.3799122041	1.622197415				84.99727822	12.00243314	3.000288641	0.005443590512	-0.004866592117	-0.0005769983953				0	0	0	-893.2934496	0.0002095061131			
893.2734496	85	12	3	0.0006446958688	0.00041855285		97.99756282	0.3800466825	1.622390498				84.99183539	12.0072991	3.000865517	0.008163625117	-0.007298413491	-0.0008652116262				0	0	0	-893.2734496	0.00041855285			
893.2334496	85	12	3	0.001502509782	0.0008360175551		97.99690804	0.3803154915	1.622776466				84.98095474	12.01702669	3.002018562	0.01359994295	-0.01215890095	-0.001441042				0	0	0	-893.2334496	0.0008360175551			
893.1534496	85	12	3	0.003212678925	0.001668064187		97.99559896	0.3808528206	1.623548221				84.95921288	12.03646544	3.004321679	0.02445823946	-0.02186784779	-0.002590391668				0	0	0	-893.1534496	0.001668064187			
892.9934496	85	12	3	0.006611336366	0.003320339542		97.99298342	0.3819261291	1.625090454				84.91580672	12.07527722	3.008916051	0.04611723983	-0.04123739949	-0.00487984034				0	0	0	-892.9934496	0.003320339542			
892.6734496	85	12	3	0.01332313833	0.00657826921		97.98776275	0.3840673881	1.628169862				84.82930359	12.15263883	3.018057578	0.08920590086	-0.07978390824	-0.009421992626				0	0	0	-892.6734496	0.00657826921			
892.0334496	85	12	3	0.02639644915	0.01289813744		97.97736812	0.3883321184	1.634299759				84.65750142	12.30635988	3.036138707	0.1744742336	-0.1561128687	-0.01836136482				0	0	0	-892.0334496	0.01289813744			
890.7534496	85	12	3	0.05125952627	0.02484327266		97.95674742	0.3967859149	1.646466666				84.31868247	12.60977515	3.071542384	0.3414417116	-0.3057655947	-0.0356761169				0	0	0	-890.7534496	0.02484327266			
888.1934496	85	12	3	0.0964027102	0.04623005626		97.91613449	0.413407045	1.670458469				83.65957127	13.20097377	3.13945496	0.6616379757	-0.5934664389	-0.06817153689				0	0	0	-888.1934496	0.04623005626			
885.6334496	85	12	3	0.1362552498	0.04276588465		97.87618681	0.4296105679	1.694202618				83.02442273	13.7715535	3.204023775	0.6375870312	-0.5727737262	-0.06481330503				0	0	0	-885.6334496	0.04276588465			
883.0734496	85	12	3	0.1717013269	0.03971434235		97.8368385	0.445430403	1.717731101				82.41182882	14.32267911	3.265492069	0.6149468595	-0.5532456073	-0.06170125223				0	0	0	-883.0734496	0.03971434235			
880.5134496	85	12	3	0.2034433286	0.0370143828		97.79803222	0.4608961196	1.741071663				81.82042781	14.85548582	3.32408637	0.5936736433	-0.5348570834	-0.05881655997				0	0	0	-880.5134496	0.0370143828			
877.9534496	85	12	3	0.2320441173	0.03461411065		97.75971841	0.476033782	1.764247804				81.24892137	15.37106394	3.380014696	0.5737036937	-0.517563046	-0.05614064771				0	0	0	-877.9534496	0.03461411065			
875.3934496	85	12	3	0.257959444	0.0324706371		97.72185388	0.4908663796	1.787279743				80.69608385	15.8704487	3.433467454	0.5549640339	-0.5013081924	-0.05365584154				0	0	0	-875.3934496	0.0324706371			
872.8334496	85	12	3	0.2815618511	0.03054830577		97.6844007	0.5054141946	1.810185103				80.16076658	16.35461486	3.484618555	0.5373773991	-0.486031814	-0.05134558506				0	0	0	-872.8334496	0.03054830577			
870.2734496	85	12	3	0.3031585451	0.02881732217		97.64732544	0.5196951279	1.832979428				79.64189844	16.82447491	3.53362665	0.5208659243	-0.4716713604	-0.0491945639				0	0	0	-870.2734496	0.02881732217			
867.7134496	85	12	3	0.3230049212	0.02725266735		97.61059845	0.5337249839	1.855676568				79.13848409	17.28087951	3.580636404	0.5053535359	-0.4581647973	-0.04718873863				0	0	0	-867.7134496	0.02725266735			
865.1534496	85	12	3	0.3413149082	0.02583323211		97.5741933	0.5475177194	1.87828898				78.64960073	17.72461954	3.625779737	0.4907674267	-0.4454521076	-0.04531531912				0	0	0	-865.1534496	0.02583323211			
862.5934496	85	12	3	0.3582689638	0.02454112314		97.5380865	0.5610856195	1.900827885				78.17439399	18.156429	3.669177009	0.4770388978	-0.4334761942	-0.04356270362				0	0	0	-862.5934496	0.02454112314			
860.0334496	85	12	3	0.3740203119	0.02336110574		97.50225663	0.5744396501	1.923303722				77.71207344	18.57698843	3.710938124	0.4641037687	-0.4221833703	-0.04192039846				0	0	0	-860.0334496	0.02336110574			
857.4734496	85	12	3	0.3886998501	0.02228015087		97.46668474	0.5875893743	1.945725888				77.26190798	18.98692847	3.751163546	0.4519025017	-0.4115235728	-0.04037892899				0	0	0	-857.4734496	0.02228015087			
854.9134496	85	12	3	0.4024200454	0.02128706956		97.43135362	0.60054326	1.96810312				76.82322125	19.38683352	3.789945225	0.4403801396	-0.4014503908	-0.03892974877				0	0	0	-854.9134496	0.02128706956			
852.3534496	85	12	3	0.4152780494	0.02037221363		97.39624771	0.6133087618	1.990443527				76.39538724	19.77724532	3.827367431	0.4294861287	-0.3919209777	-0.03756515105				0	0	0	-852.3534496	0.02037221363			
849.7934496	85	12	3	0.4273582082	0.01952723071		97.3613529	0.6258924286	2.012754667				75.97782619	20.1586663	3.863507508	0.4191740754	-0.3828958903	-0.03627818512				0	0	0	-849.7934496	0.01952723071			
847.2334496	85	12	3	0.4387340976	0.01874486271		97.32665639	0.6382999973	2.035043611				75.57000068	20.53156277	3.898436552	0.4094014677	-0.3743388889	-0.03506257877				0	0	0	-847.2334496	0.01874486271			
844.6734496	85	12	3	0.4494701861	0.01801877937		97.29214653	0.6505364747	2.057316998				75.17141205	20.89636794	3.932220016	0.4001293837	-0.3662167162	-0.03391266749				0	0	0	-844.6734496	0.01801877937			
842.1134496	85	12	3	0.4596231997	0.01734344019		97.25781271	0.6626062089	2.079581083				74.78159715	21.2534846	3.964918248	0.3913222022	-0.3584988719	-0.03282333031				0	0	0	-842.1134496	0.01734344019			
839.5534496	85	12	3	0.469243251	0.01671397942		97.22364527	0.6745129522	2.101841779				74.40012531	21.60328771	3.99658698	0.3829473224	-0.3511573902	-0.03178993216				0	0	0	-839.5534496	0.01671397942			
836.9934496	85	12	3	0.4783747763	0.01612611002		97.1896354	0.6862599162	2.124104685				74.02659559	21.94612665	4.027277758	0.3749748987	-0.3441666264	-0.03080827228				0	0	0	-836.9934496	0.01612611002			
834.4334496	85	12	3	0.4870576063	0.01557658306		97.15577422	0.6978500268	2.146375754				73.66062911	22.28233191	4.057038975	0.3673775939	-0.3375030556	-0.02987453825				0	0	0	-834.4334496	0.01557658306			
