T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
856.2538963	84	8	8	0	0	97.83111987	1.53878462	0.6300955114	84	8	8	0.002308799266	-0.001078555476	-0.00123024379	-856.2538963	0	59.8545723544162	
856.2338963	84	8	8	0.0003325119364	0.0003339129227	97.83081437	1.538944078	0.6302415489	83.99538223	8.002157262	8.002460508	0	0	0	-856.2338963	0.0003339129227	59.9371376414894	
856.2138963	84	8	8	0.0006645665349	0.0006673665022	97.83050902	1.539103395	0.6303875843	83.99076435	8.004314441	8.004921206	0	0	0	-856.2138963	0.0006673665022	59.9847943382747	
856.1738963	84	8	8	0.001328462465	0.00133405926	97.82989858	1.539421814	0.6306796059	83.98152759	8.00862941	8.009842997	0	0	0	-856.1738963	0.00133405926	60.0280344339263	
856.0938963	84	8	8	0.002654243193	0.002665424227	97.82867891	1.540057596	0.6312634962	83.96305077	8.017260914	8.019688316	0	0	0	-856.0938963	0.002665424227	60.1496266107985	
855.9338963	84	8	8	0.005297784391	0.005320096366	97.82624439	1.541324944	0.6324306643	83.92608391	8.034530197	8.03938589	0	0	0	-855.9338963	0.005320096366	60.4321129533834	
855.6138963	84	8	8	0.0105430641	0.01058744741	97.8213959	1.543840758	0.6347633412	83.85210038	8.069085879	8.078813742	0	0	0	-855.6138963	0.01058744741	61.0183472961612	
854.9738963	84	8	8	0.02089844789	0.02098634826	97.81177699	1.548803377	0.6394196362	83.70392443	8.138290681	8.157784887	0	0	0	-854.9738963	0.02098634826	62.1096594966689	
853.6938963	84	8	8	0.04106409878	0.04123653013	97.79285147	1.558451253	0.6486972728	83.40674208	8.27706288	8.316195035	0	0	0	-853.6938963	0.04123653013	64.3775037819602	
851.1338963	84	8	8	0.07934563418	0.07967779224	97.75622902	1.576661623	0.6671093566	82.8090404	8.5561071	8.634852505	0	0	0	-851.1338963	0.07967779224	69.0313374039975	
848.5738963	84	8	8	0.1150985812	0.1155790992	97.72120794	1.593466377	0.6853256854	82.20686572	8.837227685	8.955906598	0	0	0	-848.5738963	0.1155790992	73.8382835012808	
846.0138963	84	8	8	0.1485530347	0.1491717396	97.68774417	1.608916356	0.7033394724	81.60019122	9.120519097	9.279289686	0	0	0	-846.0138963	0.1491717396	78.8375333133357	
843.4538963	84	8	8	0.17991112	0.1806588795	97.6557949	1.623061272	0.7211438296	80.98899395	9.406069826	9.604936226	0	0	0	-843.4538963	0.1806588795	84.0337953503279	
840.8938963	84	8	8	0.2093523038	0.2102209002	97.62531842	1.635949923	0.7387316534	80.37325535	9.693962952	9.932781698	0	0	0	-840.8938963	0.2102209002	89.4305567585672	
838.3338963	84	8	8	0.2370364353	0.238018457	97.5962742	1.647630165	0.7560956311	79.75296198	9.984275681	10.26276234	0	0	0	-838.3338963	0.238018457	95.0314750225465	
835.7738963	84	8	8	0.2631063129	0.2641950601	97.56862286	1.658148891	0.7732282465	79.12810627	10.27707889	10.59481484	0	0	0	-835.7738963	0.2641950601	100.840406418206	
833.2138963	84	8	8	0.2876898588	0.2888792622	97.5423262	1.667552012	0.7901217863	78.49868735	10.57243665	10.928876	0	0	0	-833.2138963	0.2888792622	106.873904661638	
830.6538963	84	8	8	0.3108969786	0.3121815147	97.51734787	1.675883092	0.80676904	77.86471362	10.87039997	11.26488642	0	0	0	-830.6538963	0.3121815147	113.108698901033	
828.0938963	84	8	8	0.3328416004	0.3342162696	97.49365065	1.683188846	0.8231605086	77.22619673	11.17102957	11.6027737	0	0	0	-828.0938963	0.3342162696	119.554980797939	
825.5338963	84	8	8	0.3536115646	0.3550717942	97.47120058	1.689510775	0.8392886468	76.5831628	11.47436019	11.94247701	0	0	0	-825.5338963	0.3550717942	126.239749761614	
822.9738963	84	8	8	0.3732913372	0.3748329483	97.44996416	1.694890812	0.855145024	75.93564645	11.78042375	12.2839298	0	0	0	-822.9738963	0.3748329483	133.156044016757	
820.4138963	84	8	8	0.3919574888	0.3935766539	97.42990905	1.699369897	0.8707210517	75.28369339	12.08924292	12.62706368	0	0	0	-820.4138963	0.3935766539	140.309668047637	
817.8538963	84	8	8	0.4096795713	0.4113727766	97.41100403	1.702987979	0.8860079956	74.62736131	12.40083066	12.97180803	0	0	0	-817.8538963	0.4113727766	147.706898690855	
815.2938963	84	8	8	0.4265208845	0.4282848971	97.39321899	1.705784021	0.9009969886	73.96672071	12.71518971	13.31808958	0	0	0	-815.2938963	0.4282848971	155.354515629734	
812.7338963	84	8	8	0.4425391472	0.4443709854	97.37652495	1.707796003	0.9156790465	73.30185572	13.03231222	13.66583205	0	0	0	-812.7338963	0.4443709854	163.259839947099	
810.1738963	84	8	8	0.457787085	0.4596839923	97.36089399	1.709060922	0.9300450851	72.63286484	13.35217934	14.01495582	0	0	0	-810.1738963	0.4596839923	171.430770794879	
807.6138963	84	8	8	0.472312948	0.4742723696	97.34629926	1.709614802	0.9440859404	71.95986153	13.67476089	14.36537758	0	0	0	-807.6138963	0.4742723696	179.875817633589	
805.0538963	84	8	8	0.4861609671	0.4881805295	97.33271493	1.709492683	0.9577923915	71.28297487	14.00001503	14.7170101	0	0	0	-805.0538963	0.4881805295	188.604130773614	
802.4938963	84	8	8	0.4993717584	0.5014492507	97.32011618	1.708728631	0.9711551859	70.60234992	14.32788811	15.06976197	0	0	0	-802.4938963	0.5014492507	197.625528406434	
799.9338963	84	8	8	0.5119826813	0.5141160389	97.30847921	1.707355726	0.9841650678	69.91814807	14.65831445	15.42353749	0	0	0	-799.9338963	0.5141160389	206.950515077076	
797.3738963	84	8	8	0.5240281582	0.5262154476	97.29778112	1.705406071	0.9968128062	69.23054717	14.99121633	15.7782365	0	0	0	-797.3738963	0.5262154476	216.590312201949	
794.8138963	84	8	8	0.535539956	0.5377793624	97.28800001	1.702910752	1.009089243	68.53974168	15.32650397	16.13375435	0	0	0	-794.8138963	0.5377793624	226.556842695821	
792.2538963	84	8	8	0.5465474442	0.5488372591	97.27911482	1.699899877	1.020985308	67.84594227	15.66407571	16.48998202	0	0	0	-792.2538963	0.5488372591	236.862740888876	
789.6938963	84	8	8	0.5570778194	0.5594164303	97.27110539	1.696402537	1.03249207	67.14937571	16.00381816	16.84680613	0	0	0	-789.6938963	0.5594164303	247.521366996119	
787.1338963	84	8	8	0.5671563094	0.5695421907	97.26395242	1.692446801	1.043600782	66.45028399	16.34560678	17.20410923	0	0	0	-787.1338963	0.5695421907	258.546779835663	
784.5738963	84	8	8	0.5768063568	0.5792380611	97.25763738	1.688059707	1.054302915	65.74892417	16.68930589	17.56176994	0	0	0	-784.5738963	0.5792380611	269.953723803418	
782.0138963	84	8	8	0.5860497826	0.5885259336	97.25214254	1.68326725	1.064590212	65.04556694	17.03476967	17.9196634	0	0	0	-782.0138963	0.5885259336	281.757591141783	
779.4538963	84	8	8	0.5949069353	0.5974262211	97.2474509	1.678094379	1.074454725	64.34049572	17.38184263	18.27766165	0	0	0	-779.4538963	0.5974262211	293.974392882786	
776.8938963	84	8	8	0.6033968235	0.6059579907	97.24354615	1.672564989	1.083888858	63.63400542	17.73036045	18.63563413	0	0	0	-776.8938963	0.6059579907	306.620740662581	
774.3338963	84	8	8	0.6115372349	0.6141390836	97.24041268	1.666701892	1.092885432	62.92640102	18.08015082	18.99344816	0	0	0	-774.3338963	0.6141390836	319.713765205357	
771.7738963	84	8	8	0.6193448459	0.6219862251	97.23803545	1.660526847	1.101437705	62.21799592	18.43103445	19.35096964	0	0	0	-771.7738963	0.6219862251	333.271070946506	
769.2138963	84	8	8	0.6268353178	0.6295151213	97.23640004	1.654060539	1.109539424	61.50911033	18.78282607	19.7080636	0	0	0	-769.2138963	0.6295151213	347.310701748958	
766.6538963	84	8	8	0.634023384	0.636740547	97.23549255	1.647322584	1.117184865	60.80006949	19.13533558	20.06459493	0	0	0	-766.6538963	0.636740547	361.851048966149	
764.0938963	84	8	8	0.640922929	0.6436764252	97.23529959	1.640331538	1.124368868	60.09120182	19.48836916	20.42042902	0	0	0	-764.0938963	0.6436764252	376.910804583966	
761.5338963	84	8	8	0.6475470587	0.6503358973	97.23580822	1.633104905	1.131086871	59.38283702	19.84173046	20.77543252	0	0	0	-761.5338963	0.6503358973	392.508898150681	
758.9738963	84	8	8	0.6539081636	0.656731387	97.23700591	1.625659149	1.137334936	58.67530425	20.1952218	21.12947395	0	0	0	-758.9738963	0.656731387	408.664409082788	
756.4138963	84	8	8	0.6600179752	0.6628746574	97.23888051	1.61800972	1.143109774	57.96893024	20.54864532	21.48242444	0	0	0	-756.4138963	0.6628746574	425.396519771105	
753.8538963	84	8	8	0.6658876171	0.6687768616	97.24142017	1.610171066	1.148408763	57.26403749	20.90180414	21.83415837	0	0	0	-753.8538963	0.6687768616	442.724459839152	
751.2938963	84	8	8	0.6715276501	0.6744485882	97.24461337	1.602156671	1.153229961	56.56094256	21.25450352	22.18455392	0	0	0	-751.2938963	0.6744485882	460.667414362253	
748.7338963	84	8	8	0.6769481124	0.6798999025	97.24844881	1.593979075	1.157572114	55.85995446	21.60655184	22.5334937	0	0	0	-748.7338963	0.6798999025	479.244491385115	
746.1738963	84	8	8	0.6821585564	0.6851403822	97.25291542	1.585649916	1.16143466	55.16137318	21.95776162	22.8808652	0	0	0	-746.1738963	0.6851403822	498.474662358281	
743.6138963	84	8	8	0.6871680802	0.6901791504	97.25800231	1.577179964	1.164817724	54.4654883	22.30795047	23.22656123	0	0	0	-743.6138963	0.6901791504	518.376723197788	
741.0538963	84	8	8	0.6919853572	0.695024904	97.26369873	1.568579161	1.16772211	53.77257784	22.65694182	23.57048034	0	0	0	-741.0538963	0.695024904	538.96925258766	
738.4938963	84	8	8	0.6966186616	0.6996859401	97.26999405	1.559856665	1.17014929	53.08290724	23.0045657	23.91252706	0	0	0	-738.4938963	0.6996859401	560.270548255052	
735.9338963	84	8	8	0.7010758913	0.7041701793	97.27687773	1.551020889	1.172101386	52.3967285	23.35065935	24.25261216	0	0	0	-735.9338963	0.7041701793	582.298647298797	
733.3738963	84	8	8	0.7053645894	0.7084851862	97.2843393	1.542079552	1.173581149	51.7142795	23.69506771	24.59065279	0	0	0	-733.3738963	0.7084851862	605.071281270178	
730.8138963	84	8	8	0.7094919626	0.7126381887	97.29236834	1.533039721	1.174591937	51.03578353	24.03764385	24.92657262	0	0	0	-730.8138963	0.7126381887	628.605862399107	
728.2538963	84	8	8	0.7134648983	0.7166360948	97.30095446	1.523907858	1.175137684	50.36144889	24.3782493	25.26030181	0	0	0	-728.2538963	0.7166360948	652.919475985912	
725.6938963	84	8	8	0.7172899802	0.7204855085	97.31008726	1.514689863	1.175222874	49.69146875	24.71675423	25.59177702	0	0	0	-725.6938963	0.7204855085	678.028864842758	
723.1338963	84	8	8	0.7209735029	0.724192744	97.31975637	1.505391123	1.174852505	49.02602112	25.05303761	25.92094127	0	0	0	-723.1338963	0.724192744	703.950481822914	
720.5738963	84	8	8	0.7245214843	0.7277638386	97.32995139	1.496016551	1.174032063	48.36526892	25.38698722	26.24774386	0	0	0	-720.5738963	0.7277638386	730.700457433994	
718.0138963	84	8	8	0.7279396788	0.7312045653	97.34066189	1.486570632	1.172767482	47.7093602	25.71849964	26.57214017	0	0	0	-718.0138963	0.7312045653	758.294600296081	
715.4538963	84	8	8	0.7312335879	0.7345204441	97.35187743	1.47705746	1.171065114	47.05842848	26.04748013	26.89409139	0	0	0	-715.4538963	0.7345204441	786.74844853644	
712.8938963	84	8	8	0.7344084712	0.7377167527	97.36358753	1.467480778	1.168931693	46.41259317	26.37384248	27.21356435	0	0	0	-712.8938963	0.7377167527	816.077300052385	
710.3338963	84	8	8	0.7374693567	0.7407985365	97.37578168	1.457844016	1.166374303	45.77196005	26.69750877	27.53053118	0	0	0	-710.3338963	0.7407985365	846.296226634646	
707.7738963	84	8	8	0.7404210501	0.7437706183	97.38844934	1.44815032	1.163400343	45.13662185	27.01840913	27.84496902	0	0	0	-707.7738963	0.7437706183	877.420050624031	
