T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1720.529535	6	8	86	0.01181923763	0.0004881015454	2.665740964	3.172399303	94.16185973	6.039373514	8.057018787	85.9036077							0	0	0	-1720.529535	0.0004881015454	-439997.186587038	
1720.449535	6	8	86	0.01230895822	0.0004879197971	2.666572515	3.173685165	94.15974232	6.041019973	8.059402625	85.8995774							0	0	0	-1720.449535	0.0004879197971	-440341.332881029	
1720.369535	6	8	86	0.01279825576	0.0004877381908	2.667403971	3.174971157	94.15762487	6.042666217	8.06178611	85.89554767							0	0	0	-1720.369535	0.0004877381908	-440685.654006811	
1720.289535	6	8	86	0.01328713078	0.0004875567264	2.668235332	3.176257279	94.15550739	6.044312246	8.064169244	85.89151851							0	0	0	-1720.289535	0.0004875567264	-441029.418599498	
1720.209535	6	8	86	0.01377558379	0.0004873754031	2.669066599	3.177543533	94.15338987	6.04595806	8.066552026	85.88748991							0	0	0	-1720.209535	0.0004873754031	-441370.064637576	
1720.129535	6	8	86	0.01426361534	0.0004871942187	2.66989777	3.178829917	94.15127231	6.047603658	8.068934456	85.88346189							0	0	0	-1720.129535	0.0004871942187	-441715.764655414	
1720.049535	6	8	86	0.01475122594	0.0004870131791	2.670728847	3.180116432	94.14915472	6.049249042	8.071316534	85.87943442							0	0	0	-1720.049535	0.0004870131791	-442061.005469515	
1719.969535	6	8	86	0.01523841612	0.0004868322776	2.671559829	3.181403078	94.14703709	6.050894211	8.07369826	85.87540753							0	0	0	-1719.969535	0.0004868322776	-442403.136395534	
1719.889535	6	8	86	0.0157251864	0.0004866515179	2.672390716	3.182689855	94.14491943	6.052539165	8.076079635	85.8713812							0	0	0	-1719.889535	0.0004866515179	-442749.709854021	
1719.809535	6	8	86	0.01621153731	0.0004864708995	2.673221508	3.183976763	94.14280173	6.054183904	8.078460659	85.86735544							0	0	0	-1719.809535	0.0004864708995	-443094.124870061	
