T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1651.21845	13	6	81	0	0	5.71016035	2.501691545	91.78814811	13	6	81										-0.0003369211538	-0.0001616834081	0.0004986045619	-1651.21845	0	107.424544212135	
1651.20845	13	6	81	4.737992206E-05	4.626572072E-05	5.710322799	2.50179192	91.78788528	13.0003368	6.000161613	80.99950159										0	0	0	-1651.20845	4.626572072E-05	324.860951155413	
1651.18845	13	6	81	0.0001420080371	9.242102097E-05	5.710647666	2.501992675	91.78735966	13.0010105	6.000484907	80.9985046										0	0	0	-1651.18845	9.242102097E-05	433.181738334265	
1651.14845	13	6	81	0.0003312238487	0.0001848199206	5.711297376	2.502394201	91.78630842	13.00235785	6.001131458	80.99651069										0	0	0	-1651.14845	0.0001848199206	432.852191079915	
1651.06845	13	6	81	0.000709631813	0.0003696861443	5.712596657	2.503197342	91.784206	13.00505339	6.00242489	80.99252173										0	0	0	-1651.06845	0.0003696861443	-342384.766097846	
1650.98845	13	6	81	0.001087659544	0.0003694521926	5.713896047	2.504000595	91.78210336	13.00774811	6.003717867	80.98853402										0	0	0	-1650.98845	0.0003694521926	-603477.351866918	
1650.90845	13	6	81	0.001465433337	0.0003693420851	5.715195268	2.504803936	91.7800008	13.01044256	6.00501064	80.9845468										0	0	0	-1650.90845	0.0003693420851	-726912.250529371	
1650.82845	13	6	81	0.00184295346	0.0003692320834	5.716494318	2.505607365	91.77789832	13.01313671	6.006303209	80.98056008										0	0	0	-1650.82845	0.0003692320834	-727474.560835575	
1650.74845	13	6	81	0.002220220157	0.0003691221461	5.717793197	2.506410882	91.77579592	13.01583058	6.007595573	80.97657385										0	0	0	-1650.74845	0.0003691221461	-727897.516693231	
1650.66845	13	6	81	0.002597233671	0.0003690122722	5.719091907	2.507214487	91.77369361	13.01852416	6.008887733	80.97258811										0	0	0	-1650.66845	0.0003690122722	-728328.60678362	
1650.58845	13	6	81	0.002973994248	0.000368902465	5.720390446	2.508018179	91.77159137	13.02121745	6.010179689	80.96860286										0	0	0	-1650.58845	0.000368902465	-728762.175754901	
1650.50845	13	6	81	0.003350502132	0.0003687927218	5.721688814	2.50882196	91.76948923	13.02391045	6.01147144	80.9646181										0	0	0	-1650.50845	0.0003687927218	-729185.635591295	
1650.42845	13	6	81	0.003726757563	0.0003686830421	5.722987012	2.509625829	91.76738716	13.02660317	6.012762987	80.96063384										0	0	0	-1650.42845	0.0003686830421	-729611.257184101	
1650.34845	13	6	81	0.004102760787	0.0003685734269	5.72428504	2.510429785	91.76528517	13.02929561	6.014054329	80.95665006										0	0	0	-1650.34845	0.0003685734269	-730040.369535955	
1650.26845	13	6	81	0.004478512045	0.0003684638761	5.725582897	2.51123383	91.76318327	13.03198775	6.015345467	80.95266678										0	0	0	-1650.26845	0.0003684638761	-730466.648925498	
1650.18845	13	6	81	0.00485401158	0.0003683543888	5.726880584	2.512037963	91.76108145	13.03467961	6.016636401	80.94868399										0	0	0	-1650.18845	0.0003683543888	-730895.439089684	
1650.10845	13	6	81	0.005229259633	0.0003682449665	5.7281781	2.512842184	91.75897972	13.03737118	6.01792713	80.94470168										0	0	0	-1650.10845	0.0003682449665	-731327.063828632	
1650.02845	13	6	81	0.005604256448	0.0003681356084	5.729475445	2.513646493	91.75687806	13.04006247	6.019217655	80.94071987										0	0	0	-1650.02845	0.0003681356084	-731757.864714249	
1649.94845	13	6	81	0.005979002265	0.0003680263149	5.73077262	2.51445089	91.75477649	13.04275347	6.020507976	80.93673855										0	0	0	-1649.94845	0.0003680263149	-732185.480314122	
1649.86845	13	6	81	0.006353497326	0.0003679170845	5.732069625	2.515255376	91.752675	13.04544419	6.021798093	80.93275772										0	0	0	-1649.86845	0.0003679170845	-732609.577619352	
1649.78845	13	6	81	0.00672774187	0.0003678079175	5.733366458	2.51605995	91.75057359	13.04813462	6.023088005	80.92877738										0	0	0	-1649.78845	0.0003678079175	-733042.233840374	
