T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1633.719684	7	11	82	0	0	3.190714736	4.940305198	91.86898007	7	11	82							-0.0001680918822	-0.000267392507	0.0004354843892	-1633.719684	0	112.648461021064	
1633.709684	7	11	82	4.499028625E-05	4.416062746E-05	3.190795813	4.940501146	91.86870304	7.000167995	11.00026723	81.99956478							0	0	0	-1633.709684	4.416062746E-05	340.243654655904	
1633.689684	7	11	82	0.0001348632369	8.823185076E-05	3.190957994	4.940893065	91.86814894	7.000504075	11.00080184	81.99869409							0	0	0	-1633.689684	8.823185076E-05	453.506452872745	
1633.649684	7	11	82	0.00031468325	0.0001765522706	3.191282329	4.941676958	91.86704071	7.001176631	11.00187164	81.99695173							0	0	0	-1633.649684	0.0001765522706	453.123055839726	
1633.569684	7	11	82	0.0006740796336	0.0003529285651	3.191931522	4.943245108	91.86482337	7.002521306	11.00401035	81.99346834							0	0	0	-1633.569684	0.0003529285651	-597973.068004377	
1633.489684	7	11	82	0.001033212154	0.0003527946781	3.192580304	4.944813392	91.8626063	7.003865907	11.00614876	81.98998534							0	0	0	-1633.489684	0.0003527946781	-818922.410914759	
1633.409684	7	11	82	0.00139213153	0.0003527110957	3.193228973	4.946381913	91.86038911	7.005210435	11.00828686	81.98650271							0	0	0	-1633.409684	0.0003527110957	-957610.077304268	
1633.329684	7	11	82	0.001750837974	0.0003526275954	3.193877527	4.947950671	91.8581718	7.00655489	11.01042465	81.98302046							0	0	0	-1633.329684	0.0003526275954	-958391.637845079	
1633.249684	7	11	82	0.002109331678	0.0003525441493	3.194525967	4.949519666	91.85595437	7.007899272	11.01256214	81.97953859							0	0	0	-1633.249684	0.0003525441493	-959021.818414265	
1633.169684	7	11	82	0.002467612833	0.0003524607587	3.195174293	4.951088898	91.85373681	7.009243582	11.01469933	81.97605709							0	0	0	-1633.169684	0.0003524607587	-959655.113930074	
1633.089684	7	11	82	0.002825681631	0.0003523774227	3.195822504	4.952658368	91.85151913	7.010587819	11.0168362	81.97257598							0	0	0	-1633.089684	0.0003523774227	-960284.066148723	
1633.009684	7	11	82	0.003183538262	0.0003522941413	3.196470602	4.954228076	91.84930132	7.011931984	11.01897278	81.96909524							0	0	0	-1633.009684	0.0003522941413	-960923.089266611	
