T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1758.171144	11	89	0.0184880786	0.0005947114842	4.38111359	95.61888641	11.12406834	88.87593166			0	0	-1758.171144	0.0005947114842	-327367.970227285	
1758.091144	11	89	0.01907725659	0.0005944672334	4.383282696	95.6167173	11.12807789	88.87192211			0	0	-1758.091144	0.0005944672334	-327695.699442828	
1758.011144	11	89	0.0196658408	0.0005942232261	4.385452123	95.61454788	11.1320869	88.8679131			0	0	-1758.011144	0.0005942232261	-328025.572840595	
1757.931144	11	89	0.02025383213	0.0005939794663	4.387621872	95.61237813	11.13609536	88.86390464			0	0	-1757.931144	0.0005939794663	-328353.669489953	
1757.851144	11	89	0.02084123145	0.0005937359464	4.389791942	95.61020806	11.14010326	88.85989674			0	0	-1757.851144	0.0005937359464	-328682.173033915	
1757.771144	11	89	0.02142803965	0.0005934926736	4.391962334	95.60803767	11.14411061	88.85588939			0	0	-1757.771144	0.0005934926736	-329011.382840201	
1757.691144	11	89	0.02201425761	0.0005932496408	4.394133048	95.60586695	11.14811741	88.85188259			0	0	-1757.691144	0.0005932496408	-329339.573869396	
1757.611144	11	89	0.0225998862	0.0005930068526	4.396304084	95.60369592	11.15212365	88.84787635			0	0	-1757.611144	0.0005930068526	-329670.789988479	
1757.531144	11	89	0.0231849263	0.0005927643079	4.398475442	95.60152456	11.15612935	88.84387065			0	0	-1757.531144	0.0005927643079	-329999.266053723	
1757.451144	11	89	0.02376937877	0.0005925220028	4.400647123	95.59935288	11.16013449	88.83986551			0	0	-1757.451144	0.0005925220028	-330330.458038839	
1757.371144	11	89	0.02435324451	0.0005922799442	4.402819125	95.59718087	11.16413909	88.83586091			0	0	-1757.371144	0.0005922799442	-330661.47489109	
1757.291144	11	89	0.02493652437	0.000592038124	4.404991451	95.59500855	11.16814313	88.83185687			0	0	-1757.291144	0.000592038124	-330990.159182302	
1757.211144	11	89	0.02551921923	0.0005917965459	4.407164099	95.5928359	11.17214662	88.82785338			0	0	-1757.211144	0.0005917965459	-331321.962287005	
1757.131144	11	89	0.02610132995	0.0005915552098	4.40933707	95.59066293	11.17614956	88.82385044			0	0	-1757.131144	0.0005915552098	-331652.985011085	
1757.051144	11	89	0.0266828574	0.0005913141137	4.411510364	95.58848964	11.18015196	88.81984804			0	0	-1757.051144	0.0005913141137	-331984.606327907	
1756.971144	11	89	0.02726380244	0.0005910732595	4.413683982	95.58631602	11.1841538	88.8158462			0	0	-1756.971144	0.0005910732595	-332316.332972988	
1756.891144	11	89	0.02784416594	0.0005908326445	4.415857923	95.58414208	11.18815509	88.81184491			0	0	-1756.891144	0.0005908326445	-332646.721057729	
1756.811144	11	89	0.02842394876	0.0005905922685	4.418032187	95.58196781	11.19215584	88.80784416			0	0	-1756.811144	0.0005905922685	-332978.878250529	
1756.731144	11	89	0.02900315175	0.0005903521333	4.420206775	95.57979323	11.19615603	88.80384397			0	0	-1756.731144	0.0005903521333	-333313.642551528	
1756.651144	11	89	0.02958177577	0.0005901122399	4.422381687	95.57761831	11.20015568	88.79984432			0	0	-1756.651144	0.0005901122399	-333645.592166982	
1756.571144	11	89	0.03015982169	0.0005898725823	4.424556923	95.57544308	11.20415478	88.79584522			0	0	-1756.571144	0.0005898725823	-333977.032778412	
1756.491144	11	89	0.03073729035	0.0005896331648	4.426732482	95.57326752	11.20815333	88.79184667			0	0	-1756.491144	0.0005896331648	-334310.940363208	
1756.411144	11	89	0.0313141826	0.0005893939857	4.428908367	95.57109163	11.21215133	88.78784867			0	0	-1756.411144	0.0005893939857	-334642.014516017	
1756.331144	11	89	0.0318904993	0.0005891550417	4.431084575	95.56891542	11.21614879	88.78385121			0	0	-1756.331144	0.0005891550417	-334977.127270199	
1756.251144	11	89	0.0324662413	0.0005889163409	4.433261109	95.56673889	11.22014569	88.77985431			0	0	-1756.251144	0.0005889163409	-335313.241119778	
1756.171144	11	89	0.03304140944	0.0005886778757	4.435437967	95.56456203	11.22414205	88.77585795			0	0	-1756.171144	0.0005886778757	-335645.253975123	
1756.091144	11	89	0.03361600458	0.0005884396469	4.43761515	95.56238485	11.22813786	88.77186214			0	0	-1756.091144	0.0005884396469	-335980.396954344	
1756.011144	11	89	0.03419002755	0.0005882016572	4.439792658	95.56020734	11.23213313	88.76786687			0	0	-1756.011144	0.0005882016572	-336314.218962827	
1755.931144	11	89	0.0347634792	0.0005879639011	4.441970491	95.55802951	11.23612785	88.76387215			0	0	-1755.931144	0.0005879639011	-336648.36559386	
1755.851144	11	89	0.03533636037	0.0005877263836	4.444148649	95.55585135	11.24012202	88.75987798			0	0	-1755.851144	0.0005877263836	-336983.447221999	
1755.771144	11	89	0.0359086719	0.0005874891001	4.446327133	95.55367287	11.24411565	88.75588435			0	0	-1755.771144	0.0005874891001	-337320.278469307	
1755.691144	11	89	0.03648041463	0.0005872520567	4.448505943	95.55149406	11.24810873	88.75189127			0	0	-1755.691144	0.0005872520567	-337656.624001074	
