T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2#1)	fw(@BCC_A2#2)	w(CU@BCC_A2#1)	w(FE@BCC_A2#1)	w(TI@BCC_A2#1)	w(CU@BCC_A2#2)	w(FE@BCC_A2#2)	w(TI@BCC_A2#2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2#1)_1	fw(@BCC_A2#2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI								
1711.586878	8	7	85	0	0		3.505239953	2.751749068	93.74301098				8	7	85	-0.0002640002732	-0.0002495209722	0.0005135212454	-1711.586878	0	167.104968980328	-1711.586878	0			
1711.576878	8	7	85	5.982082263E-05	5.877639969E-05		3.505371078	2.751883078	93.74274584				8.000263893	7.00024939	84.99948672	0	0	0	-1711.576878	5.982082263E-05	167.226775731452	-1711.576878	5.877639969E-05			
1711.556878	8	7	85	0.0001793319388	0.0001174439163		3.505633285	2.752151107	93.74221561				8.000791755	7.0007483	84.99845995	0	0	0	-1711.556878	0.0001793319388	167.337411372949	-1711.556878	0.0001174439163			
1711.516878	8	7	85	0.0004184014841	0.0002349622367		3.50615767	2.752687197	93.74115513				8.00184793	7.001746537	84.99640553	0	0	0	-1711.516878	0.0004184014841	167.359434249249	-1711.516878	0.0002349622367			
1711.436878	8	7	85	0.0008961629653	0.0004696649595		3.507206879	2.75375957	93.73903355				8.003959583	7.003742309	84.99229811	0	0	0	-1711.436878	0.0008961629653	167.511288714171	-1711.436878	0.0004696649595			
1711.276878	8	7	85	0.001850597218	0.0009386278361		3.509304434	2.755904475	93.73479109				8.008182111	7.007732937	84.98408495	0	0	0	-1711.276878	0.001850597218	167.762333127728	-1711.276878	0.0009386278361			
1710.956878	8	7	85	0.003755253696	0.001874893691		3.513498148	2.760195463	93.72630639				8.016624019	7.015710551	84.96766543	0	0	0	-1710.956878	0.003755253696	168.257619672555	-1710.956878	0.001874893691			
1710.316878	8	7	85	0.007547799661	0.003740376952		3.521879995	2.768782161	93.70933784				8.033495284	7.031651214	84.9348535	0	0	0	-1710.316878	0.007547799661	169.251939895233	-1710.316878	0.003740376952			
1709.036878	8	7	85	0.01506646789	0.007443410558		3.538621361	2.785974498	93.67540414				8.067187924	7.063474273	84.8693378	0	0	0	-1709.036878	0.01506646789	171.322872285758	-1709.036878	0.007443410558			
1706.476878	8	7	85	0.02982636568	0.01472556498		3.572012717	2.820436154	93.60755113				8.134371428	7.126889421	84.73873915	0	0	0	-1706.476878	0.02982636568	175.785976069272	-1706.476878	0.01472556498			
1703.916878	8	7	85	0.04420288328	0.01455937096		3.605280504	2.855004544	93.53971495				8.201286065	7.190003594	84.60871034	0	0	0	-1703.916878	0.04420288328	180.449951763216	-1703.916878	0.01455937096			
1701.356878	8	7	85	0.05820952252	0.01439627398		3.638422678	2.889680006	93.47189732				8.267933462	7.252815806	84.47925073	0	0	0	-1701.356878	0.05820952252	185.185207850264	-1701.356878	0.01439627398			
1698.796878	8	7	85	0.07186004897	0.01423707842		3.671439185	2.92446474	93.40409608				8.334318944	7.315328191	84.35035287	0	0	0	-1698.796878	0.07186004897	189.987752372997	-1698.796878	0.01423707842			
1696.236878	8	7	85	0.08516736574	0.01408144058		3.704329359	2.959360382	93.33631026				8.400446743	7.377541872	84.22201138	0	0	0	-1696.236878	0.08516736574	194.859077835385	-1696.236878	0.01408144058			
1693.676878	8	7	85	0.09814377851	0.01392925006		3.73709251	2.994368594	93.2685389				8.466321057	7.439457956	84.09422099	0	0	0	-1693.676878	0.09814377851	199.79927295371	-1693.676878	0.01392925006			
1691.116878	8	7	85	0.110801031	0.01378040328		3.769727932	3.029491068	93.200781				8.531946055	7.501077546	83.9669764	0	0	0	-1691.116878	0.110801031	204.80840282316	-1691.116878	0.01378040328			
1688.556878	8	7	85	0.1231503362	0.0136348006		3.802234896	3.064729528	93.13303558				8.59732588	7.562401737	83.84027238	0	0	0	-1688.556878	0.1231503362	209.886528558866	-1688.556878	0.0136348006			
1685.996878	8	7	85	0.1352024048	0.01349234643		3.834612657	3.100085726	93.06530162				8.662464652	7.623431616	83.71410373	0	0	0	-1685.996878	0.1352024048	215.033699590556	-1685.996878	0.01349234643			
1683.436878	8	7	85	0.1469674734	0.01335294904		3.866860447	3.135561447	92.99757811				8.727366466	7.684168262	83.58846527	0	0	0	-1683.436878	0.1469674734	220.249952762909	-1683.436878	0.01335294904			
1680.876878	8	7	85	0.1584553295	0.01321652038		3.898977479	3.171158506	92.92986401				8.792035396	7.744612746	83.46335186	0	0	0	-1680.876878	0.1584553295	225.535322159592	-1680.876878	0.01321652038			
1678.316878	8	7	85	0.1696753352	0.01308297587		3.930962946	3.206878753	92.8621583				8.856475491	7.804766131	83.33875838	0	0	0	-1678.316878	0.1696753352	230.889825634112	-1678.316878	0.01308297587			
1675.756878	8	7	85	0.1806364505	0.01295223427		3.962816016	3.242724067	92.79445992				8.920690785	7.864629469	83.21467975	0	0	0	-1675.756878	0.1806364505	236.313471235379	-1675.756878	0.01295223427			
1673.196878	8	7	85	0.1913472535	0.01282421749		3.994535839	3.278696363	92.7267678				8.984685289	7.924203805	83.09111091	0	0	0	-1673.196878	0.1913472535	241.806260403374	-1673.196878	0.01282421749			
1670.636878	8	7	85	0.2018159606	0.01269885047		4.026121541	3.314797589	92.65908087				9.048462999	7.983490173	82.96804683	0	0	0	-1670.636878	0.2018159606	247.368182786051	-1670.636878	0.01269885047			
1668.076878	8	7	85	0.2120504448	0.01257606102		4.057572225	3.351029729	92.59139805				9.112027892	8.0424896	82.84548251	0	0	0	-1668.076878	0.2120504448	252.99921601439	-1668.076878	0.01257606102			
1665.516878	8	7	85	0.2220582535	0.01245577969		4.088886971	3.387394799	92.52371823				9.175383933	8.1012031	82.72341297	0	0	0	-1665.516878	0.2220582535	258.699325178103	-1665.516878	0.01245577969			
1662.956878	8	7	85	0.2318466247	0.01233793965		4.120064834	3.423894853	92.45604031				9.238535068	8.159631678	82.60183325	0	0	0	-1662.956878	0.2318466247	264.468468611934	-1662.956878	0.01233793965			
1660.396878	8	7	85	0.2414225023	0.01222247656		4.151104847	3.460531982	92.38836317				9.301485234	8.217776331	82.48073844	0	0	0	-1660.396878	0.2414225023	270.3065917864	-1660.396878	0.01222247656			
1657.836878	8	7	85	0.2507925509	0.01210932848		4.182006016	3.497308314	92.32068567				9.364238354	8.27563804	82.36012361	0	0	0	-1657.836878	0.2507925509	276.213628077359	-1657.836878	0.01210932848			
1655.276878	8	7	85	0.2599631693	0.01199843574		4.212767323	3.534226014	92.25300666				9.426798341	8.333217782	82.23998388	0	0	0	-1655.276878	0.2599631693	282.189500560527	-1655.276878	0.01199843574			
