T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1658.533703	7	10	83	0	0	3.167521054	4.308241368	92.52423758	7	10	83							-0.0001825401516	-0.0002710951128	0.0004536352644	-1658.533703	0	104.370780730003	
1658.523703	7	10	83	4.853651687E-05	4.766574748E-05	3.167611711	4.308421578	92.52396671	7.000182444	10.00027093	82.99954662							0	0	0	-1658.523703	4.766574748E-05	315.217730042299	
1658.503703	7	10	83	0.000145495037	9.523607403E-05	3.167793031	4.308782017	92.52342495	7.000547414	10.00081295	82.99863963							0	0	0	-1658.503703	9.523607403E-05	420.160974225879	
1658.463703	7	10	83	0.0003394828513	0.0001905600595	3.168155643	4.309502944	92.52234141	7.001277757	10.00189755	82.99682469							0	0	0	-1658.463703	0.0001905600595	419.831501356567	
1658.383703	7	10	83	0.0007271825158	0.0003809226014	3.168881372	4.310945111	92.52017352	7.002737949	10.00406588	82.99319617							0	0	0	-1658.383703	0.0003809226014	-504883.553816926	
1658.303703	7	10	83	0.001114572266	0.0003807640168	3.169606707	4.312387377	92.51800592	7.004198024	10.00623389	82.98956809							0	0	0	-1658.303703	0.0003807640168	-665025.84862963	
1658.223703	7	10	83	0.001501707374	0.0003806601466	3.170331932	4.313829837	92.51583823	7.005657979	10.00840159	82.98594044							0	0	0	-1658.223703	0.0003806601466	-770564.055121916	
1658.143703	7	10	83	0.001888588111	0.0003805563766	3.171057047	4.315272491	92.51367046	7.007117817	10.01056897	82.98231322							0	0	0	-1658.143703	0.0003805563766	-771194.89447975	
1658.063703	7	10	83	0.002275214727	0.0003804526763	3.171782054	4.316715339	92.51150261	7.008577536	10.01273603	82.97868643							0	0	0	-1658.063703	0.0003804526763	-771713.784293878	
1657.983703	7	10	83	0.00266158747	0.0003803490458	3.172506951	4.318158381	92.50933467	7.010037136	10.01490278	82.97506008							0	0	0	-1657.983703	0.0003803490458	-772222.175815206	
1657.903703	7	10	83	0.003047706587	0.000380245482	3.173231738	4.319601616	92.50716665	7.011496619	10.01706922	82.97143416							0	0	0	-1657.903703	0.000380245482	-772736.873714466	
1657.823703	7	10	83	0.003433572328	0.0003801419895	3.173956416	4.321045046	92.50499854	7.012955984	10.01923534	82.96780868							0	0	0	-1657.823703	0.0003801419895	-773256.702604068	
1657.743703	7	10	83	0.003819184939	0.0003800385649	3.174680985	4.32248867	92.50283035	7.014415231	10.02140115	82.96418362							0	0	0	-1657.743703	0.0003800385649	-773768.647245956	
1657.663703	7	10	83	0.004204544668	0.0003799352093	3.175405444	4.323932488	92.50066207	7.01587436	10.02356664	82.960559							0	0	0	-1657.663703	0.0003799352093	-774280.508928051	
1657.583703	7	10	83	0.00458965176	0.0003798319214	3.176129793	4.3253765	92.49849371	7.017333372	10.02573181	82.95693482							0	0	0	-1657.583703	0.0003798319214	-774793.061174934	
1657.503703	7	10	83	0.004974506462	0.0003797287025	3.176854033	4.326820707	92.49632526	7.018792266	10.02789667	82.95331106							0	0	0	-1657.503703	0.0003797287025	-775313.803360455	
1657.423703	7	10	83	0.005359109023	0.0003796255533	3.177578164	4.328265109	92.49415673	7.020251043	10.03006122	82.94968774							0	0	0	-1657.423703	0.0003796255533	-775829.96517742	
1657.343703	7	10	83	0.005743459685	0.0003795224717	3.178302184	4.329709705	92.49198811	7.021709702	10.03222545	82.94606484							0	0	0	-1657.343703	0.0003795224717	-776343.063775478	
1657.263703	7	10	83	0.006127558696	0.0003794194588	3.179026095	4.331154496	92.48981941	7.023168244	10.03438937	82.94244239							0	0	0	-1657.263703	0.0003794194588	-776856.452843285	
1657.183703	7	10	83	0.0065114063	0.0003793165134	3.179749897	4.332599482	92.48765062	7.024626669	10.03655297	82.93882036							0	0	0	-1657.183703	0.0003793165134	-777375.449975035	
1657.103703	7	10	83	0.006895002743	0.000379213638	3.180473588	4.334044662	92.48548175	7.026084978	10.03871626	82.93519876							0	0	0	-1657.103703	0.000379213638	-777889.056748318	
1657.023703	7	10	83	0.007278348267	0.0003791108285	3.18119717	4.335490038	92.48331279	7.027543169	10.04087924	82.93157759							0	0	0	-1657.023703	0.0003791108285	-778409.071967722	
1656.943703	7	10	83	0.00766144312	0.0003790080905	3.181920642	4.336935609	92.48114375	7.029001243	10.0430419	82.92795686							0	0	0	-1656.943703	0.0003790080905	-778929.346433009	
1656.863703	7	10	83	0.008044287545	0.0003789054183	3.182644004	4.338381375	92.47897462	7.030459201	10.04520424	82.92433656							0	0	0	-1656.863703	0.0003789054183	-779438.587702045	
1656.783703	7	10	83	0.008426881783	0.0003788028145	3.183367256	4.339827336	92.47680541	7.031917043	10.04736627	82.92071668							0	0	0	-1656.783703	0.0003788028145	-779961.413436209	
1656.703703	7	10	83	0.008809226081	0.0003787002799	3.184090399	4.341273492	92.47463611	7.033374768	10.04952799	82.91709724							0	0	0	-1656.703703	0.0003787002799	-780476.546046891	
1656.623703	7	10	83	0.00919132068	0.0003785978115	3.184813431	4.342719844	92.47246672	7.034832376	10.05168939	82.91347823							0	0	0	-1656.623703	0.0003785978115	-780996.970649461	
1656.543703	7	10	83	0.009573165824	0.0003784954135	3.185536354	4.344166391	92.47029725	7.036289869	10.05385048	82.90985965							0	0	0	-1656.543703	0.0003784954135	-781518.429224428	
1656.463703	7	10	83	0.009954761755	0.0003783930818	3.186259167	4.345613135	92.4681277	7.037747245	10.05601126	82.9062415							0	0	0	-1656.463703	0.0003783930818	-782034.502308044	
1656.383703	7	10	83	0.01033610872	0.0003782908189	3.186981869	4.347060073	92.46595806	7.039204505	10.05817172	82.90262378							0	0	0	-1656.383703	0.0003782908189	-782553.148346042	
1656.303703	7	10	83	0.01071720695	0.0003781886228	3.187704462	4.348507208	92.46378833	7.04066165	10.06033186	82.89900649							0	0	0	-1656.303703	0.0003781886228	-783069.816762957	
1656.223703	7	10	83	0.01109805669	0.0003780864948	3.188426944	4.349954538	92.46161852	7.042118678	10.0624917	82.89538963							0	0	0	-1656.223703	0.0003780864948	-783591.765873514	
1656.143703	7	10	83	0.01147865819	0.0003779844348	3.189149316	4.351402065	92.45944862	7.043575592	10.06465121	82.89177319							0	0	0	-1656.143703	0.0003779844348	-784111.334028841	
1656.063703	7	10	83	0.01185901168	0.0003778824421	3.189871579	4.352849787	92.45727863	7.045032389	10.06681042	82.88815719							0	0	0	-1656.063703	0.0003778824421	-784633.910571381	
1655.983703	7	10	83	0.01223911741	0.000377780518	3.190593731	4.354297706	92.45510856	7.046489071	10.06896931	82.88454162							0	0	0	-1655.983703	0.000377780518	-785150.998059034	
1655.903703	7	10	83	0.01261897562	0.0003776786596	3.191315773	4.355745821	92.45293841	7.047945638	10.07112789	82.88092648							0	0	0	-1655.903703	0.0003776786596	-785674.591912507	
1655.823703	7	10	83	0.01299858654	0.0003775768713	3.192037704	4.357194132	92.45076816	7.049402089	10.07328615	82.87731176							0	0	0	-1655.823703	0.0003775768713	-786192.65030636	
1655.743703	7	10	83	0.01337795041	0.0003774751471	3.192759526	4.35864264	92.44859783	7.050858425	10.0754441	82.87369747							0	0	0	-1655.743703	0.0003774751471	-786712.615637846	
1655.663703	7	10	83	0.01375706749	0.0003773734933	3.193481237	4.360091344	92.44642742	7.052314647	10.07760174	82.87008362							0	0	0	-1655.663703	0.0003773734933	-787239.409979822	
1655.583703	7	10	83	0.014135938	0.0003772719052	3.194202837	4.361540245	92.44425692	7.053770753	10.07975906	82.86647019							0	0	0	-1655.583703	0.0003772719052	-787761.13327491	
1655.503703	7	10	83	0.01451456218	0.000377170386	3.194924328	4.362989342	92.44208633	7.055226745	10.08191607	82.86285719							0	0	0	-1655.503703	0.000377170386	-788282.737863131	
1655.423703	7	10	83	0.01489294027	0.0003770689323	3.195645708	4.364438637	92.43991566	7.056682622	10.08407276	82.85924461							0	0	0	-1655.423703	0.0003770689323	-788801.564014083	
1655.343703	7	10	83	0.01527107252	0.0003769675466	3.196366977	4.365888128	92.43774489	7.058138384	10.08622915	82.85563247							0	0	0	-1655.343703	0.0003769675466	-789326.506593094	
1655.263703	7	10	83	0.01564895915	0.0003768662278	3.197088137	4.367337816	92.43557405	7.059594032	10.08838522	82.85202075							0	0	0	-1655.263703	0.0003768662278	-789849.036264939	
1655.183703	7	10	83	0.01602660041	0.0003767649762	3.197809185	4.368787702	92.43340311	7.061049566	10.09054097	82.84840946							0	0	0	-1655.183703	0.0003767649762	-790371.473225429	
1655.103703	7	10	83	0.01640399654	0.0003766637913	3.198530123	4.370237784	92.43123209	7.062504985	10.09269641	82.8447986							0	0	0	-1655.103703	0.0003766637913	-790896.955751522	
1655.023703	7	10	83	0.01678114776	0.0003765626742	3.199250951	4.371688064	92.42906099	7.06396029	10.09485154	82.84118817							0	0	0	-1655.023703	0.0003765626742	-791422.342063089	
1654.943703	7	10	83	0.01715805433	0.0003764616236	3.199971668	4.373138541	92.42688979	7.065415481	10.09700636	82.83757816							0	0	0	-1654.943703	0.0003764616236	-791943.337798277	
1654.863703	7	10	83	0.01753471647	0.0003763606395	3.200692274	4.374589215	92.42471851	7.066870559	10.09916086	82.83396858							0	0	0	-1654.863703	0.0003763606395	-792467.378057836	
1654.783703	7	10	83	0.01791113442	0.0003762597225	3.20141277	4.376040087	92.42254714	7.068325522	10.10131505	82.83035943							0	0	0	-1654.783703	0.0003762597225	-792996.828644137	
1654.703703	7	10	83	0.01828730841	0.0003761588732	3.202133155	4.377491157	92.42037569	7.069780372	10.10346893	82.8267507							0	0	0	-1654.703703	0.0003761588732	-793520.281706108	
