T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1759.754713	5	7	88	0	0	2.162108923	2.618693351	95.21919773	5	7	88							-0.0002119207016	-0.0003271764238	0.0005390971254	-1759.754713	0	66.6810790101528	
1759.744713	5	7	88	7.572701141E-05	7.470934176E-05	2.16221424	2.618850675	95.21893508	5.000211828	7.000326993	87.99946118							0	0	0	-1759.744713	7.470934176E-05	201.023059840793	
1759.724713	5	7	88	0.0002270475926	0.0001493095139	2.162424907	2.619165363	95.21840973	5.000635546	7.000981159	87.9983833							0	0	0	-1759.724713	0.0001493095139	267.973713625385	
1759.684713	5	7	88	0.0005297397689	0.0002987143148	2.162846212	2.619794774	95.21735901	5.001483371	7.002290097	87.99622653							0	0	0	-1759.684713	0.0002987143148	267.875533091254	
1759.604713	5	7	88	0.00113454278	0.0005970346684	2.163689192	2.621053837	95.21525697	5.003178379	7.004907	87.99191462							0	0	0	-1759.604713	0.0005970346684	-218209.307668211	
1759.524713	5	7	88	0.001738610763	0.0005966675957	2.164531876	2.622312922	95.2131552	5.004873118	7.007523512	87.98760337							0	0	0	-1759.524713	0.0005966675957	-260584.481220241	
1759.444713	5	7	88	0.002342039122	0.0005963939719	2.165374474	2.623572117	95.21105341	5.006567589	7.010139634	87.98329278							0	0	0	-1759.444713	0.0005963939719	-292555.394920638	
1759.364713	5	7	88	0.002944828904	0.0005961206903	2.166216986	2.624831422	95.20895159	5.00826179	7.012755365	87.97898284							0	0	0	-1759.364713	0.0005961206903	-292873.168333799	
1759.284713	5	7	88	0.003546981076	0.0005958476601	2.167059413	2.626090835	95.20684975	5.009955723	7.015370707	87.97467357							0	0	0	-1759.284713	0.0005958476601	-293144.362728226	
1759.204713	5	7	88	0.004148496608	0.0005955748839	2.167901754	2.627350359	95.20474789	5.011649387	7.017985658	87.97036495							0	0	0	-1759.204713	0.0005955748839	-293414.491359348	
1759.124713	5	7	88	0.004749376462	0.0005953023562	2.168744009	2.628609992	95.202646	5.013342783	7.02060022	87.966057							0	0	0	-1759.124713	0.0005953023562	-293685.291240403	
1759.044713	5	7	88	0.005349621603	0.0005950300828	2.169586179	2.629869735	95.20054409	5.015035911	7.023214391	87.9617497							0	0	0	-1759.044713	0.0005950300828	-293956.201141114	
1758.964713	5	7	88	0.00594923299	0.0005947580572	2.170428264	2.631129587	95.19844215	5.016728771	7.025828173	87.95744306							0	0	0	-1758.964713	0.0005947580572	-294226.702765333	
1758.884713	5	7	88	0.006548211584	0.0005944862842	2.171270263	2.632389549	95.19634019	5.018421363	7.028441565	87.95313707							0	0	0	-1758.884713	0.0005944862842	-294498.453376505	
1758.804713	5	7	88	0.007146558342	0.0005942147604	2.172112176	2.633649621	95.1942382	5.020113687	7.031054567	87.94883175							0	0	0	-1758.804713	0.0005942147604	-294768.264991833	
1758.724713	5	7	88	0.007744274218	0.0005939434847	2.172954004	2.634909803	95.19213619	5.021805744	7.033667179	87.94452708							0	0	0	-1758.724713	0.0005939434847	-295039.118694923	
1758.644713	5	7	88	0.008341360165	0.0005936724592	2.173795746	2.636170095	95.19003416	5.023497533	7.036279402	87.94022306							0	0	0	-1758.644713	0.0005936724592	-295311.831551951	
1758.564713	5	7	88	0.008937817137	0.0005934016843	2.174637402	2.637430497	95.1879321	5.025189055	7.038891236	87.93591971							0	0	0	-1758.564713	0.0005934016843	-295583.078786804	
