T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1717.074114	13	87	0.01543130541	0.000495843862	5.541265939	94.45873406	13.11616827	86.88383173			0	0	-1717.074114	0.000495843862	-535376.743189167	
1716.994114	13	87	0.01592472348	0.0004956945044	5.543621179	94.45637882	13.1199238	86.8800762			0	0	-1716.994114	0.0004956945044	-535878.094667305	
1716.914114	13	87	0.01641774684	0.0004955452865	5.545976826	94.45402317	13.12367889	86.87632111			0	0	-1716.914114	0.0004955452865	-536381.28811594	
1716.834114	13	87	0.01691037597	0.000495396209	5.548332879	94.45166712	13.12743355	86.87256645			0	0	-1716.834114	0.000495396209	-536881.451993428	
1716.754114	13	87	0.01740261135	0.000495247269	5.550689338	94.44931066	13.13118777	86.86881223			0	0	-1716.754114	0.000495247269	-537382.026567832	
1716.674114	13	87	0.01789445347	0.0004950984691	5.553046204	94.4469538	13.13494155	86.86505845			0	0	-1716.674114	0.0004950984691	-537886.778839189	
1716.594114	13	87	0.0183859028	0.0004949498085	5.555403477	94.44459652	13.1386949	86.8613051			0	0	-1716.594114	0.0004949498085	-538385.225617685	
1716.514114	13	87	0.01887695982	0.000494801284	5.557761156	94.44223884	13.14244781	86.85755219			0	0	-1716.514114	0.000494801284	-538892.437980007	
1716.434114	13	87	0.01936762502	0.0004946529031	5.560119243	94.43988076	13.14620029	86.85379971			0	0	-1716.434114	0.0004946529031	-539394.908154832	
1716.354114	13	87	0.01985789886	0.0004945046552	5.562477737	94.43752226	13.14995233	86.85004767			0	0	-1716.354114	0.0004945046552	-539897.65811648	
1716.274114	13	87	0.02034778184	0.0004943565505	5.564836638	94.43516336	13.15370394	86.84629606			0	0	-1716.274114	0.0004943565505	-540404.56808102	
1716.194114	13	87	0.02083727441	0.0004942085806	5.567195947	94.43280405	13.15745511	86.84254489			0	0	-1716.194114	0.0004942085806	-540907.175264968	
1716.114114	13	87	0.02132637708	0.000494060751	5.569555664	94.43044434	13.16120584	86.83879416			0	0	-1716.114114	0.000494060751	-541416.370592277	
1716.034114	13	87	0.02181509029	0.0004939130593	5.571915788	94.42808421	13.16495615	86.83504385			0	0	-1716.034114	0.0004939130593	-541919.554102979	
1715.954114	13	87	0.02230341454	0.0004937655041	5.574276321	94.42572368	13.16870601	86.83129399			0	0	-1715.954114	0.0004937655041	-542426.446901451	
1715.874114	13	87	0.0227913503	0.0004936180883	5.576637263	94.42336274	13.17245545	86.82754455			0	0	-1715.874114	0.0004936180883	-542931.8693827	
1715.794114	13	87	0.02327889804	0.0004934708077	5.578998613	94.42100139	13.17620444	86.82379556			0	0	-1715.794114	0.0004934708077	-543440.112821419	
1715.714114	13	87	0.02376605822	0.0004933236675	5.581360371	94.41863963	13.17995301	86.82004699			0	0	-1715.714114	0.0004933236675	-543950.199022626	
1715.634114	13	87	0.02425283133	0.000493176663	5.583722539	94.41627746	13.18370114	86.81629886			0	0	-1715.634114	0.000493176663	-544457.007033839	
1715.554114	13	87	0.02473921783	0.0004930297966	5.586085115	94.41391488	13.18744884	86.81255116			0	0	-1715.554114	0.0004930297966	-544967.905099537	
1715.474114	13	87	0.0252252182	0.0004928830676	5.588448101	94.4115519	13.19119611	86.80880389			0	0	-1715.474114	0.0004928830676	-545474.551016738	
1715.394114	13	87	0.0257108329	0.0004927364739	5.590811496	94.4091885	13.19494294	86.80505706			0	0	-1715.394114	0.0004927364739	-545984.581007569	
1715.314114	13	87	0.02619606241	0.0004925900189	5.593175301	94.4068247	13.19868934	86.80131066			0	0	-1715.314114	0.0004925900189	-546495.167920586	
1715.234114	13	87	0.02668090718	0.000492443699	5.595539516	94.40446048	13.20243531	86.79756469			0	0	-1715.234114	0.000492443699	-547004.487529432	
1715.154114	13	87	0.02716536769	0.0004922975166	5.597904141	94.40209586	13.20618084	86.79381916			0	0	-1715.154114	0.0004922975166	-547519.433334761	
1715.074114	13	87	0.02764944441	0.0004921514718	5.600269176	94.39973082	13.20992594	86.79007406			0	0	-1715.074114	0.0004921514718	-548031.587597051	
1714.994114	13	87	0.0281331378	0.0004920055625	5.602634621	94.39736538	13.21367062	86.78632938			0	0	-1714.994114	0.0004920055625	-548540.382164495	
1714.914114	13	87	0.02861644833	0.0004918597885	5.605000477	94.39499952	13.21741486	86.78258514			0	0	-1714.914114	0.0004918597885	-549053.332727667	
1714.834114	13	87	0.02909937645	0.0004917141517	5.607366743	94.39263326	13.22115866	86.77884134			0	0	-1714.834114	0.0004917141517	-549566.851881669	
