T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1897.083685	4	96	0	0	1.507615935	98.49238406	4	96					-0.0008848501221	0.0008848501221	-1897.083685	0	14.0435518771069	
1897.073685	4	96	0.0003572068353	0.0003550022748	1.507961742	98.49203826	4.000884813	95.99911519					0	0	-1897.073685	0.0003550022748	42.2941152864327	
1897.053685	4	96	0.001071005299	0.0007095931648	1.508653349	98.49134665	4.002654443	95.99734556					0	0	-1897.053685	0.0007095931648	56.4238141248678	
1897.013685	4	96	0.002496385422	0.001417992336	1.510036573	98.48996343	4.006193592	95.99380641					0	0	-1897.013685	0.001417992336	56.5130761474688	
1896.933685	4	96	0.005338298729	0.002831212472	1.512803047	98.48719695	4.013271422	95.98672858					0	0	-1896.933685	0.002831212472	-13949.2019214304	
1896.853685	4	96	0.008166146729	0.002825453816	1.515569552	98.48443045	4.020348559	95.97965144					0	0	-1896.853685	0.002825453816	-14770.6550358464	
1896.773685	4	96	0.01098085283	0.002820310858	1.518336093	98.48166391	4.027424969	95.97257503					0	0	-1896.773685	0.002820310858	-15586.7401230033	
1896.693685	4	96	0.01378250374	0.002815188597	1.521102672	98.47889733	4.034500658	95.96549934					0	0	-1896.693685	0.002815188597	-15646.4140730556	
1896.613685	4	96	0.01657118344	0.002810084806	1.523869289	98.47613071	4.041575626	95.95842437					0	0	-1896.613685	0.002810084806	-15702.9645196456	
1896.533685	4	96	0.0193469752	0.002804999372	1.526635944	98.47336406	4.048649873	95.95135013					0	0	-1896.533685	0.002804999372	-15759.5947284925	
1896.453685	4	96	0.0221099616	0.002799932195	1.529402637	98.47059736	4.055723399	95.9442766					0	0	-1896.453685	0.002799932195	-15816.3331915619	
1896.373685	4	96	0.02486022456	0.002794883182	1.532169367	98.46783063	4.062796205	95.93720379					0	0	-1896.373685	0.002794883182	-15873.1840097158	
1896.293685	4	96	0.02759784533	0.002789852237	1.534936135	98.46506387	4.069868291	95.93013171					0	0	-1896.293685	0.002789852237	-15930.1260884782	
1896.213685	4	96	0.03032290447	0.002784839255	1.53770294	98.46229706	4.076939656	95.92306034					0	0	-1896.213685	0.002784839255	-15987.1764936998	
1896.133685	4	96	0.03303548193	0.002779844152	1.540469782	98.45953022	4.084010302	95.9159897					0	0	-1896.133685	0.002779844152	-16044.3440116711	
1896.053685	4	96	0.03573565698	0.00277486683	1.54323666	98.45676334	4.091080228	95.90891977					0	0	-1896.053685	0.00277486683	-16101.5830221657	
1895.973685	4	96	0.03842350825	0.002769907178	1.546003576	98.45399642	4.098149435	95.90185057					0	0	-1895.973685	0.002769907178	-16158.9238399081	
1895.893685	4	96	0.04109911372	0.002764965118	1.548770528	98.45122947	4.105217922	95.89478208					0	0	-1895.893685	0.002764965118	-16216.383356884	
1895.813685	4	96	0.04376255077	0.002760040551	1.551537516	98.44846248	4.11228569	95.88771431					0	0	-1895.813685	0.002760040551	-16273.9352266153	
1895.733685	4	96	0.04641389613	0.002755133384	1.554304541	98.44569546	4.11935274	95.88064726					0	0	-1895.733685	0.002755133384	-16331.6020930782	
1895.653685	4	96	0.04905322592	0.002750243533	1.557071602	98.4429284	4.126419071	95.87358093					0	0	-1895.653685	0.002750243533	-16389.3784524409	
1895.573685	4	96	0.05168061567	0.002745370903	1.559838698	98.4401613	4.133484683	95.86651532					0	0	-1895.573685	0.002745370903	-16447.2284906284	
1895.493685	4	96	0.05429614025	0.00274051539	1.562605831	98.43739417	4.140549577	95.85945042					0	0	-1895.493685	0.00274051539	-16505.1770763314	
1895.413685	4	96	0.05689987397	0.002735676915	1.565372999	98.434627	4.147613753	95.85238625					0	0	-1895.413685	0.002735676915	-16563.243808298	
1895.333685	4	96	0.05949189055	0.002730855387	1.568140203	98.4318598	4.154677211	95.84532279					0	0	-1895.333685	0.002730855387	-16621.4149793969	
1895.253685	4	96	0.06207226309	0.00272605072	1.570907442	98.42909256	4.161739951	95.83826005					0	0	-1895.253685	0.00272605072	-16679.6830994479	
1895.173685	4	96	0.06464106413	0.00272126282	1.573674716	98.42632528	4.168801974	95.83119803					0	0	-1895.173685	0.00272126282	-16738.0549113139	
1895.093685	4	96	0.06719836563	0.002716491606	1.576442025	98.42355798	4.17586328	95.82413672					0	0	-1895.093685	0.002716491606	-16796.5279717927	
1895.013685	4	96	0.06974423897	0.002711736984	1.579209369	98.42079063	4.182923868	95.81707613					0	0	-1895.013685	0.002711736984	-16855.0932802385	
