T	w(TI)	fs	fw(@BCC_A2)	w(TI@BCC_A2)	w(TI@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	mole/mole	kg/kg	%	%	SI							
1603.064519	100	1	1	100			-1603.064519	1	NaN	-1603.064519	1	NaN	
1597.944519	100	1	1	100			-1597.944519	1	NaN	-1597.944519	1	NaN	
1592.824519	100	1	1	100			-1592.824519	1	NaN	-1592.824519	1	NaN	
1587.704519	100	1	1	100			-1587.704519	1	NaN	-1587.704519	1	NaN	
1582.584519	100	1	1	100			-1582.584519	1	NaN	-1582.584519	1	NaN	
1577.464519	100	1	1	100			-1577.464519	1	NaN	-1577.464519	1	NaN	
1572.344519	100	1	1	100			-1572.344519	1	NaN	-1572.344519	1	NaN	
1567.224519	100	1	1	100			-1567.224519	1	NaN	-1567.224519	1	NaN	
1562.104519	100	1	1	100			-1562.104519	1	NaN	-1562.104519	1	NaN	
1556.984519	100	1	1	100			-1556.984519	1	NaN	-1556.984519	1	NaN	
1551.864519	100	1	1	100			-1551.864519	1	NaN	-1551.864519	1	NaN	
1546.744519	100	1	1	100			-1546.744519	1	NaN	-1546.744519	1	NaN	
1541.624519	100	1	1	100			-1541.624519	1	NaN	-1541.624519	1	NaN	
1536.504519	100	1	1	100			-1536.504519	1	NaN	-1536.504519	1	NaN	
1531.384519	100	1	1	100			-1531.384519	1	NaN	-1531.384519	1	NaN	
1526.264519	100	1	1	100			-1526.264519	1	NaN	-1526.264519	1	NaN	
1521.144519	100	1	1	100			-1521.144519	1	NaN	-1521.144519	1	NaN	
1516.024519	100	1	1	100			-1516.024519	1	NaN	-1516.024519	1	NaN	
1510.904519	100	1	1	100			-1510.904519	1	NaN	-1510.904519	1	NaN	
1505.784519	100	1	1	100			-1505.784519	1	NaN	-1505.784519	1	NaN	
1500.664519	100	1	1	100			-1500.664519	1	NaN	-1500.664519	1	NaN	
1495.544519	100	1	1	100			-1495.544519	1	NaN	-1495.544519	1	NaN	
1490.424519	100	1	1	100			-1490.424519	1	NaN	-1490.424519	1	NaN	
1485.304519	100	1	1	100			-1485.304519	1	NaN	-1485.304519	1	NaN	
1480.184519	100	1	1	100			-1480.184519	1	NaN	-1480.184519	1	NaN	
1475.064519	100	1	1	100			-1475.064519	1	NaN	-1475.064519	1	NaN	
1469.944519	100	1	1	100			-1469.944519	1	NaN	-1469.944519	1	NaN	
1464.824519	100	1	1	100			-1464.824519	1	NaN	-1464.824519	1	NaN	
1459.704519	100	1	1	100			-1459.704519	1	NaN	-1459.704519	1	NaN	
1454.584519	100	1	1	100			-1454.584519	1	NaN	-1454.584519	1	NaN	
1449.464519	100	1	1	100			-1449.464519	1	NaN	-1449.464519	1	NaN	
1444.344519	100	1	1	100			-1444.344519	1	NaN	-1444.344519	1	NaN	
1439.224519	100	1	1	100			-1439.224519	1	NaN	-1439.224519	1	NaN	
1434.104519	100	1	1	100			-1434.104519	1	NaN	-1434.104519	1	NaN	
1428.984519	100	1	1	100			-1428.984519	1	NaN	-1428.984519	1	NaN	
