T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI							
1799.006954	9	91	0	0	3.312587904	96.6874121	9	91	-0.000540375902	0.000540375902	-1799.006954	0	104.297038323309	-1799.006954	0	52.4007204422857	
1798.996954	9	91	9.585160546E-05	9.506541998E-05	3.312840875	96.68715913	9.000540233	90.99945977	0	0	-1798.996954	9.585160546E-05	104.358830339507	-1798.996954	9.506541998E-05	157.980720087714	
1798.976954	9	91	0.0002873847533	0.0001899903867	3.313346825	96.68665318	9.001620815	90.99837919	0	0	-1798.976954	0.0002873847533	104.435341446409	-1798.976954	0.0001899903867	210.673609532302	
1798.936954	9	91	0.0006702885699	0.0003798920196	3.314358776	96.68564122	9.003781878	90.99621812	0	0	-1798.936954	0.0006702885699	104.488091927596	-1798.936954	0.0003798920196	210.670466076122	
1798.856954	9	91	0.001435586214	0.0007595055747	3.316382878	96.68361712	9.008104531	90.99189547	0	0	-1798.856954	0.001435586214	104.59982158598	-1798.856954	0.0007595055747	210.870941124329	
1798.696954	9	91	0.002963320739	0.001517328629	3.32043188	96.67956812	9.01674675	90.98325325	0	0	-1798.696954	0.002963320739	104.852600098265	-1798.696954	0.001517328629	211.330775069741	
1798.376954	9	91	0.006008142262	0.003028694309	3.328533076	96.67146692	9.034023097	90.9659769	0	0	-1798.376954	0.006008142262	105.342425966138	-1798.376954	0.003028694309	212.147173155333	
1797.736954	9	91	0.01205552425	0.006033691913	3.344747664	96.65525234	9.068543484	90.93145652	0	0	-1797.736954	0.01205552425	106.327741289276	-1797.736954	0.006033691913	213.820043678169	
1796.456954	9	91	0.02398383781	0.01197382223	3.377224841	96.62277516	9.137455467	90.86254453	0	0	-1796.456954	0.02398383781	108.393307726704	-1796.456954	0.01197382223	217.452120101729	
1793.896954	9	91	0.04715089234	0.02354255402	3.442373809	96.55762619	9.274765922	90.72523408	0	0	-1793.896954	0.04715089234	112.858751183231	-1793.896954	0.02354255402	-6674.84341955746	
1791.336954	9	91	0.06938833011	0.02314490285	3.507788131	96.49221187	9.411403658	90.58859634	0	0	-1791.336954	0.06938833011	117.533704720539	-1791.336954	0.02314490285	-6549.57107384783	
1788.776954	9	91	0.090748181	0.02276038268	3.573469456	96.42653054	9.547371097	90.4526289	0	0	-1788.776954	0.090748181	122.314697860018	-1788.776954	0.02276038268	-6787.24476096323	
1786.216954	9	91	0.1112802674	0.02239001612	3.639423481	96.36057652	9.682678862	90.31732114	0	0	-1786.216954	0.1112802674	127.198857957045	-1786.216954	0.02239001612	-7040.8091847099	
1783.656954	9	91	0.1310304572	0.02203272386	3.705654675	96.29434532	9.817335032	90.18266497	0	0	-1783.656954	0.1310304572	132.187249167581	-1783.656954	0.02203272386	-7296.79470399824	
1781.096954	9	91	0.1500413896	0.02168789577	3.772167543	96.22783246	9.951347622	90.04865238	0	0	-1781.096954	0.1500413896	137.279930303143	-1781.096954	0.02168789577	-7558.65053997955	
1778.536954	9	91	0.1683527313	0.02135493858	3.838966626	96.16103337	10.0847246	89.9152754	0	0	-1778.536954	0.1683527313	142.476914419153	-1778.536954	0.02135493858	-7826.56569176661	
1775.976954	9	91	0.1860014476	0.02103332081	3.906056508	96.09394349	10.21747389	89.78252611	0	0	-1775.976954	0.1860014476	147.778135320745	-1775.976954	0.02103332081	-8100.85409481993	
1773.416954	9	91	0.2030220183	0.02072253547	3.973441812	96.02655819	10.34960337	89.65039663	0	0	-1773.416954	0.2030220183	153.183521072741	-1773.416954	0.02072253547	-8381.57834381839	
1770.856954	9	91	0.2194466397	0.02042210649	4.041127204	95.9588728	10.48112088	89.51887912	0	0	-1770.856954	0.2194466397	158.692965971328	-1770.856954	0.02042210649	-8668.90233273358	
1768.296954	9	91	0.2353054082	0.02013158639	4.109117396	95.8908826	10.61203419	89.38796581	0	0	-1768.296954	0.2353054082	164.306331662297	-1768.296954	0.02013158639	-8963.000159507	
1765.736954	9	91	0.2506264857	0.01985055427	4.17741714	95.82258286	10.74235108	89.25764892	0	0	-1765.736954	0.2506264857	170.023446935736	-1765.736954	0.01985055427	-9264.05614779828	
1763.176954	9	91	0.2654362506	0.01957861383	4.246031235	95.75396876	10.87207924	89.12792076	0	0	-1763.176954	0.2654362506	175.844106243795	-1763.176954	0.01957861383	-9572.2654234318	
1760.616954	9	91	0.2797594345	0.01931539168	4.314964527	95.68503547	11.00122635	88.99877365	0	0	-1760.616954	0.2797594345	181.768070025187	-1760.616954	0.01931539168	-9887.83632119424	
1758.056954	9	91	0.293619247	0.01906053577	4.384221909	95.61577809	11.12980004	88.87019996	0	0	-1758.056954	0.293619247	187.795064648157	-1758.056954	0.01906053577	-10210.988957664	
1755.496954	9	91	0.3070374891	0.01881371385	4.45380832	95.54619168	11.25780792	88.74219208	0	0	-1755.496954	0.3070374891	193.924780700828	-1755.496954	0.01881371385	-10541.9580980396	
1752.936954	9	91	0.3200346572	0.01857461224	4.523728752	95.47627125	11.38525755	88.61474245	0	0	-1752.936954	0.3200346572	200.156873296508	-1752.936954	0.01857461224	-10880.993706894	
1750.376954	9	91	0.3326300376	0.01834293451	4.593988245	95.40601175	11.51215647	88.48784353	0	0	-1750.376954	0.3326300376	206.490963879973	-1750.376954	0.01834293451	-11228.360770543	
1747.816954	9	91	0.3448417932	0.01811840038	4.664591892	95.33540811	11.63851217	88.36148783	0	0	-1747.816954	0.3448417932	212.926635886717	-1747.816954	0.01811840038	-11584.3428978161	
