T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1905.83362	3	97	0.1080341418	0.003551165888	1.205309198	98.7946908	3.221392866	96.77860713					0	0	-1905.83362	0.003551165888	-9856.66256766536	
1905.75362	3	97	0.1112102481	0.00354306793	1.208070425	98.79192957	3.228551567	96.77144843					0	0	-1905.75362	0.00354306793	-9901.56581226685	
1905.67362	3	97	0.1143678788	0.003535006661	1.210831709	98.78916829	3.235709523	96.76429048					0	0	-1905.67362	0.003535006661	-9946.57884900404	
1905.59362	3	97	0.1175071831	0.003526981832	1.21359305	98.78640695	3.242866733	96.75713327					0	0	-1905.59362	0.003526981832	-9991.6872363597	
1905.51362	3	97	0.1206283083	0.003518993186	1.216354446	98.78364555	3.250023199	96.7499768					0	0	-1905.51362	0.003518993186	-10036.9001433604	
1905.43362	3	97	0.1237314004	0.003511040493	1.219115898	98.7808841	3.25717892	96.74282108					0	0	-1905.43362	0.003511040493	-10082.2241408235	
1905.35362	3	97	0.1268166039	0.003503123511	1.221877406	98.77812259	3.264333897	96.7356661					0	0	-1905.35362	0.003503123511	-10127.6445262714	
1905.27362	3	97	0.1298840616	0.003495241991	1.22463897	98.77536103	3.271488129	96.72851187					0	0	-1905.27362	0.003495241991	-10173.1610457053	
1905.19362	3	97	0.132933915	0.003487395695	1.227400589	98.77259941	3.278641618	96.72135838					0	0	-1905.19362	0.003487395695	-10218.784454276	
1905.11362	3	97	0.1359663043	0.003479584395	1.230162264	98.76983774	3.285794362	96.71420564					0	0	-1905.11362	0.003479584395	-10264.5073370538	
1905.03362	3	97	0.138981368	0.003471807846	1.232923994	98.76707601	3.292946363	96.70705364					0	0	-1905.03362	0.003471807846	-10310.3310765833	
1904.95362	3	97	0.1419792433	0.003464065826	1.235685778	98.76431422	3.300097621	96.69990238					0	0	-1904.95362	0.003464065826	-10356.2674796703	
1904.87362	3	97	0.1449600662	0.003456358112	1.238447618	98.76155238	3.307248136	96.69275186					0	0	-1904.87362	0.003456358112	-10402.2970264093	
1904.79362	3	97	0.147923971	0.003448684457	1.241209512	98.75879049	3.314397908	96.68560209					0	0	-1904.79362	0.003448684457	-10448.4300931901	
1904.71362	3	97	0.1508710908	0.003441044657	1.243971461	98.75602854	3.321546937	96.67845306					0	0	-1904.71362	0.003441044657	-10494.6537267665	
1904.63362	3	97	0.1538015575	0.003433438451	1.246733464	98.75326654	3.328695224	96.67130478					0	0	-1904.63362	0.003433438451	-10540.9957053256	
1904.55362	3	97	0.1567155015	0.003425865678	1.249495521	98.75050448	3.335842769	96.66415723					0	0	-1904.55362	0.003425865678	-10587.4461339867	
1904.47362	3	97	0.1596130519	0.003418326068	1.252257632	98.74774237	3.342989572	96.65701043					0	0	-1904.47362	0.003418326068	-10633.968158876	
1904.39362	3	97	0.1624943366	0.00341081941	1.255019797	98.7449802	3.350135633	96.64986437					0	0	-1904.39362	0.00341081941	-10680.6157694619	
1904.31362	3	97	0.1653594822	0.003403345515	1.257782016	98.74221798	3.357280952	96.64271905					0	0	-1904.31362	0.003403345515	-10727.363381022	
1904.23362	3	97	0.1682086139	0.00339590414	1.260544288	98.73945571	3.364425531	96.63557447					0	0	-1904.23362	0.00339590414	-10774.2023260093	
1904.15362	3	97	0.1710418558	0.003388495087	1.263306613	98.73669339	3.371569368	96.62843063					0	0	-1904.15362	0.003388495087	-10821.1563589651	
1904.07362	3	97	0.1738593309	0.00338111815	1.266068992	98.73393101	3.378712465	96.62128754					0	0	-1904.07362	0.00338111815	-10868.205356079	
1903.99362	3	97	0.1766611608	0.003373773107	1.268831423	98.73116858	3.38585482	96.61414518					0	0	-1903.99362	0.003373773107	-10915.3579121141	
1903.91362	3	97	0.1794474658	0.003366459767	1.271593908	98.72840609	3.392996436	96.60700356					0	0	-1903.91362	0.003366459767	-10962.60491656	
1903.83362	3	97	0.1822183652	0.0033591779	1.274356445	98.72564356	3.400137311	96.59986269					0	0	-1903.83362	0.0033591779	-11009.9562285651	
1903.75362	3	97	0.1849739772	0.003351927331	1.277119034	98.72288097	3.407277447	96.59272255					0	0	-1903.75362	0.003351927331	-11057.4223829612	
1903.67362	3	97	0.1877144185	0.003344707848	1.279881676	98.72011832	3.414416843	96.58558316					0	0	-1903.67362	0.003344707848	-11104.9828772247	
1903.59362	3	97	0.1904398052	0.003337519252	1.28264437	98.71735563	3.421555499	96.5784445					0	0	-1903.59362	0.003337519252	-11152.6448665478	
