T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1813.866277	11	89	0	0	4.379475784	95.62052422	11	89					-0.0007997023285	0.0007997023285	-1813.866277	0	41.246132273118	
1813.856277	11	89	0.0001228885502	0.0001208564559	4.379817357	95.62018264	11.00079971	88.99920029					0	0	-1813.856277	0.0001208564559	124.239441923517	
1813.836277	11	89	0.0003684772551	0.0002415667737	4.380500499	95.6194995	11.00239913	88.99760087					0	0	-1813.836277	0.0002415667737	165.684604284829	
1813.796277	11	89	0.0008593921687	0.0004829931588	4.381866769	95.61813323	11.00559787	88.99440213					0	0	-1813.796277	0.0004829931588	165.743274340568	
1813.716277	11	89	0.001840137106	0.0009653109669	4.384599234	95.61540077	11.01199493	88.98800507					0	0	-1813.716277	0.0009653109669	-118635.355632925	
1813.636277	11	89	0.002819161729	0.0009646356849	4.387331585	95.61266842	11.01839149	88.98160851					0	0	-1813.636277	0.0009646356849	-123375.757988611	
1813.556277	11	89	0.003796601195	0.0009640102939	4.390063842	95.60993616	11.02478743	88.97521257					0	0	-1813.556277	0.0009640102939	-128019.223374886	
1813.476277	11	89	0.004772459243	0.0009633858711	4.392796007	95.60720399	11.03118276	88.96881724					0	0	-1813.476277	0.0009633858711	-128198.005740636	
1813.396277	11	89	0.005746739416	0.0009627622236	4.39552808	95.60447192	11.03757747	88.96242253					0	0	-1813.396277	0.0009627622236	-128356.393177946	
1813.316277	11	89	0.006719445239	0.0009621393409	4.39826006	95.60173994	11.04397157	88.95602843					0	0	-1813.316277	0.0009621393409	-128514.567286495	
1813.236277	11	89	0.007690580231	0.0009615172276	4.400991947	95.59900805	11.05036506	88.94963494					0	0	-1813.236277	0.0009615172276	-128673.35758415	
1813.156277	11	89	0.0086601479	0.0009608958813	4.403723742	95.59627626	11.05675793	88.94324207					0	0	-1813.156277	0.0009608958813	-128832.157222608	
1813.076277	11	89	0.009628151746	0.0009602753007	4.406455444	95.59354456	11.06315019	88.93684981					0	0	-1813.076277	0.0009602753007	-128990.651510656	
1812.996277	11	89	0.01059459525	0.0009596554804	4.409187053	95.59081295	11.06954184	88.93045816					0	0	-1812.996277	0.0009596554804	-129149.382263534	
1812.916277	11	89	0.0115594819	0.0009590364243	4.411918569	95.58808143	11.07593287	88.92406713					0	0	-1812.916277	0.0009590364243	-129308.145962274	
1812.836277	11	89	0.01252281516	0.0009584181251	4.414649992	95.58535001	11.08232329	88.91767671					0	0	-1812.836277	0.0009584181251	-129466.873660626	
1812.756277	11	89	0.01348459848	0.000957800586	4.417381322	95.58261868	11.08871309	88.91128691					0	0	-1812.756277	0.000957800586	-129626.368865366	
1812.676277	11	89	0.01444483531	0.0009571838074	4.420112558	95.57988744	11.09510229	88.90489771					0	0	-1812.676277	0.0009571838074	-129785.603000227	
1812.596277	11	89	0.0154035291	0.0009565677827	4.422843701	95.5771563	11.10149086	88.89850914					0	0	-1812.596277	0.0009565677827	-129944.756168062	
1812.516277	11	89	0.01636068328	0.000955952514	4.425574751	95.57442525	11.10787883	88.89212117					0	0	-1812.516277	0.000955952514	-130104.033923852	
1812.436277	11	89	0.01731630125	0.0009553379967	4.428305707	95.57169429	11.11426618	88.88573382					0	0	-1812.436277	0.0009553379967	-130263.194708632	
1812.356277	11	89	0.01827038643	0.0009547242306	4.431036569	95.56896343	11.12065292	88.87934708					0	0	-1812.356277	0.0009547242306	-130422.777461026	
1812.276277	11	89	0.01922294222	0.0009541112162	4.433767338	95.56623266	11.12703905	88.87296095					0	0	-1812.276277	0.0009541112162	-130582.505714739	
1812.196277	11	89	0.02017397201	0.0009534989507	4.436498013	95.56350199	11.13342456	88.86657544					0	0	-1812.196277	0.0009534989507	-130742.434375674	
1812.116277	11	89	0.02112347917	0.0009528874351	4.439228594	95.56077141	11.13980946	88.86019054					0	0	-1812.116277	0.0009528874351	-130902.110584411	
1812.036277	11	89	0.02207146709	0.0009522766624	4.441959081	95.55804092	11.14619374	88.85380626					0	0	-1812.036277	0.0009522766624	-131061.610578752	
1811.956277	11	89	0.02301793912	0.0009516666343	4.444689474	95.55531053	11.15257742	88.84742258					0	0	-1811.956277	0.0009516666343	-131221.822494143	
1811.876277	11	89	0.02396289861	0.0009510573521	4.447419773	95.55258023	11.15896048	88.84103952					0	0	-1811.876277	0.0009510573521	-131382.31774826	
1811.796277	11	89	0.02490634891	0.0009504488135	4.450149977	95.54985002	11.16534292	88.83465708					0	0	-1811.796277	0.0009504488135	-131542.231603415	
1811.716277	11	89	0.02584829334	0.0009498410118	4.452880087	95.54711991	11.17172476	88.82827524					0	0	-1811.716277	0.0009498410118	-131702.006250014	
1811.636277	11	89	0.02678873523	0.0009492339488	4.455610103	95.5443899	11.17810598	88.82189402					0	0	-1811.636277	0.0009492339488	-131862.745924307	
1811.556277	11	89	0.0277276779	0.000948627628	4.458340024	95.54165998	11.18448659	88.81551341					0	0	-1811.556277	0.000948627628	-132023.133993759	
1811.476277	11	89	0.02866512465	0.0009480220391	4.46106985	95.53893015	11.19086658	88.80913342					0	0	-1811.476277	0.0009480220391	-132183.556926023	
1811.396277	11	89	0.02960107877	0.0009474171891	4.463799582	95.53620042	11.19724597	88.80275403					0	0	-1811.396277	0.0009474171891	-132344.542047877	
1811.316277	11	89	0.03053554355	0.0009468130726	4.466529219	95.53347078	11.20362474	88.79637526					0	0	-1811.316277	0.0009468130726	-132505.185637714	
1811.236277	11	89	0.03146852227	0.0009462096883	4.469258761	95.53074124	11.21000289	88.78999711					0	0	-1811.236277	0.0009462096883	-132665.735201978	
1811.156277	11	89	0.03240001819	0.0009456070331	4.471988208	95.52801179	11.21638044	88.78361956					0	0	-1811.156277	0.0009456070331	-132826.344347614	
1811.076277	11	89	0.03333003457	0.0009450051071	4.47471756	95.52528244	11.22275737	88.77724263					0	0	-1811.076277	0.0009450051071	-132987.863569014	
1810.996277	11	89	0.03425857467	0.0009444039149	4.477446817	95.52255318	11.22913369	88.77086631					0	0	-1810.996277	0.0009444039149	-133149.007209731	
1810.916277	11	89	0.03518564172	0.000943803445	4.480175979	95.51982402	11.2355094	88.7644906					0	0	-1810.916277	0.000943803445	-133309.935648572	
1810.836277	11	89	0.03611123895	0.0009432037034	4.482905045	95.51709496	11.24188449	88.75811551					0	0	-1810.836277	0.0009432037034	-133471.250336171	
1810.756277	11	89	0.03703536958	0.0009426046841	4.485634016	95.51436598	11.24825897	88.75174103					0	0	-1810.756277	0.0009426046841	-133632.668250069	
1810.676277	11	89	0.03795803684	0.0009420063905	4.488362891	95.51163711	11.25463284	88.74536716					0	0	-1810.676277	0.0009420063905	-133793.948123622	
1810.596277	11	89	0.03887924391	0.0009414088145	4.49109167	95.50890833	11.2610061	88.7389939					0	0	-1810.596277	0.0009414088145	-133955.194943212	
1810.516277	11	89	0.039798994	0.0009408119604	4.493820354	95.50617965	11.26737874	88.73262126					0	0	-1810.516277	0.0009408119604	-134117.482186174	
