T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1762.271517	15	85	0	0	6.119014462	93.88098554	15	85					-0.0007509456768	0.0007509456769	-1762.271517	0	58.8462845258182	
1762.261517	15	85	8.655425958E-05	8.462436373E-05	6.119346578	93.88065342	15.00075095	84.99924905					0	0	-1762.261517	8.462436373E-05	177.492272344083	
1762.241517	15	85	0.0002594959505	0.0001691124592	6.120010804	93.8799892	15.00225285	84.99774715					0	0	-1762.241517	0.0001691124592	236.689264117987	
1762.201517	15	85	0.0006052474914	0.0003381539556	6.121339233	93.87866077	15.00525657	84.99474343					0	0	-1762.201517	0.0003381539556	236.697134849467	
1762.121517	15	85	0.001296197021	0.0006759422845	6.123995984	93.87600402	15.01126358	84.98873642					0	0	-1762.121517	0.0006759422845	-235695.211017688	
1762.041517	15	85	0.001986270449	0.000675602521	6.126652566	93.87334743	15.0172701	84.9827299					0	0	-1762.041517	0.000675602521	-242190.057272832	
1761.961517	15	85	0.002675544564	0.0006752806764	6.129309009	93.87069099	15.02327602	84.97672398					0	0	-1761.961517	0.0006752806764	-248710.872890581	
1761.881517	15	85	0.003364020736	0.0006749592033	6.131965314	93.86803469	15.02928135	84.97071865					0	0	-1761.881517	0.0006749592033	-248963.318968484	
1761.801517	15	85	0.004051700238	0.0006746380112	6.134621479	93.86537852	15.03528608	84.96471392					0	0	-1761.801517	0.0006746380112	-249178.658289671	
1761.721517	15	85	0.004738584339	0.0006743170935	6.137277506	93.86272249	15.0412902	84.9587098					0	0	-1761.721517	0.0006743170935	-249393.717320953	
1761.641517	15	85	0.005424674307	0.0006739964551	6.139933394	93.86006661	15.04729373	84.95270627					0	0	-1761.641517	0.0006739964551	-249610.233522625	
1761.561517	15	85	0.006109971407	0.0006736760939	6.142589144	93.85741086	15.05329666	84.94670334					0	0	-1761.561517	0.0006736760939	-249825.018761648	
1761.481517	15	85	0.006794476899	0.0006733560066	6.145244754	93.85475525	15.05929899	84.94070101					0	0	-1761.481517	0.0006733560066	-250041.196119629	
1761.401517	15	85	0.007478192046	0.0006730361991	6.147900225	93.85209977	15.06530073	84.93469927					0	0	-1761.401517	0.0006730361991	-250257.935982428	
1761.321517	15	85	0.008161118104	0.000672716666	6.150555558	93.84944444	15.07130186	84.92869814					0	0	-1761.321517	0.000672716666	-250473.448819901	
1761.241517	15	85	0.008843256328	0.0006723974086	6.153210751	93.84678925	15.0773024	84.9226976					0	0	-1761.241517	0.0006723974086	-250689.410093056	
1761.161517	15	85	0.00952460797	0.0006720784258	6.155865805	93.8441342	15.08330234	84.91669766					0	0	-1761.161517	0.0006720784258	-250905.114967893	
1761.081517	15	85	0.01020517428	0.0006717597171	6.15852072	93.84147928	15.08930167	84.91069833					0	0	-1761.081517	0.0006717597171	-251121.665828718	
1761.001517	15	85	0.0108849565	0.0006714412842	6.161175495	93.8388245	15.09530041	84.90469959					0	0	-1761.001517	0.0006714412842	-251338.746696017	
1760.921517	15	85	0.01156395588	0.0006711231258	6.163830132	93.83616987	15.10129856	84.89870144					0	0	-1760.921517	0.0006711231258	-251555.135276809	
1760.841517	15	85	0.01224217366	0.0006708052405	6.166484629	93.83351537	15.1072961	84.8927039					0	0	-1760.841517	0.0006708052405	-251771.144646943	
1760.761517	15	85	0.01291961109	0.0006704876278	6.169138986	93.83086101	15.11329304	84.88670696					0	0	-1760.761517	0.0006704876278	-251988.003045065	
1760.681517	15	85	0.01359626939	0.0006701702894	6.171793205	93.8282068	15.11928939	84.88071061					0	0	-1760.681517	0.0006701702894	-252204.038336829	
1760.601517	15	85	0.01427214979	0.0006698532206	6.174447283	93.82555272	15.12528514	84.87471486					0	0	-1760.601517	0.0006698532206	-252420.769923477	
1760.521517	15	85	0.01494725355	0.0006695364269	6.177101222	93.82289878	15.13128029	84.86871971					0	0	-1760.521517	0.0006695364269	-252638.86577526	
1760.441517	15	85	0.01562158187	0.0006692199053	6.179755022	93.82024498	15.13727484	84.86272516					0	0	-1760.441517	0.0006692199053	-252855.661745193	
1760.361517	15	85	0.016295136	0.0006689036546	6.182408682	93.81759132	15.14326879	84.85673121					0	0	-1760.361517	0.0006689036546	-253071.989720006	
1760.281517	15	85	0.01696791715	0.0006685876739	6.185062202	93.8149378	15.14926214	84.85073786					0	0	-1760.281517	0.0006685876739	-253289.452557187	
