T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1779.325967	12	1	87	0.01776100405	0.0007317830057	4.943518707	0.3560007054	94.70048059	12.12565322	1.011464721	86.86288206							0	0	0	-1779.325967	0.0007317830057	-207637.282379906	
1779.245967	12	1	87	0.01849323231	0.0007313979086	4.945851563	0.3562000399	94.6979484	12.13090835	1.011944331	86.85714731							0	0	0	-1779.245967	0.0007313979086	-207840.540506479	
1779.165967	12	1	87	0.01922453567	0.0007310131844	4.948184265	0.3563993914	94.69541634	12.13616286	1.012423894	86.85141324							0	0	0	-1779.165967	0.0007310131844	-208042.551857756	
1779.085967	12	1	87	0.01995491575	0.0007306288348	4.950516812	0.35659876	94.69288443	12.14141674	1.012903409	86.84567985							0	0	0	-1779.085967	0.0007306288348	-208245.470465498	
1779.005967	12	1	87	0.02068437417	0.00073024486	4.952849204	0.3567981456	94.69035265	12.14666999	1.013382876	86.83994713							0	0	0	-1779.005967	0.00073024486	-208448.785090313	
1778.925967	12	1	87	0.02141291255	0.0007298612598	4.955181441	0.3569975483	94.68782101	12.15192261	1.013862296	86.83421509							0	0	0	-1778.925967	0.0007298612598	-208651.461333205	
1778.845967	12	1	87	0.0221405325	0.0007294780306	4.957513524	0.357196968	94.68528951	12.15717461	1.014341669	86.82848373							0	0	0	-1778.845967	0.0007294780306	-208853.579857931	
1778.765967	12	1	87	0.02286723561	0.0007290951725	4.959845451	0.3573964047	94.68275814	12.16242597	1.014820994	86.82275303							0	0	0	-1778.765967	0.0007290951725	-209057.814480365	
1778.685967	12	1	87	0.02359302351	0.0007287126917	4.962177224	0.3575958585	94.68022692	12.16767671	1.015300271	86.81702302							0	0	0	-1778.685967	0.0007287126917	-209261.45510023	
1778.605967	12	1	87	0.02431789778	0.0007283305784	4.964508841	0.3577953293	94.67769583	12.17292682	1.015779501	86.81129368							0	0	0	-1778.605967	0.0007283305784	-209464.156979805	
1778.525967	12	1	87	0.02504186003	0.0007279488375	4.966840304	0.3579948172	94.67516488	12.1781763	1.016258683	86.80556501							0	0	0	-1778.525967	0.0007279488375	-209667.989988396	
1778.445967	12	1	87	0.02576491185	0.0007275674668	4.969171612	0.3581943221	94.67263407	12.18342516	1.016737818	86.79983702							0	0	0	-1778.445967	0.0007275674668	-209870.953663367	
1778.365967	12	1	87	0.02648705483	0.0007271864639	4.971502764	0.3583938441	94.67010339	12.18867339	1.017216905	86.79410971							0	0	0	-1778.365967	0.0007271864639	-210074.644859014	
