T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1844.684168	3	4	93	0	0	1.213460694	1.339719223	97.44682008	3	4	93				-0.0002583961428	-0.0003847736598	0.0006431698025	-1844.684168	0	34.4895750644248	
1844.674168	3	4	93	0.00014585407	0.0001446485831	1.213576694	1.339865242	97.44655806	3.000258305	4.000384608	92.99935709				0	0	0	-1844.674168	0.0001446485831	103.776556351154	
1844.654168	3	4	93	0.0004373821466	0.0002891684988	1.213808687	1.3401573	97.44603401	3.00077497	4.001153984	92.99807105				0	0	0	-1844.654168	0.0002891684988	138.367851081712	
1844.614168	3	4	93	0.001020274516	0.0005783423962	1.214272644	1.340741444	97.44498591	3.001808617	4.002693266	92.99549812				0	0	0	-1844.614168	0.0005783423962	138.426143329603	
1844.534168	3	4	93	0.002184209672	0.001155427033	1.215200766	1.34190991	97.44288932	3.003875132	4.005770879	92.99035399				0	0	0	-1844.534168	0.001155427033	-72734.3078617441	
1844.454168	3	4	93	0.003345590516	0.001154325031	1.216128659	1.343078387	97.44079295	3.005941157	4.008848043	92.9852108				0	0	0	-1844.454168	0.001154325031	-76546.1850980129	
1844.374168	3	4	93	0.004504622787	0.001153326602	1.217056462	1.344246939	97.4386966	3.008006707	4.011924746	92.98006855				0	0	0	-1844.374168	0.001153326602	-80208.9148293903	
1844.294168	3	4	93	0.005661313579	0.001152330236	1.217984177	1.345415564	97.43660026	3.010071783	4.015000989	92.97492723				0	0	0	-1844.294168	0.001152330236	-80359.5619625043	
1844.214168	3	4	93	0.006815669594	0.001151335548	1.218911803	1.346584264	97.43450393	3.012136386	4.018076772	92.96978684				0	0	0	-1844.214168	0.001151335548	-80494.5088640204	
1844.134168	3	4	93	0.007967697492	0.00115034252	1.21983934	1.347753037	97.43240762	3.014200516	4.021152096	92.96464739				0	0	0	-1844.134168	0.00115034252	-80629.3439049213	
1844.054168	3	4	93	0.009117403921	0.001149351156	1.220766788	1.348921885	97.43031133	3.016264172	4.02422696	92.95950887				0	0	0	-1844.054168	0.001149351156	-80764.5076172078	
1843.974168	3	4	93	0.0102647955	0.001148361449	1.221694147	1.350090807	97.42821505	3.018327356	4.027301364	92.95437128				0	0	0	-1843.974168	0.001148361449	-80899.5936294029	
1843.894168	3	4	93	0.01140987882	0.001147373393	1.222621418	1.351259804	97.42611878	3.020390067	4.030375309	92.94923462				0	0	0	-1843.894168	0.001147373393	-81035.0103959088	
1843.814168	3	4	93	0.01255266046	0.001146386991	1.2235486	1.352428874	97.42402253	3.022452307	4.033448794	92.9440989				0	0	0	-1843.814168	0.001146386991	-81170.467272399	
1843.734168	3	4	93	0.01369314696	0.00114540223	1.224475693	1.353598019	97.42192629	3.024514074	4.03652182	92.93896411				0	0	0	-1843.734168	0.00114540223	-81305.8838912747	
1843.654168	3	4	93	0.01483134484	0.001144419111	1.225402698	1.354767238	97.41983006	3.02657537	4.039594387	92.93383024				0	0	0	-1843.654168	0.001144419111	-81441.7944133042	
1843.574168	3	4	93	0.01596726061	0.001143437634	1.226329614	1.355936531	97.41773386	3.028636195	4.042666494	92.92869731				0	0	0	-1843.574168	0.001143437634	-81577.5758212371	
1843.494168	3	4	93	0.01710090074	0.001142457785	1.227256441	1.357105898	97.41563766	3.030696549	4.045738142	92.92356531				0	0	0	-1843.494168	0.001142457785	-81713.3540505558	
1843.414168	3	4	93	0.01823227168	0.001141479567	1.22818318	1.35827534	97.41354148	3.032756432	4.048809331	92.91843424				0	0	0	-1843.414168	0.001141479567	-81849.5421674747	
1843.334168	3	4	93	0.01936137986	0.001140502976	1.22910983	1.359444856	97.41144531	3.034815844	4.05188006	92.9133041				0	0	0	-1843.334168	0.001140502976	-81985.4695670073	
1843.254168	3	4	93	0.02048823168	0.001139527999	1.230036391	1.360614446	97.40934916	3.036874787	4.05495033	92.90817488				0	0	0	-1843.254168	0.001139527999	-82121.7259548839	
