T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI							
1838.507018	9	91	0	0	3.533926129	96.46607387	9	91	-0.0008236317404	0.0008236317404	-1838.507018	0	65.4199058151233	-1838.507018	0	33.0825331868412	
1838.497018	9	91	0.0001528228829	0.0001507417021	3.534270665	96.46572933	9.000823635	90.99917637	0	0	-1838.497018	0.0001528228829	65.4505477482272	-1838.497018	0.0001507417021	99.5947533328114	
1838.477018	9	91	0.0004582542085	0.0003013258506	3.534959727	96.46504027	9.002470915	90.99752908	0	0	-1838.477018	0.0004582542085	65.4956518284703	-1838.477018	0.0003013258506	132.824773190502	
1838.437018	9	91	0.001068711961	0.0006024351964	3.53633784	96.46366216	9.005765375	90.99423462	0	0	-1838.437018	0.001068711961	65.5543820384904	-1838.437018	0.0006024351964	132.900267835378	
1838.357018	9	91	0.002287966454	0.001203864629	3.539094017	96.46090598	9.012353869	90.98764613	0	0	-1838.357018	0.002287966454	65.6721533507718	-1838.357018	0.001203864629	133.107603891898	
1838.197018	9	91	0.004720005396	0.002404258675	3.544606174	96.45539383	9.025529147	90.97447085	0	0	-1838.197018	0.004720005396	65.9054978255391	-1838.197018	0.002404258675	133.48256952462	
1837.877018	9	91	0.009558343381	0.004794692503	3.555629694	96.44437031	9.051872876	90.94812712	0	0	-1837.877018	0.009558343381	66.3765015185308	-1837.877018	0.004794692503	134.263093012415	
1837.237018	9	91	0.01913235593	0.009533730067	3.577673885	96.42232612	9.104528578	90.89547142	0	0	-1837.237018	0.01913235593	67.3654374688835	-1837.237018	0.009533730067	135.968914511296	
1835.957018	9	91	0.03785185837	0.01882435449	3.621749876	96.37825012	9.209718996	90.790281	0	0	-1835.957018	0.03785185837	69.4105203403741	-1835.957018	0.01882435449	139.463345289097	
1833.397018	9	91	0.07371188187	0.03676080281	3.709852423	96.29014758	9.419618146	90.58038185	0	0	-1833.397018	0.07371188187	73.7296103277712	-1833.397018	0.03676080281	-3093.23854010813	
1830.837018	9	91	0.1074269195	0.03588884636	3.79788944	96.20211056	9.628884237	90.37111576	0	0	-1830.837018	0.1074269195	78.3635479769386	-1830.837018	0.03588884636	-2999.47511472838	
1828.277018	9	91	0.1391674042	0.03505236488	3.885849761	96.11415024	9.83750223	90.16249777	0	0	-1828.277018	0.1391674042	83.1745102541362	-1828.277018	0.03505236488	-3135.24065845393	
1825.717018	9	91	0.1690911912	0.03425401961	3.973733854	96.02626615	10.04548262	89.95451738	0	0	-1825.717018	0.1690911912	88.16139765261	-1825.717018	0.03425401961	-3280.13757496349	
1823.157018	9	91	0.1973391804	0.03348995148	4.061538395	95.93846161	10.25282726	89.74717274	0	0	-1823.157018	0.1973391804	93.3281996160249	-1823.157018	0.03348995148	-3425.46231011149	
1820.597018	9	91	0.2240385715	0.03275795631	4.149260091	95.85073991	10.4595378	89.5404622	0	0	-1820.597018	0.2240385715	98.6773797125613	-1820.597018	0.03275795631	-3573.76739850503	
1818.037018	9	91	0.2493044663	0.03205602924	4.236895723	95.76310428	10.66561586	89.33438414	0	0	-1818.037018	0.2493044663	104.211372601474	-1818.037018	0.03205602924	-3725.06781860529	
1815.477018	9	91	0.2732412408	0.03138232696	4.324442141	95.67555786	10.87106292	89.12893708	0	0	-1815.477018	0.2732412408	109.932604051077	-1815.477018	0.03138232696	-3879.34574533329	
1812.917018	9	91	0.2959437391	0.03073515384	4.411896262	95.58810374	11.07588043	88.92411957	0	0	-1812.917018	0.2959437391	115.843488336349	-1812.917018	0.03073515384	-4036.58866669843	
1810.357018	9	91	0.3174983137	0.03011294747	4.499255069	95.50074493	11.28006973	88.71993027	0	0	-1810.357018	0.3174983137	121.94642906941	-1810.357018	0.03011294747	-4196.78412663796	
1807.797018	9	91	0.3379837343	0.02951426586	4.586515611	95.41348439	11.48363209	88.51636791	0	0	-1807.797018	0.3379837343	128.243818583445	-1807.797018	0.02951426586	-4359.91967136876	
1805.237018	9	91	0.3574719845	0.02893777607	4.673675006	95.32632499	11.68656871	88.31343129	0	0	-1805.237018	0.3574719845	134.738039796422	-1805.237018	0.02893777607	-4525.98270555876	
1802.677018	9	91	0.3760289608	0.02838224408	4.760730435	95.23926957	11.88888072	88.11111928	0	0	-1802.677018	0.3760289608	141.431466206592	-1802.677018	0.02838224408	-4694.96086708239	
1800.117018	9	91	0.393715089	0.02784652587	4.847679146	95.15232085	12.0905692	87.9094308	0	0	-1800.117018	0.393715089	148.326462040889	-1800.117018	0.02784652587	-4866.84178266013	
1797.557018	9	91	0.4105858677	0.0273295593	4.934518453	95.06548155	12.29163515	87.70836485	0	0	-1797.557018	0.4105858677	155.425383663053	-1797.557018	0.0273295593	-5041.61302233827	
1794.997018	9	91	0.4266923495	0.02683035697	5.021245734	94.97875427	12.49207951	87.50792049	0	0	-1794.997018	0.4266923495	162.730578382503	-1794.997018	0.02683035697	-5219.2624301094	
1792.437018	9	91	0.4420815678	0.02634799977	5.107858431	94.89214157	12.69190317	87.30809683	0	0	-1792.437018	0.4420815678	170.244385353125	-1792.437018	0.02634799977	-5399.7778395213	
1789.877018	9	91	0.4567969159	0.02588163107	5.194354052	94.80564595	12.89110697	87.10889303	0	0	-1789.877018	0.4567969159	177.96913705163	-1789.877018	0.02588163107	-5583.14735633392	
1787.317018	9	91	0.4708784846	0.02543045155	5.280730166	94.71926983	13.08969169	86.91030831	0	0	-1787.317018	0.4708784846	185.907159703216	-1787.317018	0.02543045155	-5769.35901861179	
1784.757018	9	91	0.4843633635	0.02499371443	5.366984407	94.63301559	13.28765808	86.71234192	0	0	-1784.757018	0.4843633635	194.060770341162	-1784.757018	0.02499371443	-5958.40115809116	
1782.197018	9	91	0.4972859108	0.02457072131	5.453114473	94.54688553	13.48500682	86.51499318	0	0	-1782.197018	0.4972859108	202.432280058552	-1782.197018	0.02457072131	-6150.26248273407	
1779.637018	9	91	0.5096779942	0.02416081828	5.539118122	94.46088188	13.68173857	86.31826143	0	0	-1779.637018	0.5096779942	211.023995881806	-1779.637018	0.02416081828	-6344.9316723379	
1777.077018	9	91	0.5215692076	0.02376339245	5.624993175	94.37500682	13.87785394	86.12214606	0	0	-1777.077018	0.5215692076	219.838215362115	-1777.077018	0.02376339245	-6542.39759326923	
1774.517018	9	91	0.5329870661	0.02337786878	5.710737516	94.28926248	14.0733535	85.9266465	0	0	-1774.517018	0.5329870661	228.877232721086	-1774.517018	0.02337786878	-6742.64962870941	
1771.957018	9	91	0.5439571808	0.02300370725	5.796349088	94.20365091	14.26823778	85.73176222	0	0	-1771.957018	0.5439571808	238.143334517741	-1771.957018	0.02300370725	-6945.67708147	
1769.397018	9	91	0.5545034176	0.02264040017	5.881825896	94.1181741	14.46250729	85.53749271	0	0	-1769.397018	0.5545034176	247.638801819188	-1769.397018	0.02264040017	-7151.46987795527	
1766.837018	9	91	0.5646480395	0.0222874699	5.967166004	94.032834	14.65616251	85.34383749	0	0	-1766.837018	0.5646480395	257.365912559275	-1766.837018	0.0222874699	-7360.01838045938	
1764.277018	9	91	0.5744118362	0.02194446659	6.052367536	93.94763246	14.84920387	85.15079613	0	0	-1764.277018	0.5744118362	267.326936719645	-1764.277018	0.02194446659	-7571.31257091681	
1761.717018	9	91	0.5838142412	0.0216109662	6.137428676	93.86257132	15.0416318	84.9583682	0	0	-1761.717018	0.5838142412	277.524141511111	-1761.717018	0.0216109662	-7785.34329342338	
1759.157018	9	91	0.592873438	0.02128656872	6.222347665	93.77765233	15.23344669	84.76655331	0	0	-1759.157018	0.592873438	287.959786560589	-1759.157018	0.02128656872	-8002.10186467963	
1756.597018	9	91	0.601606457	0.02097089647	6.307122804	93.6928772	15.42464891	84.57535109	0	0	-1756.597018	0.601606457	298.636127959354	-1756.597018	0.02097089647	-8221.57968027812	
1754.037018	9	91	0.6100292631	0.02066359257	6.39175245	93.60824755	15.61523881	84.38476119	0	0	-1754.037018	0.6100292631	309.555417400878	-1754.037018	0.02066359257	-8443.76865583484	
1751.477018	9	91	0.6181568361	0.02036431954	6.476235018	93.52376498	15.80521672	84.19478328	0	0	-1751.477018	0.6181568361	320.719897325796	-1751.477018	0.02036431954	-8668.66101054987	
1748.917018	9	91	0.6260032438	0.02007275799	6.560568978	93.43943102	15.99458296	84.00541704	0	0	-1748.917018	0.6260032438	332.131813829735	-1748.917018	0.02007275799	-8896.24953553401	
1746.357018	9	91	0.6335817084	0.01978860545	6.644752858	93.35524714	16.18333782	83.81666218	0	0	-1746.357018	0.6335817084	343.793403553457	-1746.357018	0.01978860545	-9126.52715349303	
1743.797018	9	91	0.6409046682	0.01951157523	6.728785241	93.27121476	16.37148159	83.62851841	0	0	-1743.797018	0.6409046682	355.706894127388	-1743.797018	0.01951157523	-9359.48790382706	
1741.237018	9	91	0.6479838332	0.01924139548	6.812664762	93.18733524	16.55901455	83.44098545	0	0	-1741.237018	0.6479838332	367.874513460943	-1741.237018	0.01924139548	-9595.12556652267	
1738.677018	9	91	0.6548302365	0.01897780814	6.896390115	93.10360989	16.74593695	83.25406305	0	0	-1738.677018	0.6548302365	380.298485538723	-1738.677018	0.01897780814	-9833.4344777586	
1736.117018	9	91	0.6614542813	0.01872056818	6.979960043	93.02003996	16.93224906	83.06775094	0	0	-1736.117018	0.6614542813	392.981028919177	-1736.117018	0.01872056818	-10074.4098720448	
1733.557018	9	91	0.6678657843	0.01846944272	7.063373346	92.93662665	17.11795112	82.88204888	0	0	-1733.557018	0.6678657843	405.924351029507	-1733.557018	0.01846944272	-10318.0472189279	
1730.997018	9	91	0.6740740156	0.01822421034	7.146628874	92.85337113	17.30304337	82.69695663	0	0	-1730.997018	0.6740740156	419.130663520656	-1730.997018	0.01822421034	-10564.3427380958	
1728.437018	9	91	0.680087735	0.01798466035	7.22972553	92.77027447	17.48752605	82.51247395	0	0	-1728.437018	0.680087735	432.602167164802	-1728.437018	0.01798466035	-10813.2926401023	
1725.877018	9	91	0.6859152263	0.01775059216	7.312662268	92.68733773	17.6713994	82.3286006	0	0	-1725.877018	0.6859152263	446.341059061218	-1725.877018	0.01775059216	-11064.8940252714	
1723.317018	9	91	0.691564328	0.01752181469	7.395438093	92.60456191	17.85466365	82.14533635	0	0	-1723.317018	0.691564328	460.349537041587	-1723.317018	0.01752181469	-11319.1448174156	
1720.757018	9	91	0.6970424624	0.01729814582	7.47805206	92.52194794	18.03731903	81.96268097	0	0	-1720.757018	0.6970424624	474.629784479309	-1720.757018	0.01729814582	-11576.0427497576	
1718.197018	9	91	0.7023566622	0.01707941184	7.560503275	92.43949672	18.21936578	81.78063422	0	0	-1718.197018	0.7023566622	489.183981958251	-1718.197018	0.01707941184	-11835.5866209194	
1715.637018	9	91	0.7075135951	0.01686544702	7.642790891	92.35720911	18.40080413	81.59919587	0	0	-1715.637018	0.7075135951	504.014307767376	-1715.637018	0.01686544702	-12097.7759811287	
1713.077018	9	91	0.7125195866	0.01665609312	7.724914111	92.27508589	18.58163434	81.41836566	0	0	-1713.077018	0.7125195866	519.122934246418	-1713.077018	0.01665609312	-12362.6104144254	
1710.517018	9	91	0.7173806412	0.01645119899	7.806872184	92.19312782	18.76185663	81.23814337	0	0	-1710.517018	0.7173806412	534.512028343034	-1710.517018	0.01645119899	-12630.0906354653	
1707.957018	9	91	0.722102462	0.01625062018	7.888664407	92.11133559	18.94147126	81.05852874	0	0	-1707.957018	0.722102462	550.183742970062	-1707.957018	0.01625062018	-12900.2172091666	
1705.397018	9	91	0.7266904691	0.01605421855	7.970290126	92.02970987	19.1204785	80.8795215	0	0	-1705.397018	0.7266904691	566.14023645553	-1705.397018	0.01605421855	-13172.9922625692	
1702.837018	9	91	0.7311498162	0.01586186198	8.051748729	91.94825127	19.2988786	80.7011214	0	0	-1702.837018	0.7311498162	582.383660079699	-1702.837018	0.01586186198	-13448.4178052242	
1700.277018	9	91	0.7354854067	0.01567342398	8.133039653	91.86696035	19.47667183	80.52332817	0	0	-1700.277018	0.7354854067	598.916157507733	-1700.277018	0.01567342398	-13726.4962510444	
1697.717018	9	91	0.7397019081	0.01548878345	8.214162378	91.78583762	19.65385849	80.34614151	0	0	-1697.717018	0.7397019081	615.739851709016	-1697.717018	0.01548878345	-14007.2312107014	
1695.157018	9	91	0.7438037661	0.01530782436	8.295116427	91.70488357	19.83043887	80.16956113	0	0	-1695.157018	0.7438037661	632.856877472257	-1695.157018	0.01530782436	-14290.6272761842	
1692.597018	9	91	0.7477952167	0.01513043553	8.37590137	91.62409863	20.00641328	79.99358672	0	0	-1692.597018	0.7477952167	650.269361393087	-1692.597018	0.01513043553	-14576.6887998274	
1690.037018	9	91	0.7516802987	0.01495651032	8.456516817	91.54348318	20.18178202	79.81821798	0	0	-1690.037018	0.7516802987	667.979410761676	-1690.037018	0.01495651032	-14865.4204769862	
1687.477018	9	91	0.7554628644	0.01478594645	8.536962423	91.46303758	20.35654544	79.64345456	0	0	-1687.477018	0.7554628644	685.989146435931	-1687.477018	0.01478594645	-15156.8283366734	
1684.917018	9	91	0.7591465901	0.01461864575	8.617237882	91.38276212	20.53070388	79.46929612	0	0	-1684.917018	0.7591465901	704.300652500873	-1684.917018	0.01461864575	-15450.9198641147	
1682.357018	9	91	0.762734986	0.014454514	8.697342932	91.30265707	20.7042577	79.2957423	0	0	-1682.357018	0.762734986	722.916022378936	-1682.357018	0.014454514	-15747.7016028452	
1679.797018	9	91	0.7662314049	0.01429346066	8.777277349	91.22272265	20.87720728	79.12279272	0	0	-1679.797018	0.7662314049	741.837345537098	-1679.797018	0.01429346066	-16047.18069692	
1677.237018	9	91	0.769639051	0.01413539876	8.857040951	91.14295905	21.04955301	78.95044699	0	0	-1677.237018	0.769639051	761.066714482941	-1677.237018	0.01413539876	-16349.3663754127	
