T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI				
918.7508328	100	1	1	100			-918.7508328	1	NaN	
918.5908328	100	1	1	100			-918.5908328	1	NaN	
918.4308328	100	1	1	100			-918.4308328	1	NaN	
918.2708328	100	1	1	100			-918.2708328	1	NaN	
918.1108328	100	1	1	100			-918.1108328	1	NaN	
917.9508328	100	1	1	100			-917.9508328	1	NaN	
917.7908328	100	1	1	100			-917.7908328	1	NaN	
917.6308328	100	1	1	100			-917.6308328	1	NaN	
917.4708328	100	1	1	100			-917.4708328	1	NaN	
917.3108328	100	1	1	100			-917.3108328	1	NaN	
917.1508328	100	1	1	100			-917.1508328	1	NaN	
916.9908328	100	1	1	100			-916.9908328	1	NaN	
916.8308328	100	1	1	100			-916.8308328	1	NaN	
916.6708328	100	1	1	100			-916.6708328	1	NaN	
916.5108328	100	1	1	100			-916.5108328	1	NaN	
916.3508328	100	1	1	100			-916.3508328	1	NaN	
916.1908328	100	1	1	100			-916.1908328	1	NaN	
916.0308328	100	1	1	100			-916.0308328	1	NaN	
915.8708328	100	1	1	100			-915.8708328	1	NaN	
915.7108328	100	1	1	100			-915.7108328	1	NaN	
915.5508328	100	1	1	100			-915.5508328	1	NaN	
915.3908328	100	1	1	100			-915.3908328	1	NaN	
915.2308328	100	1	1	100			-915.2308328	1	NaN	
915.0708328	100	1	1	100			-915.0708328	1	NaN	
914.9108328	100	1	1	100			-914.9108328	1	NaN	
914.7508328	100	1	1	100			-914.7508328	1	NaN	
914.5908328	100	1	1	100			-914.5908328	1	NaN	
914.4308328	100	1	1	100			-914.4308328	1	NaN	
914.2708328	100	1	1	100			-914.2708328	1	NaN	
914.1108328	100	1	1	100			-914.1108328	1	NaN	
913.9508328	100	1	1	100			-913.9508328	1	NaN	
913.7908328	100	1	1	100			-913.7908328	1	NaN	
913.6308328	100	1	1	100			-913.6308328	1	NaN	
913.4708328	100	1	1	100			-913.4708328	1	NaN	
913.3108328	100	1	1	100			-913.3108328	1	NaN	
913.1508328	100	1	1	100			-913.1508328	1	NaN	
912.9908328	100	1	1	100			-912.9908328	1	NaN	
912.8308328	100	1	1	100			-912.8308328	1	NaN	
912.6708328	100	1	1	100			-912.6708328	1	NaN	
912.5108328	100	1	1	100			-912.5108328	1	NaN	
912.3508328	100	1	1	100			-912.3508328	1	NaN	
912.1908328	100	1	1	100			-912.1908328	1	NaN	
912.0308328	100	1	1	100			-912.0308328	1	NaN	
911.8708328	100	1	1	100			-911.8708328	1	NaN	
911.7108328	100	1	1	100			-911.7108328	1	NaN	
911.5508328	100	1	1	100			-911.5508328	1	NaN	
911.3908328	100	1	1	100			-911.3908328	1	NaN	
911.2308328	100	1	1	100			-911.2308328	1	NaN	
911.0708328	100	1	1	100			-911.0708328	1	NaN	
910.9108328	100	1	1	100			-910.9108328	1	NaN	
910.7508328	100	1	1	100			-910.7508328	1	NaN	
910.5908328	100	1	1	100			-910.5908328	1	NaN	
910.4308328	100	1	1	100			-910.4308328	1	NaN	
910.2708328	100	1	1	100			-910.2708328	1	NaN	
910.1108328	100	1	1	100			-910.1108328	1	NaN	
909.9508328	100	1	1	100			-909.9508328	1	NaN	
909.7908328	100	1	1	100			-909.7908328	1	NaN	
909.6308328	100	1	1	100			-909.6308328	1	NaN	
909.4708328	100	1	1	100			-909.4708328	1	NaN	
909.3108328	100	1	1	100			-909.3108328	1	NaN	
909.1508328	100	1	1	100			-909.1508328	1	NaN	
908.9908328	100	1	1	100			-908.9908328	1	NaN	
908.8308328	100	1	1	100			-908.8308328	1	NaN	
908.6708328	100	1	1	100			-908.6708328	1	NaN	
908.5108328	100	1	1	100			-908.5108328	1	NaN	
908.3508328	100	1	1	100			-908.3508328	1	NaN	
908.1908328	100	1	1	100			-908.1908328	1	NaN	
908.0308328	100	1	1	100			-908.0308328	1	NaN	
907.8708328	100	1	1	100			-907.8708328	1	NaN	
907.7108328	100	1	1	100			-907.7108328	1	NaN	
907.5508328	100	1	1	100			-907.5508328	1	NaN	
907.3908328	100	1	1	100			-907.3908328	1	NaN	
907.2308328	100	1	1	100			-907.2308328	1	NaN	
907.0708328	100	1	1	100			-907.0708328	1	NaN	
906.9108328	100	1	1	100			-906.9108328	1	NaN	
906.7508328	100	1	1	100			-906.7508328	1	NaN	
906.5908328	100	1	1	100			-906.5908328	1	NaN	
906.4308328	100	1	1	100			-906.4308328	1	NaN	
906.2708328	100	1	1	100			-906.2708328	1	NaN	
906.1108328	100	1	1	100			-906.1108328	1	NaN	
905.9508328	100	1	1	100			-905.9508328	1	NaN	
905.7908328	100	1	1	100			-905.7908328	1	NaN	
905.6308328	100	1	1	100			-905.6308328	1	NaN	
905.4708328	100	1	1	100			-905.4708328	1	NaN	
905.3108328	100	1	1	100			-905.3108328	1	NaN	
905.1508328	100	1	1	100			-905.1508328	1	NaN	
904.9908328	100	1	1	100			-904.9908328	1	NaN	
904.8308328	100	1	1	100			-904.8308328	1	NaN	
904.6708328	100	1	1	100			-904.6708328	1	NaN	
904.5108328	100	1	1	100			-904.5108328	1	NaN	
904.3508328	100	1	1	100			-904.3508328	1	NaN	
904.1908328	100	1	1	100			-904.1908328	1	NaN	
904.0308328	100	1	1	100			-904.0308328	1	NaN	
903.8708328	100	1	1	100			-903.8708328	1	NaN	
903.7108328	100	1	1	100			-903.7108328	1	NaN	
903.5508328	100	1	1	100			-903.5508328	1	NaN	
903.3908328	100	1	1	100			-903.3908328	1	NaN	
903.2308328	100	1	1	100			-903.2308328	1	NaN	
903.0708328	100	1	1	100			-903.0708328	1	NaN	
902.9108328	100	1	1	100			-902.9108328	1	NaN	
902.7508328	100	1	1	100			-902.7508328	1	NaN	
902.5908328	100	1	1	100			-902.5908328	1	NaN	
902.4308328	100	1	1	100			-902.4308328	1	NaN	
902.2708328	100	1	1	100			-902.2708328	1	NaN	
902.1108328	100	1	1	100			-902.1108328	1	NaN	
901.9508328	100	1	1	100			-901.9508328	1	NaN	
901.7908328	100	1	1	100			-901.7908328	1	NaN	
901.6308328	100	1	1	100			-901.6308328	1	NaN	
901.4708328	100	1	1	100			-901.4708328	1	NaN	
901.3108328	100	1	1	100			-901.3108328	1	NaN	
901.1508328	100	1	1	100			-901.1508328	1	NaN	
900.9908328	100	1	1	100			-900.9908328	1	NaN	
900.8308328	100	1	1	100			-900.8308328	1	NaN	
900.6708328	100	1	1	100			-900.6708328	1	NaN	
900.5108328	100	1	1	100			-900.5108328	1	NaN	
900.3508328	100	1	1	100			-900.3508328	1	NaN	
900.1908328	100	1	1	100			-900.1908328	1	NaN	
900.0308328	100	1	1	100			-900.0308328	1	NaN	
899.8708328	100	1	1	100			-899.8708328	1	NaN	
899.7108328	100	1	1	100			-899.7108328	1	NaN	
899.5508328	100	1	1	100			-899.5508328	1	NaN	
899.3908328	100	1	1	100			-899.3908328	1	NaN	
899.2308328	100	1	1	100			-899.2308328	1	NaN	
899.0708328	100	1	1	100			-899.0708328	1	NaN	
898.9108328	100	1	1	100			-898.9108328	1	NaN	
898.7508328	100	1	1	100			-898.7508328	1	NaN	
898.5908328	100	1	1	100			-898.5908328	1	NaN	
898.4308328	100	1	1	100			-898.4308328	1	NaN	
898.2708328	100	1	1	100			-898.2708328	1	NaN	
898.1108328	100	1	1	100			-898.1108328	1	NaN	
897.9508328	100	1	1	100			-897.9508328	1	NaN	
897.7908328	100	1	1	100			-897.7908328	1	NaN	
897.6308328	100	1	1	100			-897.6308328	1	NaN	
897.4708328	100	1	1	100			-897.4708328	1	NaN	
897.3108328	100	1	1	100			-897.3108328	1	NaN	
897.1508328	100	1	1	100			-897.1508328	1	NaN	
896.9908328	100	1	1	100			-896.9908328	1	NaN	
896.8308328	100	1	1	100			-896.8308328	1	NaN	
896.6708328	100	1	1	100			-896.6708328	1	NaN	
896.5108328	100	1	1	100			-896.5108328	1	NaN	
896.3508328	100	1	1	100			-896.3508328	1	NaN	
896.1908328	100	1	1	100			-896.1908328	1	NaN	
896.0308328	100	1	1	100			-896.0308328	1	NaN	
895.8708328	100	1	1	100			-895.8708328	1	NaN	
895.7108328	100	1	1	100			-895.7108328	1	NaN	
895.5508328	100	1	1	100			-895.5508328	1	NaN	
895.3908328	100	1	1	100			-895.3908328	1	NaN	
895.2308328	100	1	1	100			-895.2308328	1	NaN	
895.0708328	100	1	1	100			-895.0708328	1	NaN	
894.9108328	100	1	1	100			-894.9108328	1	NaN	
894.7508328	100	1	1	100			-894.7508328	1	NaN	
894.5908328	100	1	1	100			-894.5908328	1	NaN	
894.4308328	100	1	1	100			-894.4308328	1	NaN	
894.2708328	100	1	1	100			-894.2708328	1	NaN	
894.1108328	100	1	1	100			-894.1108328	1	NaN	
893.9508328	100	1	1	100			-893.9508328	1	NaN	
893.7908328	100	1	1	100			-893.7908328	1	NaN	
893.6308328	100	1	1	100			-893.6308328	1	NaN	
893.4708328	100	1	1	100			-893.4708328	1	NaN	
893.3108328	100	1	1	100			-893.3108328	1	NaN	
893.1508328	100	1	1	100			-893.1508328	1	NaN	
892.9908328	100	1	1	100			-892.9908328	1	NaN	
892.8308328	100	1	1	100			-892.8308328	1	NaN	
892.6708328	100	1	1	100			-892.6708328	1	NaN	
892.5108328	100	1	1	100			-892.5108328	1	NaN	
892.3508328	100	1	1	100			-892.3508328	1	NaN	
892.1908328	100	1	1	100			-892.1908328	1	NaN	
892.0308328	100	1	1	100			-892.0308328	1	NaN	
891.8708328	100	1	1	100			-891.8708328	1	NaN	
891.7108328	100	1	1	100			-891.7108328	1	NaN	
891.5508328	100	1	1	100			-891.5508328	1	NaN	
891.3908328	100	1	1	100			-891.3908328	1	NaN	
891.2308328	100	1	1	100			-891.2308328	1	NaN	
891.0708328	100	1	1	100			-891.0708328	1	NaN	
890.9108328	100	1	1	100			-890.9108328	1	NaN	
890.7508328	100	1	1	100			-890.7508328	1	NaN	
890.5908328	100	1	1	100			-890.5908328	1	NaN	
890.4308328	100	1	1	100			-890.4308328	1	NaN	
890.2708328	100	1	1	100			-890.2708328	1	NaN	
890.1108328	100	1	1	100			-890.1108328	1	NaN	
889.9508328	100	1	1	100			-889.9508328	1	NaN	
889.7908328	100	1	1	100			-889.7908328	1	NaN	
889.6308328	100	1	1	100			-889.6308328	1	NaN	
889.4708328	100	1	1	100			-889.4708328	1	NaN	
889.3108328	100	1	1	100			-889.3108328	1	NaN	
889.1508328	100	1	1	100			-889.1508328	1	NaN	
888.9908328	100	1	1	100			-888.9908328	1	NaN	
888.8308328	100	1	1	100			-888.8308328	1	NaN	
888.6708328	100	1	1	100			-888.6708328	1	NaN	
888.5108328	100	1	1	100			-888.5108328	1	NaN	
888.3508328	100	1	1	100			-888.3508328	1	NaN	
888.1908328	100	1	1	100			-888.1908328	1	NaN	
888.0308328	100	1	1	100			-888.0308328	1	NaN	
