T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
851.1766932	95	5	0.8676173591	0.0276008479	96.38278462	3.617215382	73.39394868	26.60605132			0	0	-851.1766932	0.0276008479	-2306.96617415014	
848.6166932	95	5	0.8716739185	0.02652651027	96.23338963	3.766610373	72.771589	27.228411			0	0	-848.6166932	0.02652651027	-2468.44421374329	
846.0566932	95	5	0.8754698933	0.02552198354	96.07961918	3.920380818	72.16114203	27.83885797			0	0	-846.0566932	0.02552198354	-2638.69833672447	
843.4966932	95	5	0.8790294085	0.02458189392	95.92111173	4.078888273	71.56235774	28.43764226			0	0	-843.4966932	0.02458189392	-2818.41596021301	
840.9366932	95	5	0.8823738406	0.02370145543	95.75746407	4.24253593	70.97497672	29.02502328			0	0	-840.9366932	0.02370145543	-3008.40204230216	
838.3766932	95	5	0.8855221976	0.02287640051	95.58822439	4.411775613	70.39873181	29.60126819			0	0	-838.3766932	0.02287640051	-3209.61394195496	
835.8166932	95	5	0.8884914403	0.02210292311	95.41288367	4.58711633	69.83334933	30.16665067			0	0	-835.8166932	0.02210292311	-3423.20907242942	
833.2566932	95	5	0.8912967533	0.0213776326	95.23086518	4.769134817	69.27855028	30.72144972			0	0	-833.2566932	0.0213776326	-3650.61160532221	
830.6966932	95	5	0.8939517763	0.02069751719	95.04151135	4.958488654	68.73405118	31.26594882			0	0	-830.6966932	0.02069751719	-3893.60612011313	
828.1366932	95	5	0.896468803	0.0200599158	94.84406724	5.155932761	68.1995647	31.8004353			0	0	-828.1366932	0.0200599158	-4154.47316205926	
825.5766932	95	5	0.8988589518	0.01946249844	94.63765962	5.362340384	67.67480009	32.32519991			0	0	-825.5766932	0.01946249844	-4436.18857137361	
823.0166932	95	5	0.9011323151	0.0189032549	94.42126985	5.578730146	67.15946321	32.84053679			0	0	-823.0166932	0.0189032549	-4333.56896488506	
821.7366932	95	5	0.9022262098	0.009277268645	94.30896511	5.691034885	66.90523728	33.09476272			0	0	-821.7366932	0.009277268645	-135.493695589254	
