T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
904.4796119	93	4	3	0	0		99.27447855	0.4007674966	0.3247539537				93	4	3	0.00231373982	-0.001327234246	-0.0009865055738				0.00231373982	-0.001327234246	-0.0009865055738	-904.4796119	0			
904.4696119	93	4	3	0.0003770607993	0.0003688282707		99.27422424	0.4009066915	0.3248690671				92.99768604	4.00132736	3.000986602	0.004627618112	-0.002654552924	-0.001973065189				0	0	0	-904.4696119	0.0003688282707			
904.4496119	93	4	3	0.001130123102	0.0007368474715		99.27371551	0.4011851657	0.3250993284				92.99305852	4.003981857	3.002959618	0.006940758921	-0.003981460842	-0.002959298079				0	0	0	-904.4496119	0.0007368474715			
904.4096119	93	4	3	0.002632979275	0.001471580977		99.27269809	0.4017420183	0.3255598877				92.9838054	4.0092898	3.006904805	0.01156654809	-0.006635023755	-0.004931524333				0	0	0	-904.4096119	0.001471580977			
904.3296119	93	4	3	0.005626478579	0.002935522123		99.27066308	0.402855812	0.3264811069				92.96530178	4.019904318	3.014793897	0.02081640388	-0.01194127968	-0.008875124198				0	0	0	-904.3296119	0.002935522123			
904.1696119	93	4	3	0.01156444376	0.005840101413		99.26659239	0.4050835738	0.3283240323				92.92830899	4.041125679	3.030565326	0.03930427263	-0.02254747049	-0.01675680214				0	0	0	-904.1696119	0.005840101413			
903.8496119	93	4	3	0.0232314976	0.01154374405		99.25844844	0.4095397824	0.3320117792				92.85438181	4.08353753	3.062080661	0.07623642448	-0.04373673631	-0.03249968817				0	0	0	-903.8496119	0.01154374405			
903.2096119	93	4	3	0.04579583387	0.02258782217		99.24214989	0.4184550601	0.339395053				92.70675956	4.168238126	3.125002319	0.1499267635	-0.0860230008	-0.06390376265				0	0	0	-903.2096119	0.02258782217			
901.9296119	93	4	3	0.08806693595	0.04329775955		99.20950977	0.4362972863	0.3541929459				92.4124479	4.337144188	3.250407913	0.2966061321	-0.1702231487	-0.1263829834				0	0	0	-901.9296119	0.04329775955			
899.3696119	93	4	3	0.1627140411	0.07993772577		99.14405239	0.4720309445	0.383916667				91.82758613	4.672956695	3.499457176	0.5871369129	-0.3371194748	-0.2500174381				0	0	0	-899.3696119	0.07993772577			
896.8096119	93	4	3	0.2263111494	0.07403785268		99.07835373	0.5078265024	0.4138197629				91.24783195	5.00599062	3.746177428	0.5820093546	-0.3343300126	-0.2476793419				0	0	0	-896.8096119	0.07403785268			
894.2496119	93	4	3	0.2811038395	0.06890343847		99.01240203	0.5436898075	0.4439081605				90.67323528	5.336211498	3.990553217	0.5768316161	-0.331505908	-0.2453257081				0	0	0	-894.2496119	0.06890343847			
891.6896119	93	4	3	0.3287721714	0.06439450369		98.94618523	0.5796270764	0.474187695				90.1038371	5.663590552	4.232572351	0.5716127676	-0.3286529282	-0.2429598395				0	0	0	-891.6896119	0.06439450369			
889.1296119	93	4	3	0.3705974387	0.06040325767		98.87969094	0.6156449156	0.504664142				89.53966971	5.988104422	4.47222587	0.5663614931	-0.3257765096	-0.2405849835				0	0	0	-889.1296119	0.06040325767			
886.5696119	93	4	3	0.4075734027	0.05684541871		98.81290648	0.6517502992	0.5353432244				88.98075731	6.309734779	4.709507908	0.5610859441	-0.3228817011	-0.238204243				0	0	0	-886.5696119	0.05684541871			
884.0096119	93	4	3	0.4404823508	0.05365413671		98.74581882	0.6879505563	0.566230623				88.42711643	6.628468006	4.944415564	0.5557938298	-0.3199732345	-0.2358205953				0	0	0	-884.0096119	0.05365413671			
881.4496119	93	4	3	0.4699482827	0.05077570292		98.67841465	0.7242533605	0.5973319868				87.87875633	6.944294903	5.176948764	0.5504924194	-0.31705554	-0.2334368794				0	0	0	-881.4496119	0.05077570292			
878.8896119	93	4	3	0.4964748529	0.04816646735		98.61068034	0.7606667228	0.6286529421				87.33567949	7.257210395	5.407110118	0.5451885458	-0.314132759	-0.2310557868				0	0	0	-878.8896119	0.04816646735			
876.3296119	93	4	3	0.5204729256	0.04579058508		98.54260191	0.7971989863	0.6601991019				86.79788198	7.567213256	5.634904762	0.539888611	-0.311208755	-0.228679856				0	0	0	-876.3296119	0.04579058508			
873.7696119	93	4	3	0.542280909	0.04361834254		98.4741651	0.8338588226	0.6919760743				86.26535395	7.874305843	5.860340208	0.5345985933	-0.3082871237	-0.2263114696				0	0	0	-873.7696119	0.04361834254			
871.2096119	93	4	3	0.5621799817	0.04162489699		98.4053553	0.8706552311	0.7239894712				85.73807998	8.178493837	6.083426184	0.5293240553	-0.3053712027	-0.2239528527				0	0	0	-871.2096119	0.04162489699			
868.6496119	93	4	3	0.580405643	0.03978931472		98.33615754	0.9075975387	0.7562449169				85.21603952	8.479785997	6.304174479	0.5240701552	-0.302464081	-0.2216060743				0	0	0	-868.6496119	0.03978931472			
866.0896119	93	4	3	0.597156583	0.03809382864		98.26655654	0.9446954026	0.7887480558				84.69920729	8.778193923	6.522598789	0.5188416577	-0.2995686086	-0.2192730491				0	0	0	-866.0896119	0.03809382864			
863.5296119	93	4	3	0.6126015685	0.03652325903		98.19653663	0.9819588134	0.8215045612				84.18755361	9.073731825	6.738714568	0.5136429475	-0.2966874062	-0.2169555412				0	0	0	-863.5296119	0.03652325903			
860.9696119	93	4	3	0.6268848426	0.03506455709		98.12608176	1.019398101	0.8545201431				83.68104481	9.366416304	6.952538882	0.5084780431	-0.2938228753	-0.2146551678				0	0	0	-860.9696119	0.03506455709			
858.4096119	93	4	3	0.6401304002	0.03370644188		98.0551755	1.057023943	0.8878005562				83.17964359	9.656266147	7.164090266	0.5033506121	-0.2909772077	-0.2123734043				0	0	0	-858.4096119	0.03370644188			
855.8496119	93	4	3	0.6524454007	0.03243910925		97.98380102	1.094847369	0.9213516084				82.68330928	9.943302125	7.37338859	0.4982639862	-0.2881523959	-0.2101115903				0	0	0	-855.8496119	0.03243910925			
853.2896119	93	4	3	0.6639229159	0.03125399651		97.91194105	1.132879778	0.9551791685				82.19199827	10.22754681	7.580454928	0.4932211777	-0.2853502429	-0.2078709348				0	0	0	-853.2896119	0.03125399651			
850.7296119	93	4	3	0.6746441579	0.0301435908		97.83957788	1.171132944	0.989289175				81.70566419	10.50902438	7.785311435	0.4882248953	-0.2825723723	-0.205652523				0	0	0	-850.7296119	0.0301435908			
848.1696119	93	4	3	0.6846802984	0.02910127204		97.76669332	1.209619034	1.023687644				81.2242583	10.78776047	7.987981232	0.4832775609	-0.2798202386	-0.2034573223				0	0	0	-848.1696119	0.02910127204			
845.6096119	93	4	3	0.6940939647	0.02812118331		97.6932687	1.248350622	1.058380677				80.7477297	11.06378201	8.18848829	0.4783813252	-0.2770951363	-0.2012861889				0	0	0	-845.6096119	0.02812118331			
843.0496119	93	4	3	0.7029404764	0.02719812325		97.61928482	1.287340705	1.093374471				80.27602561	11.33711706	8.386857332	0.4735380848	-0.2743982101	-0.1991398747				0	0	0	-843.0496119	0.02719812325			
840.4896119	93	4	3	0.7112688738	0.02632745628		97.54472195	1.326602728	1.128675327				79.80909159	11.60779468	8.583113729	0.4687494972	-0.271730464	-0.1970190332				0	0	0	-840.4896119	0.02632745628			
837.9296119	93	4	3	0.719122779	0.0255050372		97.46955975	1.366150596	1.164289656				79.34687176	11.87584482	8.777283415	0.4640169966	-0.2690927706	-0.194924226				0	0	0	-837.9296119	0.0255050372			
835.3696119	93	4	3	0.7265411185	0.02472714764		97.3937773	1.405998708	1.200223992				78.88930905	12.14129815	8.969392796	0.4593417996	-0.266485874	-0.1928559256				0	0	0	-835.3696119	0.02472714764			
832.8096119	93	4	3	0.7335587341	0.02399044217		97.31735303	1.446161973	1.236485				78.43634534	12.40418599	9.159468676	0.4547249582	-0.2639104212	-0.190814537				0	0	0	-832.8096119	0.02399044217			
830.2496119	93	4	3	0.7402069017	0.02329190242		97.24026467	1.486655844	1.273079486				77.98792165	12.66454018	9.347538177	0.4501673151	-0.2613669359	-0.1888003792				0	0	0	-830.2496119	0.02329190242			
827.6896119	93	4	3	0.746513772	0.02262879789		97.16248925	1.527496347	1.310014405				77.54397833	12.92239299	9.533628681	0.4456695655	-0.2588558542	-0.1868137113				0	0	0	-827.6896119	0.02262879789			
825.1296119	93	4	3	0.7525047491	0.02199865228		97.08400301	1.568700112	1.347296874				77.10445521	13.17777703	9.717767757	0.4412322228	-0.2563775049	-0.1848547179				0	0	0	-825.1296119	0.02199865228			
822.5696119	93	4	3	0.7582028147	0.02139921445		97.00478141	1.610284409	1.384934182				76.66929171	13.43072518	9.899983114	0.4368556908	-0.2539321513	-0.1829235395				0	0	0	-822.5696119	0.02139921445			
820.0096119	93	4	3	0.7636288082	0.02082843335		96.92479901	1.652267188	1.422933802				76.23842699	13.68127047	10.08030254	0.432540232	-0.2515199725	-0.1810202595				0	0	0	-820.0096119	0.02082843335			
817.4496119	93	4	3	0.7688016683	0.02028443624		96.84402948	1.69466712	1.461303402				75.81180008	13.92944606	10.25875386	0.4282859907	-0.2491410771	-0.1791449135				0	0	0	-817.4496119	0.02028443624			
814.8896119	93	4	3	0.7737386437	0.01976550969		96.7624455	1.737503641	1.500050856				75.38934995	14.17528515	10.4353649	0.4240930028	-0.2467955086	-0.1772974942				0	0	0	-814.8896119	0.01976550969			
812.3296119	93	4	3	0.7784554755	0.01927008303		96.68001874	1.780797002	1.53918426				74.97101566	14.41882092	10.61016342	0.4199612061	-0.244483251	-0.175477955				0	0	0	-812.3296119	0.01927008303			
809.7696119	93	4	3	0.7829665578	0.01879671381		96.59671973	1.824568321	1.578711947				74.55673641	14.66008648	10.78317711	0.4158904489	-0.2422042344	-0.1736862145				0	0	0	-809.7696119	0.01879671381			
807.2096119	93	4	3	0.7872850769	0.01834407505		96.51251787	1.868839639	1.618642496				74.14645161	14.89911482	10.95443357	0.4118805084	-0.2399583448	-0.1719221637				0	0	0	-807.2096119	0.01834407505			
804.6496119	93	4	3	0.791423135	0.01791094396		96.42738126	1.913633984	1.658984752				73.74010101	15.13593878	11.12396021	0.407931063	-0.2377454081	-0.1701856549				0	0	0	-804.6496119	0.01791094396			
802.0896119	93	4	3	0.7953918582	0.01749619201		96.34127672	1.958975437	1.699747842				73.33762469	15.37059098	11.29178432	0.4040417506	-0.2355652244	-0.1684765262				0	0	0	-802.0896119	0.01749619201			
799.5296119	93	4	3	0.7992015936	0.01709921573		96.25416768	2.004890185	1.740942132				72.93895738	15.60310669	11.45793593	0.4002121409	-0.2334175509	-0.16679459				0	0	0	-799.5296119	0.01709921573			
796.9696119	93	4	3	0.8028616243	0.01671788402		96.16602194	2.051402539	1.782575519				72.54405241	15.8335113	11.62243629	0.3964355325	-0.2312984755	-0.165137057				0	0	0	-796.9696119	0.01671788402			
794.4096119	93	4	3	0.8063807438	0.01635230667		96.0767997	2.098541306	1.824658994				72.15284479	16.06184043	11.78531478	0.3927241204	-0.2292151219	-0.1635089985				0	0	0	-794.4096119	0.01635230667			
791.8496119	93	4	3	0.8097670291	0.01600137649		95.98646143	2.146335569	1.867203				71.76527661	16.28812557	11.94659782	0.3890708464	-0.2271633724	-0.161907474				0	0	0	-791.8496119	0.01600137649			
789.2896119	93	4	3	0.8130279635	0.01566432051		95.89496575	2.194815893	1.910218359				71.38129055	16.51239784	12.10631162	0.3854750893	-0.22514286	-0.1603322293				0	0	0	-789.2896119	0.01566432051			
786.7296119	93	4	3	0.8161704893	0.01534042139		95.80226926	2.244014435	1.953716303				71.00082991	16.734688	12.26448209	0.381936228	-0.2231532138	-0.1587830142				0	0	0	-786.7296119	0.01534042139			
784.1696119	93	4	3	0.8192010563	0.01502901097		95.70832643	2.29396507	1.997708497				70.62383866	16.95502641	12.42113492	0.3784536099	-0.2211940407	-0.1572595692				0	0	0	-784.1696119	0.01502901097			
781.6096119	93	4	3	0.8221256642	0.01472946656		95.61308942	2.344703516	2.042207068				70.25026144	17.17344303	12.57629552	0.3750265615	-0.2192649309	-0.1557616306				0	0	0	-781.6096119	0.01472946656			
779.0496119	93	4	3	0.8249499008	0.01444120727		95.51650788	2.396267484	2.087224641				69.88004357	17.3899674	12.72998904	0.371654392	-0.2173654599	-0.1542889321				0	0	0	-779.0496119	0.01444120727			
776.4896119	93	4	3	0.8276789771	0.01416369081		95.4185288	2.448696833	2.132774365				69.51313106	17.60462859	12.88224035	0.3683363969	-0.2154951902	-0.1528412067				0	0	0	-776.4896119	0.01416369081			
