T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
858.7184698	94	6	0.8196865515	0.03123329604		96.80045083	3.19954917			75.29889406	24.70110594	0.6741637385	-0.6741637385			0	0	-858.7184698	0.03123329604			
856.1584698	94	6	0.8258535607	0.02991511446		96.66216638	3.337833618			74.6401015	25.3598985	0.6613423385	-0.6613423385			0	0	-856.1584698	0.02991511446			
853.5984698	94	6	0.8315856875	0.02868689308		96.52038058	3.479619423			73.99388639	26.00611361	0.6487161648	-0.6487161648			0	0	-853.5984698	0.02868689308			
851.0384698	94	6	0.836926401	0.02754096077		96.37482447	3.625175534			73.36003705	26.63996295	0.6363025503	-0.6363025503			0	0	-851.0384698	0.02754096077			
848.4784698	94	6	0.8419137791	0.02647054044		96.22520185	3.774798154			72.73832679	27.26167321	0.6241165246	-0.6241165246			0	0	-848.4784698	0.02647054044			
845.9184698	94	6	0.8465813136	0.02546962452		96.07118521	3.928814786			72.12851601	27.87148399	0.6121710546	-0.6121710546			0	0	-845.9184698	0.02546962452			
843.3584698	94	6	0.8509585767	0.02453287297		95.91241092	4.087589078			71.53035412	28.46964588	0.6004771684	-0.6004771684			0	0	-843.3584698	0.02453287297			
840.7984698	94	6	0.8550717766	0.02365552946		95.74847334	4.251526657			70.94358127	29.05641873	0.5890441558	-0.5890441558			0	0	-840.7984698	0.02365552946			
838.2384698	94	6	0.8589442225	0.02283335268		95.5789178	4.421082198			70.3679299	29.6320701	0.5778797697	-0.5778797697			0	0	-838.2384698	0.02283335268			
835.6784698	94	6	0.8625967164	0.02206256011		95.40323192	4.596768079			69.80312603	30.19687397	0.5669904364	-0.5669904364			0	0	-835.6784698	0.02206256011			
833.1184698	94	6	0.8660478853	0.02133978243		95.22083496	4.779165039			69.24889038	30.75110962	0.5563814646	-0.5563814646			0	0	-833.1184698	0.02133978243			
830.5584698	94	6	0.8693144646	0.02066202741		95.03106454	4.968935457			68.70493926	31.29506074	0.5460573215	-0.5460573215			0	0	-830.5584698	0.02066202741			
827.9984698	94	6	0.8724115403	0.02002665231		94.83315994	5.16684006			68.17098516	31.82901484	0.5360218131	-0.5360218131			0	0	-827.9984698	0.02002665231			
825.4384698	94	6	0.8753527592	0.01943134457		94.62624081	5.373759189			67.64673713	32.35326287	0.526278393	-0.526278393			0	0	-825.4384698	0.01943134457			
822.8784698	94	6	0.8781505109	0.01887411115		94.40927976	5.590720235			67.13190085	32.86809915	0.5168304491	-0.5168304491			0	0	-822.8784698	0.01887411115			
820.3184698	94	6	0.8808160889	0.01835327719		94.18106647	5.818933534			66.62617835	33.37382165	0.507681645	-0.507681645			0	0	-820.3184698	0.01835327719			
817.7584698	94	6	0.8833598328	0.01786749621		93.94015988	6.059840123			66.12926733	33.87073267	0.4988363302	-0.4988363302			0	0	-817.7584698	0.01786749621			
815.1984698	94	6	0.8857912582	0.01741577489		93.68482355	6.31517645			65.64085997	34.35914003	0.4903000523	-0.4903000523			0	0	-815.1984698	0.01741577489			
812.6384698	94	6	0.8881191771	0.01699751826		93.41293606	6.587063938			65.16064107	34.83935893	0.4820802264	-0.4820802264			0	0	-812.6384698	0.01699751826			
810.0784698	94	6	0.8903518134	0.01661260441		93.12186399	6.878136011			64.68828527	35.31171473	0.4741870479	-0.4741870479			0	0	-810.0784698	0.01661260441			
807.5184698	94	6	0.8924969204	0.01626150514		92.80827655	7.191723452			64.22345301	35.77654699	0.4666347946	-0.4666347946			0	0	-807.5184698	0.01626150514			
804.9584698	94	6	0.8945619069	0.01594548077		92.46786586	7.532134141			63.76578453	36.23421547	0.4594437684	-0.4594437684			0	0	-804.9584698	0.01594548077			
802.3984698	94	6	0.8965539861	0.0156669025		92.09490732	7.905092681			63.31489081	36.68510919	0.4526433306	-0.4526433306			0	0	-802.3984698	0.0156669025			
799.8384698	94	6	0.8984803684	0.01542980681		91.68153355	8.31846645			62.87033965	37.12966035	0.4462769085	-0.4462769085			0	0	-799.8384698	0.01542980681			
797.2784698	94	6	0.9003485414	0.01524090469		91.21645798	8.783542022			62.43163288	37.56836712	0.4404107827	-0.4404107827			0	0	-797.2784698	0.01524090469			
794.7184698	94	6	0.9021667348	0.01511161793		90.6825431	9.317456902			61.99816828	38.00183172	0.4351507546	-0.4351507546			0	0	-794.7184698	0.01511161793			
792.1584698	94	6	0.903944752	0.0150622154		90.05160219	9.948397811			61.56916144	38.43083856	0.4306783989	-0.4306783989			0	0	-792.1584698	0.0150622154			
789.5984698	94	6	0.9056958836	0.01513336336		89.27142724	10.72857276			61.14349189	38.85650811	0.4273318711	-0.4273318711			0	0	-789.5984698	0.01513336336			
788.3184698	94	6	0.9065609525	0.007613143347		88.79379003	11.20620997			60.93137363	39.06862637	0.2137757181	-0.2137757181			0	0	-788.3184698	0.007613143347			
787.9984698	94	6	0.9067759212	0.001907923049		88.66141601	11.33858399			60.87836666	39.12163334	0.05466455639	-0.05466455639			0	0	-787.9984698	0.001907923049			
787.8384698	94	6	0.9068833481	0.0009557430219		88.59290569	11.40709431			60.85186174	39.14813826	0.0281625444	-0.0281625444			0	0	-787.8384698	0.0009557430219			
787.7584698	94	6	0.9069370326	0.0004781954652		88.55803231	11.44196769			60.83860853	39.16139147	0.01491089001	-0.01491089001			0	0	-787.7584698	0.0004781954652			
787.7484698	94	6	0.9069437452	5.986626015E-05		88.55364205	11.44635795			60.83695085	39.16304915	0.003314390424	-0.003314390424			0	0	-787.7484698	5.986626015E-05			
787.7284698	94	6	0.9394815157		0.3492315416			60.99317999	39.00682001	60.75009748	39.24990252			0.06540733118	-0.06540733118	0	0	-787.7284698		0.3492315416		
