T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI				
416.3508328	100	1	1	100			-416.3508328	1	NaN	
411.2308328	100	1	1	100			-411.2308328	1	NaN	
406.1108328	100	1	1	100			-406.1108328	1	NaN	
400.9908328	100	1	1	100			-400.9908328	1	NaN	
395.8708328	100	1	1	100			-395.8708328	1	NaN	
390.7508328	100	1	1	100			-390.7508328	1	NaN	
385.6308328	100	1	1	100			-385.6308328	1	NaN	
380.5108328	100	1	1	100			-380.5108328	1	NaN	
375.3908328	100	1	1	100			-375.3908328	1	NaN	
370.2708328	100	1	1	100			-370.2708328	1	NaN	
365.1508328	100	1	1	100			-365.1508328	1	NaN	
360.0308328	100	1	1	100			-360.0308328	1	NaN	
354.9108328	100	1	1	100			-354.9108328	1	NaN	
349.7908328	100	1	1	100			-349.7908328	1	NaN	
344.6708328	100	1	1	100			-344.6708328	1	NaN	
339.5508328	100	1	1	100			-339.5508328	1	NaN	
334.4308328	100	1	1	100			-334.4308328	1	NaN	
329.3108328	100	1	1	100			-329.3108328	1	NaN	
324.1908328	100	1	1	100			-324.1908328	1	NaN	
319.0708328	100	1	1	100			-319.0708328	1	NaN	
313.9508328	100	1	1	100			-313.9508328	1	NaN	
308.8308328	100	1	1	100			-308.8308328	1	NaN	
303.7108328	100	1	1	100			-303.7108328	1	NaN	
300	100	1	1	100			-300	1	NaN	
