T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
869.4154711	92	6	2	0.5926029088	0.04004567064		98.07333655	1.416506006	0.5101574432				82.87138767	12.86935628	4.259256052	0.6111376734	-0.4604194295	-0.1507182439				0	0	0	-869.4154711	0.04004567064			
866.8554711	92	6	2	0.6093320549	0.03828742447		97.99059632	1.477074552	0.5323291286				82.26946614	13.32290248	4.407631379	0.6042603025	-0.4553087377	-0.1489515648				0	0	0	-866.8554711	0.03828742447			
864.2954711	92	6	2	0.624730719	0.03665876911		97.90720955	1.538115042	0.5546754087				81.67439104	13.77135808	4.55425088	0.5973871756	-0.450198274	-0.1471889016				0	0	0	-864.2954711	0.03665876911			
861.7354711	92	6	2	0.6389475844	0.03514613987		97.8231465	1.599652913	0.5772005869				81.08615028	14.21472928	4.699120441	0.5905261982	-0.4450940509	-0.1454321472				0	0	0	-861.7354711	0.03514613987			
859.1754711	92	6	2	0.6521102667	0.03373783023		97.73837622	1.661714722	0.5999090601				80.50472429	14.65302798	4.842247735	0.5836848702	-0.4400017691	-0.1436831011				0	0	0	-859.1754711	0.03373783023			
856.6154711	92	6	2	0.6643288983	0.03242368197		97.65286646	1.724328209	0.6228053296				79.93008654	15.08627135	4.983642112	0.5768702004	-0.4349267537	-0.1419434467				0	0	0	-856.6154711	0.03242368197			
854.0554711	92	6	2	0.6756990069	0.03119483524		97.56658364	1.78752235	0.6458940138				79.36220394	15.51448157	5.1233145	0.5700887582	-0.4298739945	-0.1402147637				0	0	0	-854.0554711	0.03119483524			
851.4954711	92	6	2	0.6863038456	0.03004352569		97.4794927	1.851327436	0.6691798607				78.8010373	15.93768541	5.261277291	0.563346662	-0.4248481374	-0.1384985246				0	0	0	-851.4954711	0.03004352569			
848.9354711	92	6	2	0.6962162915	0.02896291853		97.3915571	1.91577514	0.6926677615				78.2465418	16.35591396	5.39754424	0.5566495834	-0.419853488	-0.1367960954				0	0	0	-848.9354711	0.02896291853			
846.3754711	92	6	2	0.7055004033	0.02794697198		97.30273863	1.98089861	0.7163627635				77.69866739	16.76920225	5.532130358	0.5500027556	-0.4148940181	-0.1351087376				0	0	0	-846.3754711	0.02794697198			
843.8154711	92	6	2	0.7142127077	0.02699032418		97.21299735	2.04673256	0.7402700858				77.15735923	17.17758896	5.665051809	0.5434109898	-0.4099733782	-0.1334376116				0	0	0	-843.8154711	0.02699032418			
841.2554711	92	6	2	0.7224032674	0.0260881991		97.12229149	2.113313374	0.7643951333				76.62255811	17.58111607	5.796325816	0.5368786556	-0.4050948832	-0.1317837724				0	0	0	-841.2554711	0.0260881991			
838.6954711	92	6	2	0.7301165734	0.02523632762		97.03057726	2.180679224	0.788743514				76.09420087	17.97982858	5.925970557	0.5304097509	-0.4002615641	-0.1301481868				0	0	0	-838.6954711	0.02523632762			
836.1354711	92	6	2	0.7373922932	0.02443088127		96.93780875	2.248870195	0.8133210551				75.57222073	18.37377419	6.054005084	0.5240078746	-0.3954761484	-0.1285317262				0	0	0	-836.1354711	0.02443088127			
833.5754711	92	6	2	0.7442659026	0.02366841616		96.84393775	2.317928429	0.8381338218				75.05654772	18.76300305	6.180449226	0.5176762558	-0.3907410813	-0.1269351745				0	0	0	-833.5754711	0.02366841616			
831.0154711	92	6	2	0.7507692212	0.02294582531		96.74891358	2.387898279	0.8631881366				74.547109	19.14756749	6.305323512	0.5114177839	-0.3860585482	-0.1253592357				0	0	0	-831.0154711	0.02294582531			
828.4554711	92	6	2	0.7569308677	0.02226029804		96.65268292	2.458826484	0.8884906004				74.04382918	19.52752173	6.428649089	0.5052349774	-0.3814304513	-0.1238045261				0	0	0	-828.4554711	0.02226029804			
825.8954711	92	6	2	0.7627766492	0.02160928523		96.55518953	2.530762357	0.9140481148				73.54663068	19.90292167	6.550447653	0.4991300719	-0.3768584754	-0.1222715965				0	0	0	-825.8954711	0.02160928523			
823.3354711	92	6	2	0.7683298958	0.02099046933		96.4563741	2.603757997	0.9398679062				73.05543396	20.27382466	6.670741375	0.4931049959	-0.3723440694	-0.1207609265				0	0	0	-823.3354711	0.02099046933			
820.7754711	92	6	2	0.7736117482	0.02040173863		96.35617392	2.677868527	0.9659575531				72.57015788	20.64028928	6.789552843	0.4871613992	-0.3678884673	-0.1192729319				0	0	0	-820.7754711	0.02040173863			
818.2154711	92	6	2	0.7786414067	0.01984116485		96.25452264	2.753152351	0.9923250139				72.09071989	21.00237511	6.906904998	0.4813006714	-0.3634927018	-0.1178079696				0	0	0	-818.2154711	0.01984116485			
815.6554711	92	6	2	0.7834363467	0.01930698376		96.1513499	2.829671442	1.018978659				71.6170363	21.36014262	7.022821085	0.4755239602	-0.3591576176	-0.1163663427				0	0	0	-815.6554711	0.01930698376			
813.0954711	92	6	2	0.7880125071	0.01879757824		96.04658102	2.907491672	1.045927304				71.14902249	21.7136529	7.137324601	0.4698321897	-0.3548838846	-0.1149483052				0	0	0	-813.0954711	0.01879757824			
