T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
868.7385209	90	10	0	0	98.81914513	1.180854867	90	10	0.001385369377	-0.001385369377	0.001385369377	-0.001385369377	-868.7385209	0	31.5251862356369	
868.7285209	90	10	0.0001578384115	0.0001572761309	98.81895141	1.181048586	89.99861426	10.00138574	0.002771066272	-0.002771066272	0	0	-868.7285209	0.0001572761309	95.6396917756253	
868.7085209	90	10	0.0004729087441	0.000314028098	98.81856396	1.181436042	89.99584402	10.00415598	0.004155839874	-0.004155839874	0	0	-868.7085209	0.000314028098	127.558958567268	
868.6685209	90	10	0.001102558224	0.000627761907	98.81778899	1.182211006	89.99030334	10.00969666	0.006926116586	-0.006926116586	0	0	-868.6685209	0.000627761907	127.587786752608	
868.5885209	90	10	0.002359541971	0.001253888289	98.81623886	1.183761138	89.97922408	10.02077592	0.01246433297	-0.01246433297	0	0	-868.5885209	0.001253888289	127.920451237737	
868.4285209	90	10	0.004864337619	0.002501735467	98.81313778	1.186862225	89.95707402	10.04292598	0.0235344259	-0.0235344259	0	0	-868.4285209	0.002501735467	128.532160466123	
868.1085209	90	10	0.009837538182	0.00497946798	98.80693257	1.193067429	89.91280766	10.08719234	0.0456492898	-0.0456492898	0	0	-868.1085209	0.00497946798	129.86669764614	
867.4685209	90	10	0.01962947728	0.009854684937	98.79450904	1.205490961	89.82440993	10.17559007	0.08977802832	-0.08977802832	0	0	-867.4685209	0.009854684937	132.603526004203	
866.1885209	90	10	0.03864047123	0.01932343829	98.76960983	1.230390166	89.64815033	10.35184967	0.1776341869	-0.1776341869	0	0	-866.1885209	0.01932343829	137.99277038882	
863.6285209	90	10	0.07451984405	0.03718843938	98.71960077	1.280399228	89.29775518	10.70224482	0.3517586882	-0.3517586882	0	0	-863.6285209	0.03718843938	-1966.41163849081	
861.0685209	90	10	0.1077419704	0.03576487286	98.66930678	1.330693224	88.95015082	11.04984918	0.3489571629	-0.3489571629	0	0	-861.0685209	0.03576487286	-1867.71236437158	
858.5085209	90	10	0.1385886641	0.03444003409	98.61872294	1.381277059	88.60528778	11.39471222	0.3462052232	-0.3462052232	0	0	-858.5085209	0.03444003409	-2005.22896556619	
855.9485209	90	10	0.1673045365	0.03320522337	98.56784445	1.432155553	88.26311701	11.73688299	0.3435025309	-0.3435025309	0	0	-855.9485209	0.03320522337	-2148.84822056217	
853.3885209	90	10	0.1941020097	0.03205181901	98.51666649	1.483333505	87.92358963	12.07641037	0.3408489063	-0.3408489063	0	0	-853.3885209	0.03205181901	-2297.93454009434	
850.8285209	90	10	0.2191664108	0.03097225705	98.46518432	1.534815681	87.58665709	12.41334291	0.3382440233	-0.3382440233	0	0	-850.8285209	0.03097225705	-2452.54235481439	
848.2685209	90	10	0.2426601363	0.02995987861	98.41339318	1.586606817	87.25227124	12.74772876	0.335687485	-0.335687485	0	0	-848.2685209	0.02995987861	-2614.23712289787	
845.7085209	90	10	0.264726757	0.02900979926	98.36128731	1.638712693	86.92037887	13.07962113	0.3331788309	-0.3331788309	0	0	-845.7085209	0.02900979926	-2778.92015076471	
843.1485209	90	10	0.2854913358	0.02811422043	98.30886421	1.691135792	86.59094426	13.40905574	0.3307120611	-0.3307120611	0	0	-843.1485209	0.02811422043	-2949.1430605221	
840.5885209	90	10	0.305066169	0.02727059999	98.25611807	1.743881933	86.26391476	13.73608524	0.3282980676	-0.3282980676	0	0	-840.5885209	0.02727059999	-3127.23169291968	
838.0285209	90	10	0.3235507811	0.0264742651	98.20304422	1.796955776	85.93924432	14.06075568	0.325930259	-0.325930259	0	0	-838.0285209	0.0264742651	-3310.36110959855	
835.4685209	90	10	0.3410339833	0.02572149281	98.14963803	1.850361966	85.61688754	14.38311246	0.3236079936	-0.3236079936	0	0	-835.4685209	0.02572149281	-3499.3758471055	
832.9085209	90	10	0.3575952716	0.02500894077	98.09589486	1.904105141	85.29679964	14.70320036	0.3213306281	-0.3213306281	0	0	-832.9085209	0.02500894077	-3694.34428684278	
830.3485209	90	10	0.3733060097	0.02433359697	98.04181007	1.958189931	84.97893656	15.02106344	0.3190974916	-0.3190974916	0	0	-830.3485209	0.02433359697	-3895.32991669366	
