T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
927.5798958	99	1	0	0	99.89735283	0.1026471664	99	1	0.001682621614	-0.001682621614	0.001682621614	-0.001682621614	-927.5798958	0	2.630086691845	
927.5698958	99	1	0.001872712318	0.001872050803	99.89717799	0.1028220127	98.99831738	1.001682624	0.003365190619	-0.003365190619	0	0	-927.5698958	0.001872050803	8.05338406008726	
927.5498958	99	1	0.005600101621	0.003732757969	99.89682829	0.1031717113	98.99495228	1.005047717	0.005047549379	-0.005047549379	0	0	-927.5498958	0.003732757969	10.7837452247726	
927.5098958	99	1	0.01298005294	0.007418254599	99.89612886	0.1038711352	98.98822271	1.011777294	0.008411799179	-0.008411799179	0	0	-927.5098958	0.007418254599	10.9358839750313	
927.4298958	99	1	0.02742254234	0.01462720555	99.89472993	0.1052700748	98.97476613	1.025233871	0.01513841928	-0.01513841928	0	0	-927.4298958	0.01462720555	11.2474265214263	
927.2698958	99	1	0.05514764333	0.02849655812	99.89193167	0.1080683338	98.94786286	1.052137139	0.02858427757	-0.02858427757	0	0	-927.2698958	0.02849655812	11.8593171518061	
926.9498958	99	1	0.1063618959	0.05418348141	99.88633353	0.113666467	98.89409616	1.105903837	0.05544600378	-0.05544600378	0	0	-926.9498958	0.05418348141	13.1660255779191	
926.3098958	99	1	0.1945549545	0.09865184419	99.87513087	0.1248691272	98.78672267	1.213277331	0.1090494979	-0.1090494979	0	0	-926.3098958	0.09865184419	16.0693218871866	
925.0298958	99	1	0.3293298827	0.167259624	99.85269939	0.1473006069	98.57261624	1.427383764	0.2157749995	-0.2157749995	0	0	-925.0298958	0.167259624	-94.061324807588	
923.7498958	99	1	0.4266158561	0.1449861508	99.83023253	0.1697674729	98.35937037	1.640629625	0.2149086988	-0.2149086988	0	0	-923.7498958	0.1449861508	-67.3063170816141	
922.4698958	99	1	0.4999862458	0.1278874151	99.80772906	0.1922709392	98.14698667	1.853013331	0.214039769	-0.214039769	0	0	-922.4698958	0.1278874151	-85.860412684965	
921.1898958	99	1	0.5572008063	0.114352284	99.78518815	0.2148118462	97.93546946	2.064530541	0.2131664816	-0.2131664816	0	0	-921.1898958	0.114352284	-106.714244434503	
919.9098958	99	1	0.6030065395	0.1033715348	99.76260888	0.2373911181	97.72482162	2.275178378	0.2122903055	-0.2122903055	0	0	-919.9098958	0.1033715348	-129.856580067521	
918.6298958	99	1	0.6404663956	0.09428412368	99.73999033	0.2600096675	97.51504548	2.484954522	0.2114117969	-0.2114117969	0	0	-918.6298958	0.09428412368	-155.286924455828	
917.3498958	99	1	0.6716430499	0.0866390856	99.7173316	0.2826683954	97.30614282	2.693857182	0.2105314869	-0.2105314869	0	0	-917.3498958	0.0866390856	-183.005745905419	
916.0698958	99	1	0.6979751408	0.08011819372	99.69463181	0.3053681916	97.09811493	2.90188507	0.2096498842	-0.2096498842	0	0	-916.0698958	0.08011819372	-213.013702534887	
914.7898958	99	1	0.7204958978	0.07449045749	99.67189007	0.3281099349	96.89096261	3.109037385	0.2087674755	-0.2087674755	0	0	-914.7898958	0.07449045749	-245.311748949773	
913.5098958	99	1	0.7399660627	0.06958414183	99.64910551	0.3508944932	96.68468621	3.315313787	0.2078847257	-0.2078847257	0	0	-913.5098958	0.06958414183	-279.901196684252	
912.2298958	99	1	0.756957844	0.06526890866	99.62627728	0.3737227238	96.47928563	3.520714374	0.2070020778	-0.2070020778	0	0	-912.2298958	0.06526890866	-316.783752577558	
910.9498958	99	1	0.7719097026	0.06144405061	99.60340453	0.396595474	96.27476034	3.725239665	0.2061199541	-0.2061199541	0	0	-910.9498958	0.06144405061	-355.961543734175	
