T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
916.9406904	95	4	1	0	0		99.4985864	0.3965058891	0.1049077095				95	4	1	0.0029639662	-0.00237422229	-0.0005897439103				0.0029639662	-0.00237422229	-0.0005897439103	-916.9406904	0			
916.9306904	95	4	1	0.000672857918	0.0006586336419		99.4982795	0.3967485781	0.1049719265				94.99703598	4.002374263	1.000589755	0.005927888843	-0.004748413836	-0.001179475006				0	0	0	-916.9306904	0.0006586336419			
916.9106904	95	4	1	0.002016013704	0.001315531376		99.49766569	0.3972339409	0.1051003736				94.99110834	4.007122484	1.001769178	0.008891396273	-0.007122283181	-0.001769113093				0	0	0	-916.9106904	0.001315531376			
916.8706904	95	4	1	0.004692667936	0.002625063271		99.496438	0.3982047281	0.1053572747				94.97925392	4.016618261	1.004127819	0.01481781807	-0.01186957171	-0.002948246364				0	0	0	-916.8706904	0.002625063271			
916.7906904	95	4	1	0.01000756323	0.005226196538		99.49398239	0.4001464793	0.1058711306				94.95554897	4.03560683	1.008844204	0.02666760074	-0.02136179625	-0.005305804499				0	0	0	-916.7906904	0.005226196538			
916.6306904	95	4	1	0.02047283901	0.01034589467		99.48907031	0.4040306487	0.1068990396				94.90815515	4.073571633	1.018273215	0.05035528799	-0.04033712641	-0.01001816157				0	0	0	-916.6306904	0.01034589467			
916.3106904	95	4	1	0.04079535404	0.02030164805		99.4792425	0.4118017972	0.1089556997				94.81343041	4.149452971	1.037116623	0.09768358838	-0.07825164993	-0.01943193845				0	0	0	-916.3106904	0.02030164805			
915.6706904	95	4	1	0.07916296355	0.03912606274		99.45957231	0.427355304	0.1130723902				94.62423511	4.301020322	1.074744571	0.1921487584	-0.1539335375	-0.03821522087				0	0	0	-915.6706904	0.03912606274			
914.3906904	95	4	1	0.1478817156	0.0729439522		99.4201728	0.4585077386	0.1213194628				94.24687423	4.603362433	1.149763339	0.3803040322	-0.3047004259	-0.07560360632				0	0	0	-914.3906904	0.0729439522			
911.8306904	95	4	1	0.2599862473	0.1284075623		99.34113053	0.5209994259	0.1378700427				93.49636111	5.204798021	1.298840873	0.7534332162	-0.6037761368	-0.1496570794				0	0	0	-911.8306904	0.1284075623			
909.2706904	95	4	1	0.346997627	0.1143905841		99.26175516	0.5837422964	0.1545025428				92.75167961	5.801672152	1.446648234	0.7475793057	-0.599197238	-0.1483820677				0	0	0	-909.2706904	0.1143905841			
906.7106904	95	4	1	0.4163807123	0.1030354078		99.18202941	0.6467501151	0.1712204708				92.01302396	6.393819139	1.593156904	0.7415295343	-0.594451263	-0.1470782713				0	0	0	-906.7106904	0.1030354078			
904.1506904	95	4	1	0.4729231802	0.09364703028		99.10193531	0.7100375812	0.1880271041				91.28058089	6.98108087	1.738338241	0.7352923212	-0.5895466032	-0.145745718				0	0	0	-904.1506904	0.09364703028			
901.5906904	95	4	1	0.5198327193	0.08575225196		99.02145372	0.7736206572	0.2049256192				90.55452498	7.563310193	1.882164828	0.7288798955	-0.5844942518	-0.1443856437				0	0	0	-901.5906904	0.08575225196			
