T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
922.9616433	96	4	0	0		99.60504928	0.394950717			96	4	0.003753620165	-0.003753620165			0.003753620165	-0.003753620165	-922.9616433	0			
922.9516433	96	4	0.001062438717	0.001040349839		99.60466899	0.3953310114			95.99624643	4.003753571	0.00750706124	-0.00750706124			0	0	-922.9516433	0.001040349839			
922.9316433	96	4	0.003181456116	0.002076965338		99.60390826	0.3960917442			95.98873961	4.011260388	0.01126017391	-0.01126017391			0	0	-922.9316433	0.002076965338			
922.8916433	96	4	0.007395658556	0.004139191205		99.60238675	0.3976132479			95.97372691	4.026273094	0.01876538522	-0.01876538522			0	0	-922.8916433	0.004139191205			
922.8116433	96	4	0.01572939571	0.008219513497		99.59934328	0.4006567174			95.94370704	4.056292959	0.0337713702	-0.0337713702			0	0	-922.8116433	0.008219513497			
922.6516433	96	4	0.03199624975	0.01617894716		99.59325465	0.4067453527			95.88368974	4.116310256	0.063767371	-0.063767371			0	0	-922.6516433	0.01617894716			
922.3316433	96	4	0.06307502196	0.03142136616		99.58107009	0.4189299087			95.76374086	4.236259137	0.1236952854	-0.1236952854			0	0	-922.3316433	0.03142136616			
921.6916433	96	4	0.1199726715	0.05939940934		99.55667185	0.4433281508			95.52419228	4.475807725	0.2432870836	-0.2432870836			0	0	-921.6916433	0.05939940934			
920.4116433	96	4	0.2164147049	0.1070707482		99.50775689	0.4922431129			95.04652466	4.953475343	0.4813916126	-0.4813916126			0	0	-920.4116433	0.1070707482			
917.8516433	96	4	0.3600729595	0.1787163513		99.40943336	0.5905666417			94.09712666	5.902873335	0.9530832394	-0.9530832394			0	0	-917.8516433	0.1787163513			
915.2916433	96	4	0.4609580347	0.1529030136		99.31041766	0.6895823449			93.15611529	6.843884712	0.9446713193	-0.9446713193			0	0	-915.2916433	0.1529030136			
912.7316433	96	4	0.5354844368	0.1334186707		99.21065996	0.7893400418			92.22399275	7.77600725	0.9357462529	-0.9357462529			0	0	-912.7316433	0.1334186707			
910.1716433	96	4	0.5926502909	0.118164311		99.11011079	0.8898892069			91.30128357	8.69871643	0.9262948809	-0.9262948809			0	0	-910.1716433	0.118164311			
907.6116433	96	4	0.6377987121	0.1058910595		99.00871589	0.9912841148			90.3884873	9.611512696	0.9163422926	-0.9163422926			0	0	-907.6116433	0.1058910595			
905.0516433	96	4	0.6742954551	0.09579383968		98.90641724	1.093582764			89.48608269	10.51391731	0.9059091492	-0.9059091492			0	0	-905.0516433	0.09579383968			
902.4916433	96	4	0.7043637289	0.08733418488		98.80315283	1.196847172			88.59452386	11.40547614	0.8950201637	-0.8950201637			0	0	-902.4916433	0.08733418488			
899.9316433	96	4	0.7295297317	0.08013841446		98.69885641	1.301143592			87.71423611	12.28576389	0.8837042882	-0.8837042882			0	0	-899.9316433	0.08013841446			
897.3716433	96	4	0.7508751566	0.07393912036		98.59345724	1.406542756			86.84561239	13.15438761	0.871994013	-0.871994013			0	0	-897.3716433	0.07393912036			
894.8116433	96	4	0.7691875546	0.0685399426		98.48687985	1.513120149			85.98901026	14.01098974	0.8599248554	-0.8599248554			0	0	-894.8116433	0.0685399426			
892.2516433	96	4	0.7850536498	0.06379347577		98.37904369	1.620956308			85.14474945	14.85525055	0.8475347903	-0.8475347903			0	0	-892.2516433	0.06379347577			
889.6916433	96	4	0.7989193231	0.05958692798		98.26986283	1.730137166			84.31311004	15.68688996	0.8348636465	-0.8348636465			0	0	-889.6916433	0.05958692798			
887.1316433	96	4	0.8111293512	0.0558325333		98.15924557	1.840754435			83.49433118	16.50566882	0.8219524902	-0.8219524902			0	0	-887.1316433	0.0558325333			
884.5716433	96	4	0.8219544379	0.05246097591		98.04709396	1.952906044			82.68861051	17.31138949	0.8088430139	-0.8088430139			0	0	-884.5716433	0.05246097591			
882.0116433	96	4	0.8316100289	0.04941677763		97.93330336	2.06669664			81.89610407	18.10389593	0.7955769332	-0.7955769332			0	0	-882.0116433	0.04941677763			
879.4516433	96	4	0.8402696814	0.04665499805		97.81776185	2.182238151			81.11692686	18.88307314	0.7821955122	-0.7821955122			0	0	-879.4516433	0.04665499805			
876.8916433	96	4	0.8480747367	0.04413883204		97.70034956	2.299650441			80.3511538	19.6488462	0.7687389597	-0.7687389597			0	0	-876.8916433	0.04413883204			
874.3316433	96	4	0.8551414364	0.04183783301		97.58093795	2.419062048			79.59882113	20.40117887	0.7552460746	-0.7552460746			0	0	-874.3316433	0.04183783301			
871.7716433	96	4	0.8615662352	0.03972658071		97.45938895	2.540611045			78.85992827	21.14007173	0.7417538631	-0.7417538631			0	0	-871.7716433	0.03972658071			
869.2116433	96	4	0.8674298202	0.03778366948		97.33555398	2.664446021			78.1344398	21.8655602	0.7282972461	-0.7282972461			0	0	-869.2116433	0.03778366948			
866.6516433	96	4	0.8728001914	0.03599093142		97.20927279	2.790727211			77.42228785	22.57771215	0.7149088372	-0.7149088372			0	0	-866.6516433	0.03599093142			
