T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
834.7386025	80	10	10	0	0		97.52266371	1.143755272	1.33358102				80	10	10	0.001682659776	-0.0008504457112	-0.0008322140649				0.001682659776	-0.0008504457112	-0.0008322140649	-834.7386025	0			
834.7286025	80	10	10	0.0001018051755	9.621058027E-05		97.52238402	1.143880069	1.333735907				79.99831681	10.0008507	10.00083249	0.003365790283	-0.001701132564	-0.001664657719				0	0	0	-834.7286025	9.621058027E-05			
834.7086025	80	10	10	0.0003049632494	0.0001920546794		97.52182434	1.144129893	1.334045771				79.9949511	10.0025518	10.00249711	0.005047603559	-0.002551161575	-0.002496441983				0	0	0	-834.7086025	0.0001920546794			
834.6686025	80	10	10	0.0007108961277	0.0003838206483		97.52070506	1.144629427	1.334665515				79.98822269	10.00595249	10.00582482	0.00841116204	-0.004251204249	-0.00415995779				0	0	0	-834.6686025	0.0003838206483			
834.5886025	80	10	10	0.001521908502	0.0007670597855		97.51846608	1.145628676	1.335905247				79.97476662	10.01275359	10.01247978	0.01513833308	-0.00765139314	-0.007486939941				0	0	0	-834.5886025	0.0007670597855			
834.4286025	80	10	10	0.003140024925	0.00153159661		97.51398644	1.147627857	1.338385706				79.9478664	10.02635017	10.02578343	0.02858150863	-0.01444643174	-0.01413507689				0	0	0	-834.4286025	0.00153159661			
834.1086025	80	10	10	0.006360708669	0.003053146847		97.50502043	1.151628958	1.34335061				79.89411352	10.05352084	10.05236564	0.05543219845	-0.02801970224	-0.02741249622				0	0	0	-834.1086025	0.003053146847			
833.4686025	80	10	10	0.0127405458	0.006066468504		97.4870614	1.159642197	1.353296406				79.78679775	10.10777241	10.10542984	0.1089912779	-0.05509918055	-0.05389209734				0	0	0	-833.4686025	0.006066468504			
832.1886025	80	10	10	0.02524142169	0.01196286571		97.45103444	1.175713596	1.373251967				79.57292343	10.21591963	10.21115694	0.2155429865	-0.1089911945	-0.106551792				0	0	0	-832.1886025	0.01196286571			
829.6286025	80	10	10	0.04929189413	0.02329881928		97.37853602	1.208041209	1.413422775				79.14817118	10.43080228	10.42102655	0.4264042317	-0.2157187657	-0.210685466				0	0	0	-829.6286025	0.02329881928			
827.0686025	80	10	10	0.07212206721	0.02264884659		97.30543339	1.240618657	1.453947955				78.72740015	10.64377287	10.62882697	0.4224076272	-0.2137993578	-0.2086082694				0	0	0	-827.0686025	0.02264884659			
824.5086025	80	10	10	0.09382177474	0.02203078032		97.23170768	1.273457919	1.494834399				78.31055234	10.85485861	10.83458905	0.4184692052	-0.2119071809	-0.2065620244				0	0	0	-824.5086025	0.02203078032			
821.9486025	80	10	10	0.1144726299	0.02144269507		97.15733958	1.306571308	1.536089108				77.897571	11.06408602	11.03834298	0.4145877406	-0.21004165	-0.2045460906				0	0	0	-821.9486025	0.02144269507			
819.3886025	80	10	10	0.1341486816	0.02088258911		97.0823092	1.339971568	1.57771923				77.48839944	11.27148166	11.2401189	0.4107631906	-0.2082027757	-0.2025604149				0	0	0	-819.3886025	0.02088258911			
816.8286025	80	10	10	0.1529172631	0.02034863247		97.00659604	1.373671894	1.619732069				77.08298112	11.47707203	11.43994685	0.4069953882	-0.2063905037	-0.2006048845				0	0	0	-816.8286025	0.02034863247			
814.2686025	80	10	10	0.1708397306	0.0198391505		96.93017894	1.40768596	1.662135095				76.68125977	11.68088355	11.63785669	0.4032840908	-0.2046047392	-0.1986793516				0	0	0	-814.2686025	0.0198391505			
811.7086025	80	10	10	0.1879721075	0.01935260775		96.8530361	1.442027945	1.704935951				76.2831794	11.88294247	11.83387813	0.3996289871	-0.2028453505	-0.1967836365				0	0	0	-811.7086025	0.01935260775			
809.1486025	80	10	10	0.2043660854	0.01888809515		96.77514319	1.476713373	1.748143441				75.88867805	12.08327798	12.02804397	0.3960297	-0.2011121704	-0.1949175296				0	0	0	-809.1486025	0.01888809515			
806.5886025	80	10	10	0.2200679004	0.01844297673		96.69648051	1.51175586	1.791763631				75.49771371	12.28190945	12.22037685	0.392479308	-0.1994017019	-0.1930776061				0	0	0	-806.5886025	0.01844297673			
804.0286025	80	10	10	0.2351209747	0.01801721909		96.61702212	1.547172148	1.835805734				75.11022489	12.47886601	12.4109091	0.3889906212	-0.1977204742	-0.191270147				0	0	0	-804.0286025	0.01801721909			
801.4686025	80	10	10	0.2495649835	0.01760939488		96.53674303	1.582978768	1.880278204				74.72615738	12.67417314	12.59966948	0.3855563242	-0.1960647899	-0.1894915342				0	0	0	-801.4686025	0.01760939488			
798.9086025	80	10	10	0.2634364772	0.01721848173		96.45561735	1.619192928	1.925189722				74.34545757	12.867856	12.78668644	0.3821758355	-0.1944343689	-0.1877414666				0	0	0	-798.9086025	0.01721848173			
796.3486025	80	10	10	0.2767691828	0.01684353502		96.37361823	1.655832562	1.970549212				73.96807241	13.05993948	12.97198811	0.3788485721	-0.1928289275	-0.1860196446				0	0	0	-796.3486025	0.01684353502			
793.7886025	80	10	10	0.289594269	0.01648367879		96.29071777	1.692916372	2.01636586				73.5939495	13.25044817	13.15560232	0.3755739242	-0.1912481659	-0.1843257583				0	0	0	-793.7886025	0.01648367879			
791.2286025	80	10	10	0.3019405827	0.01613809997		96.20688699	1.730463885	2.062649124				73.22303705	13.43940635	13.3375566	0.3723512367	-0.1896917586	-0.1826594781				0	0	0	-791.2286025	0.01613809997			
788.6686025	80	10	10	0.3138348603	0.01580604293		96.12209575	1.768495498	2.109408751				72.85528395	13.62683795	13.5178781	0.3691798544	-0.1881593771	-0.1810204773				0	0	0	-788.6686025	0.01580604293			
786.1086025	80	10	10	0.3253019152	0.01548680456		96.03631266	1.807032544	2.156654795				72.49063974	13.81276657	13.69659369	0.3660590995	-0.1866506784	-0.179408421				0	0	0	-786.1086025	0.01548680456			
783.5486025	80	10	10	0.3363648076	0.01517972999		95.94950501	1.846097351	2.204397634				72.12905467	13.99721546	13.87372987	0.3629882808	-0.1851653098	-0.1778229711				0	0	0	-783.5486025	0.01517972999			
780.9886025	80	10	10	0.3470449952	0.01488420855		95.8616387	1.88571331	2.25264799				71.7704797	14.1802075	14.04931281	0.359966697	-0.1837029096	-0.1762637874				0	0	0	-780.9886025	0.01488420855			
