T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
873.8956036	99	1	0.9222338733	0.04470355946	98.7971486	1.202851397	90.63024139	9.369758606	0	0	-873.8956036	0.04470355946	-1240.79635065206	
871.3356036	99	1	0.9255669145	0.04272307103	98.74243132	1.257568679	90.26819606	9.731803936	0	0	-871.3356036	0.04272307103	-1351.71201886457	
868.7756036	99	1	0.9286215177	0.0409023618	98.68741193	1.312588071	89.9091442	10.0908558	0	0	-868.7756036	0.0409023618	-1467.72032367516	
866.2156036	99	1	0.9314308502	0.03922323206	98.63208485	1.367915151	89.55303452	10.44696548	0	0	-866.2156036	0.03922323206	-1588.87519311942	
863.6556036	99	1	0.9340230593	0.03767014161	98.57644457	1.423555431	89.19981559	10.80018441	0	0	-863.6556036	0.03767014161	-1715.23176874682	
861.0956036	99	1	0.9364221816	0.03622974041	98.52048564	1.479514361	88.84943598	11.15056402	0	0	-861.0956036	0.03622974041	-1846.84630781996	
858.5356036	99	1	0.9386488637	0.03489049536	98.46420266	1.535797341	88.50184438	11.49815562	0	0	-858.5356036	0.03489049536	-1983.77608399305	
855.9756036	99	1	0.9407209358	0.03364239097	98.40759028	1.592409718	88.15698967	11.84301033	0	0	-855.9756036	0.03364239097	-2126.07930133813	
853.4156036	99	1	0.9426538736	0.0324766874	98.35064321	1.649356793	87.81482107	12.18517893	0	0	-853.4156036	0.0324766874	-2273.81506563396	
850.8556036	99	1	0.9444611723	0.03138572346	98.29335617	1.70664383	87.47528819	12.52471181	0	0	-850.8556036	0.03138572346	-2427.04325895231	
848.2956036	99	1	0.946154652	0.03036275499	98.23572395	1.764276053	87.13834108	12.86165892	0	0	-848.2956036	0.03036275499	-2587.29451777558	
845.7356036	99	1	0.9477447564	0.02940281904	98.17774018	1.822259819	86.80392488	13.19607512	0	0	-845.7356036	0.02940281904	-2750.56942786301	
843.1756036	99	1	0.9492405825	0.02849805973	98.11940211	1.880597886	86.47200209	13.52799791	0	0	-843.1756036	0.02849805973	-2919.36341962505	
840.6156036	99	1	0.9506502925	0.0276458691	98.06070336	1.939296642	86.14251854	13.85748146	0	0	-840.6156036	0.0276458691	-3095.94850266167	
838.0556036	99	1	0.9519811181	0.02684152393	98.00163879	1.99836121	85.81542664	14.18457336	0	0	-838.0556036	0.02684152393	-3277.56983741862	
835.4956036	99	1	0.9532395102	0.02608125478	97.94220331	2.057796688	85.49067949	14.50932051	0	0	-835.4956036	0.02608125478	-3465.054913248	
832.9356036	99	1	0.9544312406	0.0253616777	97.88239184	2.117608162	85.16823091	14.83176909	0	0	-832.9356036	0.0253616777	-3658.4734136994	
830.3756036	99	1	0.9555614891	0.02467974334	97.82219929	2.177800708	84.84803544	15.15196456	0	0	-830.3756036	0.02467974334	-3857.89048802689	
827.8156036	99	1	0.9566349168	0.02403269705	97.76162061	2.238379391	84.53004835	15.46995165	0	0	-827.8156036	0.02403269705	-4063.37281261943	
825.2556036	99	1	0.9576557288	0.0234180441	97.70065073	2.299349274	84.21422569	15.78577431	0	0	-825.2556036	0.0234180441	-4274.98797942303	
822.6956036	99	1	0.9586277289	0.02283351988	97.63928459	2.360715415	83.90052423	16.09947577	0	0	-822.6956036	0.02283351988	-4492.80455751353	
820.1356036	99	1	0.9595543655	0.02227706398	97.57751713	2.422482873	83.58890154	16.41109846	0	0	-820.1356036	0.02227706398	-4716.89184003071	
817.5756036	99	1	0.9604387723	0.02174679774	97.51534329	2.484656711	83.27931594	16.72068406	0	0	-817.5756036	0.02174679774	-4947.3203904254	
815.0156036	99	1	0.9612838029	0.02124100477	97.452758	2.547241996	82.97172651	17.02827349	0	0	-815.0156036	0.02124100477	-5184.16172424989	
812.4556036	99	1	0.9620920614	0.02075811379	97.3897562	2.610243802	82.66609311	17.33390689	0	0	-812.4556036	0.02075811379	-5427.48850979971	
809.8956036	99	1	0.9628659291	0.02029668374	97.32633278	2.673667215	82.36237635	17.63762365	0	0	-809.8956036	0.02029668374	-5677.37468990595	
807.3356036	99	1	0.9636075872	0.01985539058	97.26248267	2.737517333	82.06053759	17.93946241	0	0	-807.3356036	0.01985539058	-5933.89562536952	
804.7756036	99	1	0.9643190378	0.01943301576	97.19820073	2.801799266	81.76053894	18.23946106	0	0	-804.7756036	0.01943301576	-6197.12782616952	
802.2156036	99	1	0.9650021214	0.0190284359	97.13348186	2.866518144	81.46234325	18.53765675	0	0	-802.2156036	0.0190284359	-6467.14957616361	
799.6556036	99	1	0.9656585331	0.01864061383	97.06832089	2.931679114	81.16591408	18.83408592	0	0	-799.6556036	0.01864061383	-6744.04053107619	
