T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
819.8426213	87	8	5	0.5525399695	0.03028256221	96.92709445	2.513693642	0.559211913	74.07040057	15.2588401	10.67075934	0	0	0	-819.8426213	0.03028256221	-3493.44506865341	
817.2826213	87	8	5	0.5656361513	0.02956109273	96.90262149	2.53168256	0.5656959547	73.37489529	15.64652929	10.97857542	0	0	0	-817.2826213	0.02956109273	-3603.73982652514	
814.7226213	87	8	5	0.5780444788	0.02886116323	96.87955059	2.548577167	0.5718722409	72.67636316	16.03578581	11.28785103	0	0	0	-814.7226213	0.02886116323	-3711.75025683433	
812.1626213	87	8	5	0.58981093	0.02818111674	96.85784601	2.564413847	0.5777401471	71.97514075	16.42643299	11.59842626	0	0	0	-812.1626213	0.02818111674	-3817.57697836194	
809.6026213	87	8	5	0.6009774841	0.02751949258	96.83747197	2.579228925	0.5832991052	71.2715804	16.81828457	11.91013503	0	0	0	-809.6026213	0.02751949258	-3921.36692897455	
807.0426213	87	8	5	0.6115825615	0.02687500024	96.81839284	2.593058521	0.5885486413	70.56604865	17.21114566	12.22280569	0	0	0	-807.0426213	0.02687500024	-4023.49926723806	
804.4826213	87	8	5	0.6216614292	0.02624656347	96.80057291	2.605938797	0.593488294	69.85892294	17.6048146	12.53626246	0	0	0	-804.4826213	0.02624656347	-4124.15495005446	
801.9226213	87	8	5	0.6312465044	0.02563316941	96.78397704	2.617905083	0.5981178764	69.1505917	17.99908293	12.85032537	0	0	0	-801.9226213	0.02563316941	-4223.68184298351	
799.3626213	87	8	5	0.6403676797	0.02503401648	96.76857004	2.628992766	0.6024371976	68.44145012	18.39373781	13.16481206	0	0	0	-799.3626213	0.02503401648	-4322.66959216075	
796.8026213	87	8	5	0.6490525731	0.02444840659	96.75431719	2.63923652	0.606446293	67.73189823	18.78856311	13.47953866	0	0	0	-796.8026213	0.02444840659	-4421.50125097831	
