T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
892.8113714	93	1	6	0	0	99.08350187	0.2282221295	0.6882759985	93	1	6				0.00165975416	-0.0002105626927	-0.001449191467				-892.8113714	0	18.2383882320939	
892.8013714	93	1	6	0.0002732633054	0.0002729148806	99.08329954	0.2282495253	0.6884509334	92.99834029	1.000210573	6.001449134				0	0	0				-892.8013714	0.0002729148806	55.0445341062266	
892.7813714	93	1	6	0.0008191300667	0.0005453402595	99.08289492	0.2283042476	0.6888008303	92.99502083	1.000631691	6.004347484				0	0	0				-892.7813714	0.0005453402595	73.4450281367278	
892.7413714	93	1	6	0.001909196835	0.001089514927	99.08208574	0.2284136229	0.6895006399	92.98838237	1.001473871	6.010143754				0	0	0				-892.7413714	0.001089514927	73.5737859301859	
892.6613714	93	1	6	0.004082801649	0.00217485875	99.08046762	0.2286320088	0.6909003669	92.97510699	1.003158036	6.021734976				0	0	0				-892.6613714	0.00217485875	73.8513612314003	
892.5013714	93	1	6	0.008404065759	0.004333120428	99.07723254	0.2290672228	0.6937002367	92.94856227	1.006525588	6.044912137				0	0	0				-892.5013714	0.004333120428	74.464794577048	
892.1813714	93	1	6	0.01693554906	0.008593071404	99.07076695	0.2299313285	0.6993017258	92.89549764	1.013256772	6.09124559				0	0	0				-892.1813714	0.008593071404	75.7228377060467	
891.5413714	93	1	6	0.03358509636	0.01691513913	99.05785353	0.2316348757	0.7105115984	92.78946624	1.02670559	6.183828173				0	0	0				-891.5413714	0.01691513913	78.1770761233412	
890.2613714	93	1	6	0.06531873921	0.03279478189	99.03209597	0.2349451311	0.7329588981	92.5777934	1.053552245	6.368654355				0	0	0				-890.2613714	0.03279478189	83.3180039632718	
887.7013714	93	1	6	0.123153915	0.06179656407	98.98084406	0.2411914889	0.7779644499	92.15600548	1.107064382	6.736930135				0	0	0				-887.7013714	0.06179656407	-853.86932932286	
885.1413714	93	1	6	0.1743843034	0.05834527698	98.92992008	0.2469586464	0.8231212705	91.73629136	1.160356835	7.103351802				0	0	0				-885.1413714	0.05834527698	-785.258937403221	
