T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
817.6120389	89	1	10	0.4327188042	0.02251196819	97.59952268	0.1782909295	2.222186394	82.03601107	1.621482376	16.34250656				0	0	0				-817.6120389	0.02251196819	-4858.16935407917	
815.0520389	89	1	10	0.4452466606	0.02199704224	97.54563439	0.1771258999	2.277239712	81.68717303	1.653968544	16.65885843				0	0	0				-815.0520389	0.02199704224	-5094.0168599025	
812.4920389	89	1	10	0.4572250208	0.0215057572	97.49150556	0.175871804	2.332622639	81.33981982	1.686454784	16.97372539				0	0	0				-812.4920389	0.0215057572	-5336.76063713724	
809.9320389	89	1	10	0.4686898369	0.0210366363	97.43712712	0.1745327806	2.388340104	80.99391071	1.718944022	17.28714527				0	0	0				-809.9320389	0.0210366363	-5586.5234838247	
807.3720389	89	1	10	0.4796740257	0.02058832261	97.38249008	0.1731128563	2.444397059	80.64940525	1.751439144	17.5991556				0	0	0				-807.3720389	0.02058832261	-5843.43308304595	
804.8120389	89	1	10	0.4902077803	0.0201595672	97.32758557	0.1716159496	2.500798481	80.30626331	1.783943	17.90979369				0	0	0				-804.8120389	0.0201595672	-6107.62209475913	
802.2520389	89	1	10	0.5003188444	0.01974921865	97.27240475	0.1700458763	2.557549371	79.96444503	1.816458412	18.21909656				0	0	0				-802.2520389	0.01974921865	-6379.22895426163	
799.6920389	89	1	10	0.5100327539	0.01935621384	97.21693889	0.1684063529	2.614654758	79.62391089	1.848988173	18.52710093				0	0	0				-799.6920389	0.01935621384	-6658.3980380783	
797.1320389	89	1	10	0.519373051	0.01897956967	97.16117929	0.1667010013	2.672119705	79.28462167	1.881535053	18.83384327				0	0	0				-797.1320389	0.01897956967	-6945.28012455634	
794.5720389	89	1	10	0.5283614736	0.01861837578	97.10511734	0.1649333518	2.729949305	78.94653846	1.914101806	19.13935973				0	0	0				-794.5720389	0.01861837578	-7240.03307557538	
