T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
879.8387789	91	1	8	0	0	98.84825156	0.2015440757	0.9502043671	91	1	8				0.001581999352	-0.0001609488047	-0.001421050548				-879.8387789	0	24.6542468436545	
879.8287789	91	1	8	0.0002020999324	0.0002017044674	98.84805296	0.2015579181	0.950389124	90.99841797	1.000160964	8.001421062				0	0	0				-879.8287789	0.0002017044674	74.5007211041789	
879.8087789	91	1	8	0.0006057538523	0.0004029724144	98.84765578	0.2015855526	0.9507586651	90.9952541	1.000482854	8.004263046				0	0	0				-879.8087789	0.0004029724144	99.3884565602271	
879.7687789	91	1	8	0.001412146241	0.0008052844681	98.84686144	0.2016407854	0.9514977716	90.98892673	1.001126621	8.009946648				0	0	0				-879.7687789	0.0008052844681	99.4951695265143	
879.6887789	91	1	8	0.00302129124	0.001608218402	98.84527285	0.2017510332	0.9529761165	90.97627367	1.00241408	8.02131225				0	0	0				-879.6887789	0.001608218402	99.7807222616957	
879.5287789	91	1	8	0.006225093626	0.003207072126	98.84209605	0.2019705939	0.9559333529	90.95097426	1.00498869	8.044037052				0	0	0				-879.5287789	0.003207072126	100.365869495258	
879.2087789	91	1	8	0.01257531847	0.006376986233	98.83574395	0.2024060408	0.9618500043	90.90040226	1.010136705	8.089461039				0	0	0				-879.2087789	0.006376986233	101.633130463256	
878.5687789	91	1	8	0.02503287313	0.01259213096	98.8230458	0.2032620454	0.9736921505	90.79936663	1.020426587	8.180206787				0	0	0				-878.5687789	0.01259213096	104.239260383377	
877.2887789	91	1	8	0.04905401369	0.02459048218	98.79767212	0.2049160325	0.997411843	90.59772297	1.040986235	8.36129079				0	0	0				-877.2887789	0.02459048218	109.386637780027	
874.7287789	91	1	8	0.09379989953	0.04696207278	98.74700713	0.2079985902	1.044994283	90.19613594	1.082034729	8.721829329				0	0	0				-874.7287789	0.04696207278	-1361.6990877306	
872.1687789	91	1	8	0.1345441871	0.04486998541	98.6964396	0.2107846943	1.092775703	89.79680972	1.122964207	9.080226075				0	0	0				-872.1687789	0.04486998541	-1279.59784083169	
869.6087789	91	1	8	0.1717915601	0.04294665574	98.64595196	0.2132868657	1.140761175	89.39971478	1.163784916	9.4365003				0	0	0				-869.6087789	0.04294665574	-1390.19602199296	
867.0487789	91	1	8	0.2059678926	0.04117467475	98.59552742	0.2155169512	1.188955632	89.00482058	1.204506225	9.7906732				0	0	0				-867.0487789	0.04117467475	-1506.4289508262	
864.4887789	91	1	8	0.2374333641	0.03953728023	98.54514979	0.2174861776	1.237364032	88.61209461	1.245136731	10.14276866				0	0	0				-864.4887789	0.03953728023	-1627.74859224489	
861.9287789	91	1	8	0.2664945619	0.03802008001	98.49480346	0.2192052083	1.285991328	88.22150292	1.285684351	10.49281273				0	0	0				-861.9287789	0.03802008001	-1754.21324040908	
859.3687789	91	1	8	0.2934140296	0.03661066441	98.44447335	0.2206841942	1.334842458	87.83301022	1.326156422	10.84083336				0	0	0				-859.3687789	0.03661066441	-1885.8920573476	
856.8087789	91	1	8	0.3184178515	0.0352982756	98.39414483	0.2219328182	1.38392235	87.44658007	1.366559779	11.18686015				0	0	0				-856.8087789	0.0352982756	-2022.85675057835	
854.2487789	91	1	8	0.3417017289	0.03407354102	98.34380375	0.2229603346	1.433235919	87.06217505	1.406900822	11.53092413				0	0	0				-854.2487789	0.03407354102	-2165.18158205186	
851.6887789	91	1	8	0.3634358842	0.03292825697	98.29343633	0.2237756026	1.482788065	86.67975683	1.447185579	11.87305759				0	0	0				-851.6887789	0.03292825697	-2312.94330491556	
849.1287789	91	1	8	0.3837690499	0.03185521149	98.2430292	0.2243871175	1.532583679	86.29928639	1.48741975	12.21329386				0	0	0				-849.1287789	0.03185521149	-2466.22124997608	
846.5687789	91	1	8	0.402831733	0.03084803871	98.19256932	0.2248030373	1.58262764	85.92072403	1.527608751	12.55166721				0	0	0				-846.5687789	0.03084803871	-2625.09734049728	
844.0087789	91	1	8	0.4207389051	0.02990109805	98.14204398	0.2250312068	1.632924816	85.54402958	1.567757748	12.88821268				0	0	0				-844.0087789	0.02990109805	-2789.65611269692	
841.4487789	91	1	8	0.4375922313	0.02900937367	98.09144075	0.2250791795	1.68348007	85.16916238	1.607871692	13.22296593				0	0	0				-841.4487789	0.02900937367	-2959.98484558272	
838.8887789	91	1	8	0.4534819277	0.0281683902	98.04074751	0.2249542367	1.734298258	84.79608146	1.647955342	13.55596319				0	0	0				-838.8887789	0.0281683902	-3136.17366319523	
836.3287789	91	1	8	0.4684883181	0.02737414181	97.98995236	0.2246634054	1.785384234	84.42474557	1.688013289	13.88724114				0	0	0				-836.3287789	0.02737414181	-3318.31558368113	
833.7687789	91	1	8	0.4826831439	0.02662303214	97.93904368	0.2242134743	1.83674285	84.05511325	1.728049976	14.21683677				0	0	0				-833.7687789	0.02662303214	-3508.1772658797	
831.2087789	91	1	8	0.4961309718	0.02591244894	97.88800886	0.2236110722	1.888380072	83.68713645	1.768070609	14.54479295				0	0	0				-831.2087789	0.02591244894	-3700.88741464505	
828.6487789	91	1	8	0.5088889752	0.02523772495	97.8368391	0.2228624437	1.940298457	83.32078657	1.808077764	14.87113567				0	0	0				-828.6487789	0.02523772495	-3900.05273517504	
826.0887789	91	1	8	0.5210094125	0.02459780469	97.78552216	0.2219737861	1.992504058	82.95601521	1.848076263	15.19590853				0	0	0				-826.0887789	0.02459780469	-4108.25732368724	
823.5287789	91	1	8	0.5325392523	0.02398982086	97.73404718	0.2209510662	2.045001751	82.59278062	1.888070119	15.51914926				0	0	0				-823.5287789	0.02398982086	-4321.67939178308	
820.9687789	91	1	8	0.5435210132	0.0234115886	97.68240351	0.2198000727	2.097796418	82.23104112	1.928063261	15.84089562				0	0	0				-820.9687789	0.0234115886	-4541.67796682899	
818.4087789	91	1	8	0.553993276	0.02286111926	97.63058062	0.2185264255	2.150892956	81.87075508	1.968059551	16.16118537				0	0	0				-818.4087789	0.02286111926	-4768.37826390947	
815.8487789	91	1	8	0.5639911255	0.02233659649	97.57856814	0.2171355841	2.204296279	81.51188097	2.00806279	16.48005624				0	0	0				-815.8487789	0.02233659649	-5001.90234910066	
813.2887789	91	1	8	0.5735465355	0.02183635837	97.52635583	0.2156328552	2.258011318	81.15437738	2.048076727	16.7975459				0	0	0				-813.2887789	0.02183635837	-5242.37874616024	
810.7287789	91	1	8	0.5826887031	0.02135888143	97.47393357	0.2140234002	2.312043028	80.79820304	2.088105065	17.11369189				0	0	0				-810.7287789	0.02135888143	-5489.94106818015	
808.1687789	91	1	8	0.5914443421	0.02090276654	97.42129137	0.2123122412	2.366396384	80.44331685	2.128151468	17.42853168				0	0	0				-808.1687789	0.02090276654	-5744.72889960338	
