T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
908.0970631	95	5	0	0	98.40562126	1.594378744	95	5	0.001951187434	-0.001951187434	-908.0970631	0	8.69123605648276	
908.0870631	95	5	0.0005706587888	0.0005727913653	98.40500319	1.594996813	94.99804881	5.001951193	0	0	-908.0870631	0.0005727913653	26.2254914146215	
908.0670631	95	5	0.001710421328	0.001144589005	98.40376702	1.596232977	94.99414655	5.005853451	0	0	-908.0670631	0.001144589005	35.0025026820533	
908.0270631	95	5	0.003983923778	0.002285731757	98.40129448	1.598705516	94.98634231	5.013657693	0	0	-908.0270631	0.002285731757	35.1067304316711	
907.9470631	95	5	0.008506756272	0.004557521332	98.39634991	1.603650089	94.97073565	5.029264348	0	0	-907.9470631	0.004557521332	35.3209206620619	
907.7870631	95	5	0.0174575683	0.009060529415	98.38646175	1.613538251	94.93952697	5.060473031	0	0	-907.7870631	0.009060529415	35.7849079394925	
907.4670631	95	5	0.0349601174	0.01788065379	98.36668958	1.633310423	94.87713107	5.122868935	0	0	-907.4670631	0.01788065379	36.7440660151658	
906.8270631	95	5	0.06849829732	0.0348849925	98.32716069	1.672839307	94.75242416	5.247575835	0	0	-906.8270631	0.0348849925	38.631922373056	
905.5470631	95	5	0.1302102109	0.06650465268	98.24816235	1.751837654	94.50336209	5.49663791	0	0	-905.5470631	0.06650465268	42.6580631386292	
902.9870631	95	5	0.2355743085	0.1216150108	98.09038001	1.90961999	94.00672862	5.993271384	0	0	-902.9870631	0.1216150108	-328.913001784371	
900.4270631	95	5	0.3207171733	0.1118620336	97.93283958	2.06716042	93.51223155	6.487768446	0	0	-900.4270631	0.1118620336	-286.01215086762	
897.8670631	95	5	0.3906958363	0.1035010043	97.77548869	2.224511309	93.02003844	6.979961556	0	0	-897.8670631	0.1035010043	-331.385873502658	
895.3070631	95	5	0.4490488242	0.09625364879	97.6182757	2.381724302	92.53030304	7.469696959	0	0	-895.3070631	0.09625364879	-380.113589114729	
892.7470631	95	5	0.4983187426	0.08991133201	97.46114955	2.538850446	92.04316523	7.95683477	0	0	-892.7470631	0.08991133201	-432.209615257459	
890.1870631	95	5	0.5403748996	0.08431474673	97.30405984	2.695940159	91.55875127	8.441248735	0	0	-890.1870631	0.08431474673	-487.700163236655	
