T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
886.4010308	92	1	7	0	0	98.96853807	0.2146106637	0.8168512652	92	1	7				0.001620443788	-0.0001826328399	-0.001437810948				-886.4010308	0	21.3855201011116	
886.3910308	92	1	7	0.0002330267709	0.000232650304	98.96833848	0.2146302289	0.8170312939	91.99837956	1.000182647	7.00143779				0	0	0				-886.3910308	0.000232650304	64.5804109813675	
886.3710308	92	1	7	0.0006984895885	0.0004648429527	98.96793932	0.2146693004	0.8173913788	91.99513876	1.000547905	7.004313332				0	0	0				-886.3710308	0.0004648429527	86.1605242866443	
886.3310308	92	1	7	0.001628199205	0.0009288220173	98.96714104	0.2147473937	0.8181115685	91.9886576	1.001278392	7.010064012				0	0	0				-886.3310308	0.0009288220173	86.2797360253609	
886.2510308	92	1	7	0.003482822515	0.001854562518	98.96554463	0.2149033013	0.8195520674	91.97569689	1.002739245	7.021563869				0	0	0				-886.2510308	0.001854562518	86.5614558313593	
886.0910308	92	1	7	0.007172992859	0.003696854814	98.96235253	0.2152139219	0.822433546	91.94978196	1.005660466	7.044557571				0	0	0				-886.0910308	0.003696854814	87.1387913711207	
885.7710308	92	1	7	0.0144778832	0.007345075547	98.9559711	0.2158304665	0.8281984307	91.8979781	1.011500998	7.090520903				0	0	0				-885.7710308	0.007345075547	88.3931060471797	
885.1310308	92	1	7	0.02876917793	0.01447830329	98.94321946	0.2170444373	0.8397361006	91.79447587	1.02317242	7.182351708				0	0	0				-885.1310308	0.01447830329	90.9775456525077	
883.8510308	92	1	7	0.05618613613	0.02818398253	98.91775893	0.2193981637	0.8628429034	91.58788696	1.04648338	7.365629663				0	0	0				-883.8510308	0.02818398253	96.0981386540293	
881.2910308	92	1	7	0.1067681419	0.0535059522	98.86699856	0.2238179485	0.9091834876	91.17636541	1.092992166	7.730642421				0	0	0				-881.2910308	0.0535059522	-1088.93730247544	
878.7310308	92	1	7	0.1522674976	0.05085077522	98.81643632	0.227863773	0.9556999102	90.76704784	1.139341507	8.093610653				0	0	0				-878.7310308	0.05085077522	-1013.71441329412	
