T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
887.1258135	91	6	3	0.05545216922	0.05565788791	98.10606379	1.644395376	0.2495408291	90.58119616	6.256703459	3.162100378							0	0	0	-887.1258135	0.05565788791	36.1053613119024	
887.0458135	91	6	3	0.05765574865	0.0578695184	98.10358154	1.646482895	0.249935568	90.56368414	6.267402546	3.168913315							0	0	0	-887.0458135	0.0578695184	36.2398536372947	
886.9658135	91	6	3	0.05985116599	0.06007294725	98.10110191	1.648567919	0.2503301701	90.54616714	6.278101921	3.175730937							0	0	0	-886.9658135	0.06007294725	36.3746446359074	
886.8858135	91	6	3	0.06203846361	0.06226821707	98.09862492	1.650650447	0.2507246352	90.52864517	6.288801589	3.182553244							0	0	0	-886.8858135	0.06226821707	36.5097347648259	
886.8058135	91	6	3	0.0642176836	0.06445537015	98.09615056	1.652730481	0.2511189631	90.51111821	6.299501554	3.189380235							0	0	0	-886.8058135	0.06445537015	36.6451244376688	
886.7258135	91	6	3	0.06638886774	0.06663444851	98.09367882	1.654808023	0.2515131538	90.49358627	6.310201821	3.196211907							0	0	0	-886.7258135	0.06663444851	36.7808138633759	
886.6458135	91	6	3	0.06855205754	0.06880549388	98.09120972	1.656883073	0.251907207	90.47604935	6.320902394	3.20304826							0	0	0	-886.6458135	0.06880549388	36.916803372762	
886.5658135	91	6	3	0.07070729423	0.07096854771	98.08874325	1.658955632	0.2523011226	90.45850743	6.331603276	3.209889292							0	0	0	-886.5658135	0.07096854771	37.0530934262256	
886.4858135	91	6	3	0.07285461876	0.07312365115	98.0862794	1.661025702	0.2526949005	90.44096053	6.342304472	3.216735002							0	0	0	-886.4858135	0.07312365115	37.1896841788764	
886.4058135	91	6	3	0.07499407178	0.07527084511	98.08381818	1.663093283	0.2530885406	90.42340862	6.353005987	3.223585389							0	0	0	-886.4058135	0.07527084511	37.3265760932977	
886.3258135	91	6	3	0.07712569369	0.07741017017	98.08135958	1.665158377	0.2534820426	90.40585173	6.363707824	3.23044045							0	0	0	-886.3258135	0.07741017017	37.4637695774505	
886.2458135	91	6	3	0.0792495246	0.07954166668	98.07890361	1.667220985	0.2538754064	90.38828983	6.374409989	3.237300185							0	0	0	-886.2458135	0.07954166668	37.6012647399159	
886.1658135	91	6	3	0.08136560437	0.0816653747	98.07645026	1.669281107	0.254268632	90.37072292	6.385112484	3.244164593							0	0	0	-886.1658135	0.0816653747	37.739062254179	
886.0858135	91	6	3	0.08347397256	0.083781334	98.07399954	1.671338745	0.2546617191	90.35315101	6.395815315	3.251033671							0	0	0	-886.0858135	0.083781334	37.8771623029314	
886.0058135	91	6	3	0.0855746685	0.08588958412	98.07155143	1.6733939	0.2550546676	90.3355741	6.406518485	3.257907418							0	0	0	-886.0058135	0.08588958412	38.0155651135532	
885.9258135	91	6	3	0.08766773122	0.08799016431	98.06910595	1.675446574	0.2554474774	90.31799217	6.417221999	3.264785833							0	0	0	-885.9258135	0.08799016431	38.1542712181583	
885.8458135	91	6	3	0.08975319951	0.09008311356	98.06666309	1.677496766	0.2558401482	90.30040522	6.427925862	3.271668914							0	0	0	-885.8458135	0.09008311356	38.2932808301912	
885.7658135	91	6	3	0.0918311119	0.09216847061	98.06422284	1.679544479	0.25623268	90.28281326	6.438630077	3.278556661							0	0	0	-885.7658135	0.09216847061	38.4325943877403	
885.6858135	91	6	3	0.09390150665	0.09424627392	98.06178521	1.681589714	0.2566250726	90.26521628	6.449334648	3.28544907							0	0	0	-885.6858135	0.09424627392	38.5722122747197	
885.6058135	91	6	3	0.09596442178	0.09631656171	98.0593502	1.683632471	0.2570173259	90.24761428	6.460039581	3.292346142							0	0	0	-885.6058135	0.09631656171	38.7121346392564	
885.5258135	91	6	3	0.09801989504	0.09837937195	98.05691781	1.685672751	0.2574094397	90.23000725	6.470744879	3.299247874							0	0	0	-885.5258135	0.09837937195	38.8523623283577	
885.4458135	91	6	3	0.1000679639	0.1004347423	98.05448803	1.687710557	0.2578014138	90.21239519	6.481450546	3.306154265							0	0	0	-885.4458135	0.1004347423	38.9928949915194	
885.3658135	91	6	3	0.1021086657	0.1024827103	98.05206086	1.689745888	0.2581932481	90.1947781	6.492156588	3.313065313							0	0	0	-885.3658135	0.1024827103	39.1337330957943	
