T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
884.5808543	90	7	3	0	0	97.91921992	1.856418697	0.2243613873	90	7	3	0.002209441578	-0.001435024618	-0.0007744169595	-884.5808543	0	35.8319158732424	
884.5608543	90	7	3	0.0005553204569	0.0005578553045	97.91856208	1.85699706	0.2244408643	89.995581	7.002870138	3.001548859	0	0	0	-884.5608543	0.0005578553045	35.8712653594655	
884.5408543	90	7	3	0.001110033085	0.001115099332	97.91790442	1.857575243	0.2245203349	89.99116176	7.005740211	3.003098027	0	0	0	-884.5408543	0.001115099332	35.9030427051119	
884.5008543	90	7	3	0.002218337939	0.002228459849	97.91658952	1.858731247	0.224679231	89.98232227	7.011480679	3.00619705	0	0	0	-884.5008543	0.002228459849	35.9553539773899	
884.4208543	90	7	3	0.004429777159	0.004449978732	97.91396151	1.861041626	0.2249968686	89.96463952	7.022962392	3.012398085	0	0	0	-884.4208543	0.004449978732	36.0869137375876	
884.2608543	90	7	3	0.008825151045	0.008865354611	97.90871371	1.865654411	0.2256318802	89.92925918	7.04592501	3.02481581	0	0	0	-884.2608543	0.008865354611	36.360291413041	
883.9408543	90	7	3	0.01752779601	0.01760747579	97.89824774	1.874852475	0.2268997874	89.85843833	7.091858855	3.049702815	0	0	0	-883.9408543	0.01760747579	36.8648499864046	
883.3008543	90	7	3	0.03457469699	0.03473120698	97.87743642	1.893135742	0.2294278409	89.71655586	7.183753592	3.099690544	0	0	0	-883.3008543	0.03473120698	37.9128487842314	
882.0208543	90	7	3	0.06729589018	0.06759797097	97.83629571	1.929251373	0.2344529172	89.43182271	7.367655394	3.200521891	0	0	0	-882.0208543	0.06759797097	40.0788222780265	
879.4608543	90	7	3	0.1277367945	0.1283007472	97.75592925	1.999694485	0.2443762642	88.85844517	7.735968927	3.405585902	0	0	0	-879.4608543	0.1283007472	44.5912099589539	
876.9008543	90	7	3	0.1822428632	0.1830344641	97.67810442	2.067765378	0.2541301992	88.27978226	8.105027633	3.615190111	0	0	0	-876.9008543	0.1830344641	49.339064406203	
874.3408543	90	7	3	0.2315961485	0.2325861969	97.60279829	2.133489899	0.263711807	87.69575858	8.474932485	3.829308934	0	0	0	-874.3408543	0.2325861969	54.3871139481827	
871.7808543	90	7	3	0.2764440251	0.2776074737	97.52998599	2.196895836	0.2731181733	87.10630866	8.845780454	4.047910884	0	0	0	-871.7808543	0.2776074737	59.7487870431976	
869.2208543	90	7	3	0.3173308561	0.3186461343	97.45963982	2.258014104	0.2823460761	86.51137827	9.217666739	4.270954995	0	0	0	-869.2208543	0.3186461343	65.4362100132685	
866.6608543	90	7	3	0.354717712	0.3561661782	97.39172938	2.316878611	0.2913920128	85.91092554	9.590683608	4.498390852	0	0	0	-866.6608543	0.3561661782	71.4621041707033	
864.1008543	90	7	3	0.3889977273	0.3905632215	97.32622168	2.37352609	0.3002522341	85.30492216	9.964919184	4.730158652	0	0	0	-864.1008543	0.3905632215	77.8397874742949	
861.5408543	90	7	3	0.4205081807	0.4221766567	97.26308129	2.427995939	0.308922771	84.69335441	10.34045625	4.966189342	0	0	0	-861.5408543	0.4221766567	84.5831957634214	
858.9808543	90	7	3	0.4495400729	0.451299293	97.20227055	2.480329967	0.3173994829	84.07622435	10.71737096	5.206404688	0	0	0	-858.9808543	0.451299293	91.7068992499968	
856.4208543	90	7	3	0.4763458025	0.4781850827	97.14374971	2.530572197	0.3256780901	83.45355091	11.09573164	5.450717454	0	0	0	-856.4208543	0.4781850827	99.2261184923559	
853.8608543	90	7	3	0.5011453563	0.5030553524	97.08747716	2.578768624	0.3337542155	82.82537089	11.47559756	5.699031552	0	0	0	-853.8608543	0.5030553524	107.156753627703	
851.3008543	90	7	3	0.5241313425	0.5261038693	97.03340961	2.624966962	0.3416234259	82.19174	11.85701779	5.951242207	0	0	0	-851.3008543	0.5261038693	115.515411851253	
848.7408543	90	7	3	0.5454731118	0.5475009899	96.98150233	2.669216398	0.3492812732	81.55273378	12.24003008	6.207236142	0	0	0	-848.7408543	0.5475009899	124.319439376886	
846.1808543	90	7	3	0.5653201542	0.5673970789	96.93170933	2.711567338	0.3567233348	80.90844841	12.62465983	6.466891764	0	0	0	-846.1808543	0.5673970789	133.586956003672	
843.6208543	90	7	3	0.5838049157	0.585925345	96.88398359	2.75207116	0.3639452536	80.2590015	13.01091913	6.730079366	0	0	0	-843.6208543	0.585925345	143.336892875041	
841.0608543	90	7	3	0.6010451477	0.6032042061	96.83827725	2.790779969	0.3709427763	79.60453264	13.39880602	6.996661341	0	0	0	-841.0608543	0.6032042061	153.589032847985	
838.5008543	90	7	3	0.6171458784	0.6193392734	96.79454184	2.827746365	0.37771179	78.94520389	13.78830369	7.26649242	0	0	0	-838.5008543	0.6193392734	164.364048689346	
835.9408543	90	7	3	0.6322010744	0.6344250248	96.75272843	2.863023216	0.3842483567	78.28120005	14.17938002	7.539419928	0	0	0	-835.9408543	0.6344250248	175.683540396779	
833.3808543	90	7	3	0.6462950496	0.648546223	96.71278781	2.896663446	0.3905487455	77.61272874	14.57198717	7.815284082	0	0	0	-833.3808543	0.648546223	187.589418227311	
830.8208543	90	7	3	0.6595011726	0.6617766358	96.67467568	2.928713379	0.3966109423	76.94001847	14.96604658	8.093934947	0	0	0	-830.8208543	0.6617766358	200.061741587569	
828.2608543	90	7	3	0.6718931389	0.6741902962	96.63833266	2.959238643	0.4024286943	76.26332554	15.3615088	8.375165659	0	0	0	-828.2608543	0.6741902962	213.134911965064	
825.7008543	90	7	3	0.6835300268	0.6858465929	96.6037149	2.988284499	0.4080005976	75.58292251	15.75826293	8.658814557	0	0	0	-825.7008543	0.6858465929	226.868130298072	
