T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
896.7301808	94	0	6	0	0	99.27278418	0	0.727215823	94	0	6				0.001533658147		-0.001533658147	-896.7301808	0	34.3669470968203	
896.7101808	94	0	6	0.0005827748059	0.0005815666846	99.27237667	0	0.7276233345	93.99693273	0	6.003067271				0		0	-896.7101808	0.0005815666846	34.412783687579	
896.6901808	94	0	6	0.001164774222	0.001162359773	99.27196914	0	0.7280308591	93.99386568	0	6.006134318				0		0	-896.6901808	0.001162359773	34.4500027675743	
896.6501808	94	0	6	0.002327322227	0.00232249869	99.27115405	0	0.7288459549	93.98773221	0	6.012267793				0		0	-896.6501808	0.00232249869	34.5116686303328	
896.5701808	94	0	6	0.004645763778	0.004636138098	99.26952368	0	0.7304763244	93.97546778	0	6.024532222				0		0	-896.5701808	0.004636138098	34.6647249832538	
896.4901808	94	0	6	0.006952600736	0.006938199908	99.26789307	0	0.73210693	93.96320672	0	6.036793278				0		0	-896.4901808	0.006938199908	34.826151309532	
896.4101808	94	0	6	0.00924958149	0.009230428876	99.26626223	0	0.7337377719	93.95094904	0	6.049050963				0		0	-896.4101808	0.009230428876	34.9753946091343	
896.3301808	94	0	6	0.01153676743	0.01151288625	99.26463115	0	0.735368851	93.93869472	0	6.061305282				0		0	-896.3301808	0.01151288625	35.1249628386232	
896.2501808	94	0	6	0.01381422191	0.01378563522	99.26299983	0	0.7370001674	93.92644376	0	6.073556236				0		0	-896.2501808	0.01378563522	35.2748371813887	
896.1701808	94	0	6	0.0160820077	0.01604873843	99.26136828	0	0.7386317213	93.91419617	0	6.085803825				0		0	-896.1701808	0.01604873843	35.4250175163198	
896.0901808	94	0	6	0.01834018708	0.01830225799	99.25973649	0	0.7402635129	93.90195195	0	6.098048052				0		0	-896.0901808	0.01830225799	35.5755036075257	
896.0101808	94	0	6	0.02058882176	0.02054625549	99.25810446	0	0.7418955425	93.88971108	0	6.110288917				0		0	-896.0101808	0.02054625549	35.7262954364481	
895.9301808	94	0	6	0.02282797294	0.02278079197	99.25647219	0	0.7435278102	93.87747358	0	6.122526422				0		0	-895.9301808	0.02278079197	35.8773929933118	
895.8501808	94	0	6	0.0250577013	0.02500592796	99.25483968	0	0.7451603162	93.86523943	0	6.134760567				0		0	-895.8501808	0.02500592796	36.0287959583453	
895.7701808	94	0	6	0.027278067	0.02722172349	99.25320694	0	0.7467930607	93.85300865	0	6.146991353				0		0	-895.7701808	0.02722172349	36.1805041784557	
895.6901808	94	0	6	0.02948912968	0.02942823807	99.25157396	0	0.748426044	93.84078122	0	6.159218783				0		0	-895.6901808	0.02942823807	36.3325175859196	
895.6101808	94	0	6	0.03169094851	0.03162553071	99.24994073	0	0.7500592662	93.82855714	0	6.171442857				0		0	-895.6101808	0.03162553071	36.4848361224394	
895.5301808	94	0	6	0.03388358212	0.03381365991	99.24830727	0	0.7516927275	93.81633642	0	6.183663575				0		0	-895.5301808	0.03381365991	36.6374596498118	
895.4501808	94	0	6	0.03606708867	0.03599268369	99.24667357	0	0.7533264282	93.80411906	0	6.19588094				0		0	-895.4501808	0.03599268369	36.7903878655352	
895.3701808	94	0	6	0.03824152583	0.03816265959	99.24503963	0	0.7549603683	93.79190505	0	6.208094953				0		0	-895.3701808	0.03816265959	36.9436208066544	
895.2901808	94	0	6	0.04040695077	0.04032364464	99.24340545	0	0.7565945482	93.77969439	0	6.220305614				0		0	-895.2901808	0.04032364464	37.0971582518145	
895.2101808	94	0	6	0.04256342021	0.04247569543	99.24177103	0	0.7582289681	93.76748707	0	6.232512925				0		0	-895.2101808	0.04247569543	37.251000073244	
895.1301808	94	0	6	0.04471099036	0.04461886804	99.24013637	0	0.7598636281	93.75528311	0	6.244716887				0		0	-895.1301808	0.04461886804	37.4051462193264	
895.0501808	94	0	6	0.046849717	0.04675321811	99.23850147	0	0.7614985284	93.7430825	0	6.256917501				0		0	-895.0501808	0.04675321811	37.5595964706578	
894.9701808	94	0	6	0.04897965542	0.0488788008	99.23686633	0	0.7631336692	93.73088523	0	6.269114769				0		0	-894.9701808	0.0488788008	37.7143506844447	
894.8901808	94	0	6	0.05110086045	0.05099567083	99.23523095	0	0.7647690507	93.71869131	0	6.28130869				0		0	-894.8901808	0.05099567083	37.8694088086338	
894.8101808	94	0	6	0.05321338649	0.05310388244	99.23359533	0	0.7664046732	93.70650073	0	6.293499268				0		0	-894.8101808	0.05310388244	38.0247705993794	
894.7301808	94	0	6	0.05531728747	0.05520348946	99.23195946	0	0.7680405368	93.6943135	0	6.305686502				0		0	-894.7301808	0.05520348946	38.1804359039343	
