T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
927.6456036	99	0	1	0	0	99.88713254	0	0.1128674564	99	0	1				0.001701469164		-0.001701469164	-927.6456036	0	5.21807734673178	
927.6256036	99	0	1	0.003824203805	0.003822870782	99.88674371	0	0.1132562857	98.99659713	0	1.003402873				0		0	-927.6256036	0.003822870782	5.24526349866215	
927.6056036	99	0	1	0.007628687554	0.007626029564	99.88635487	0	0.1136451284	98.99319443	0	1.00680557				0		0	-927.6056036	0.007626029564	5.28144758471295	
927.5656036	99	0	1	0.0151413506	0.01513607964	99.88557717	0	0.1144228335	98.98638974	0	1.013610255				0		0	-927.5656036	0.01513607964	5.36143159411876	
927.4856036	99	0	1	0.02987793994	0.02986755718	99.88402164	0	0.115978358	98.9727829	0	1.0272171				0		0	-927.4856036	0.02986755718	5.50487762194456	
927.4056036	99	0	1	0.04422688132	0.04421153925	99.88246597	0	0.1175340282	98.95917948	0	1.040820517				0		0	-927.4056036	0.04421153925	5.65267548337264	
927.3256036	99	0	1	0.05820271575	0.05818256113	99.88091015	0	0.119089845	98.94557949	0	1.054420511				0		0	-927.3256036	0.05818256113	5.80253742292956	
927.2456036	99	0	1	0.07181983022	0.07179500414	99.87935419	0	0.1206458087	98.93198292	0	1.068017079				0		0	-927.2456036	0.07179500414	5.95435074149002	
927.1656036	99	0	1	0.08509188151	0.08506251968	99.87779808	0	0.1222019194	98.91838978	0	1.081610221				0		0	-927.1656036	0.08506251968	6.10811490582328	
927.0856036	99	0	1	0.09803184189	0.09799807495	99.87624182	0	0.1237581777	98.90480006	0	1.095199936				0		0	-927.0856036	0.09799807495	6.26382939711899	
927.0056036	99	0	1	0.1106520415	0.1106139952	99.87468542	0	0.1253145836	98.89121378	0	1.108786221				0		0	-927.0056036	0.1106139952	6.42149367436946	
926.9256036	99	0	1	0.1229642075	0.1229220031	99.87312886	0	0.1268711375	98.87763092	0	1.122369077				0		0	-926.9256036	0.1229220031	6.58110721705243	
926.8456036	99	0	1	0.1349795008	0.1349332549	99.87157216	0	0.1284278396	98.8640515	0	1.135948501				0		0	-926.8456036	0.1349332549	6.74266944810171	
926.7656036	99	0	1	0.1467085492	0.1466583746	99.87001531	0	0.1299846902	98.85047551	0	1.149524493				0		0	-926.7656036	0.1466583746	6.90617980632487	
926.6856036	99	0	1	0.1581614796	0.1581074849	99.86845831	0	0.1315416896	98.83690295	0	1.16309705				0		0	-926.6856036	0.1581074849	7.07163778831224	
926.6056036	99	0	1	0.1693479467	0.1692902366	99.86690116	0	0.1330988381	98.82333383	0	1.176666173				0		0	-926.6056036	0.1692902366	7.23904275699718	
926.5256036	99	0	1	0.1802771601	0.180215836	99.86534386	0	0.1346561359	98.80976814	0	1.190231859				0		0	-926.5256036	0.180215836	7.40839417069763	
926.4456036	99	0	1	0.1909579102	0.1908930697	99.86378642	0	0.1362135832	98.79620589	0	1.203794107				0		0	-926.4456036	0.1908930697	7.57969144596498	
926.3656036	99	0	1	0.2013985913	0.2013303288	99.86222882	0	0.1377711805	98.78264708	0	1.217352917				0		0	-926.3656036	0.2013303288	7.75293391319746	
926.2856036	99	0	1	0.2116072237	0.2115356306	99.86067107	0	0.1393289278	98.76909171	0	1.230908286				0		0	-926.2856036	0.2115356306	7.92812103904667	
926.2056036	99	0	1	0.2215914745	0.2215166391	99.85911317	0	0.1408868256	98.75553979	0	1.244460215				0		0	-926.2056036	0.2215166391	8.10525216997621	
926.1256036	99	0	1	0.2313586768	0.2312806846	99.85755513	0	0.142444874	98.7419913	0	1.258008701				0		0	-926.1256036	0.2312806846	8.28432675130629	
926.0456036	99	0	1	0.2409158477	0.2408347811	99.85599693	0	0.1440030733	98.72844626	0	1.271553743				0		0	-926.0456036	0.2408347811	8.46534408311454	
925.9656036	99	0	1	0.2502697047	0.250185644	99.85443858	0	0.1455614239	98.71490466	0	1.285095341				0		0	-925.9656036	0.250185644	8.64830353485185	
925.8856036	99	0	1	0.2594266824	0.2593397049	99.85288007	0	0.1471199259	98.70136651	0	1.298633492				0		0	-925.8856036	0.2593397049	8.83320451002327	
925.8056036	99	0	1	0.2683929464	0.2683031272	99.85132142	0	0.1486785797	98.6878318	0	1.312168197				0		0	-925.8056036	0.2683031272	9.02004631861768	
925.7256036	99	0	1	0.2771744076	0.2770818194	99.84976261	0	0.1502373854	98.67430055	0	1.325699454				0		0	-925.7256036	0.2770818194	9.20882827942526	
