T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
923.3518662	98	2	0	0	0	99.35666367	0.6433363253	0	98	2	0				0.001976573405	-0.001976573405		-923.3518662	0	6.86683340326381	
923.3318662	98	2	0	0.002903799131	0.002908131044	99.35540364	0.6445963595	0	97.99604685	2.003953148	0				0	0		-923.3318662	0.002908131044	6.88770495651569	
923.3118662	98	2	0	0.005798833598	0.005807476271	99.35414365	0.6458563462	0	97.99209373	2.007906273	0				0	0		-923.3118662	0.005807476271	6.91072458426418	
923.2718662	98	2	0	0.01155744699	0.01157464015	99.3516238	0.6483762	0	97.98418753	2.015812469	0				0	0		-923.2718662	0.01157464015	6.96928792038059	
923.1918662	98	2	0	0.02291194121	0.02294589872	99.34658461	0.6534153867	0	97.96837549	2.031624508	0				0	0		-923.1918662	0.02294589872	7.08763512212807	
923.1118662	98	2	0	0.03410124214	0.0341515938	99.34154607	0.6584539278	0	97.95256379	2.047436215	0				0	0		-923.1118662	0.0341515938	7.19555797642712	
923.0318662	98	2	0	0.04511815555	0.04518452352	99.33650819	0.6634918133	0	97.93675245	2.063247546	0				0	0		-923.0318662	0.04518452352	7.30783134570309	
922.9518662	98	2	0	0.05596650556	0.05604852052	99.33147112	0.6685288818	0	97.92094167	2.079058333	0				0	0		-922.9518662	0.05604852052	7.42094546427965	
922.8718662	98	2	0	0.06665033845	0.06674763982	99.32643454	0.6735654602	0	97.90513111	2.094868888	0				0	0		-922.8718662	0.06674763982	7.53490399707108	
922.7918662	98	2	0	0.07717324554	0.07728548071	99.32139861	0.6786013882	0	97.88932096	2.110679043	0				0	0		-922.7918662	0.07728548071	7.6497819133875	
922.7118662	98	2	0	0.08753882141	0.08766564569	99.31636333	0.6836366676	0	97.87351121	2.126488791	0				0	0		-922.7118662	0.08766564569	7.76554155577517	
922.6318662	98	2	0	0.09775055453	0.09789163092	99.3113287	0.6886713001	0	97.85770188	2.142298123	0				0	0		-922.6318662	0.09789163092	7.88218318649938	
922.5518662	98	2	0	0.1078118311	0.1079668301	99.30629471	0.6937052874	0	97.84189297	2.158107032	0				0	0		-922.5518662	0.1079668301	7.99970711088476	
922.4718662	98	2	0	0.1177259389	0.1178945381	99.30126137	0.6987386311	0	97.82608449	2.173915509	0				0	0		-922.4718662	0.1178945381	8.11811364335421	
922.3918662	98	2	0	0.1274960705	0.1276779546	99.29622867	0.7037713331	0	97.81027645	2.189723547	0				0	0		-922.3918662	0.1276779546	8.23740294053281	
922.3118662	98	2	0	0.1371253272	0.1373201878	99.29119661	0.708803395	0	97.79446886	2.205531138	0				0	0		-922.3118662	0.1373201878	8.3575753253806	
922.2318662	98	2	0	0.1466167218	0.146824257	99.28616518	0.7138348185	0	97.77866173	2.221338274	0				0	0		-922.2318662	0.146824257	8.47863111413058	
922.1518662	98	2	0	0.155973182	0.1561930964	99.28113439	0.7188656054	0	97.76285505	2.237144946	0				0	0		-922.1518662	0.1561930964	8.60057051328464	
922.0718662	98	2	0	0.1651975532	0.1654295577	99.27610424	0.7238957573	0	97.74704885	2.252951147	0				0	0		-922.0718662	0.1654295577	8.72339379104944	
